start_time,end_time,text
12.915,14.161,Good evening!
14.161,15.276950000000001,Good evening.
15.276950000000001,16.19,How are you?
16.56,18.058666666666667,Are you good?
18.058666666666667,18.808,Great!
18.808,21.211000000000002,"Welcome, welcome, welcome to this match."
21.416,25.012000000000004,This match will take exactly 18 minutes.
25.463,25.645709677419354,OK?
25.645709677419354,30.08,And you're all part of the same team: Mechelen.
30.127,31.169,OK?
31.169,37.206,"Hey guys, I would like to see fair play on the field, respect and positivity."
37.605,39.677,Is that OK for everyone?
40.076,41.486,Cool.
41.646,43.047,Good luck!
43.498,48.53799999999999,"One year ago, I decided I wanted to become a football referee."
48.892,51.547000000000004,"Not because of the money, though."
51.547,53.92,I only get paid 20 euros per match.
53.92,56.88599999999999,"So I won't really get rich by it, will I?"
56.886,57.10931818181818,No.
57.10931818181818,61.799,I decided to become a referee for two other reasons.
62.531,65.345,One to stay in good shape.
65.345,71.755,Two because I wanted to learn how not to take things personally.
74.067,75.616,I can see some people nodding.
75.616,83.71999999999997,"You are probably thinking, ""Being a referee is the perfect environment to learn how not to take things personally, isn't it?"""
83.965,89.19400000000002,Because the spectators hardly ever shout encouraging or positive things.
89.194,89.39211764705883,No.
89.39211764705883,90.878,What do they shout?
90.878,91.876,"Come on, come on."
91.876,92.41787500000001,"""Loser!"
92.41787500000001,93.61000000000001,"Are you blind?"""
93.61,95.96,"Yeah, yeah, good!"
96.415,99.12600000000002,"As a referee, I am the scapegoat."
99.649,101.881,"Apparently, I'm always wrong."
101.881,104.411,It's always my fault.
104.411,109.28999999999999,And I wanted to learn how not to take all this personally.
111.227,113.85899999999998,Because I really struggle with this.
114.209,125.275,"For example, when I drive slowly because I'm trying to find a specific location and somebody is just driving behind me, I feel hunted."
125.275,131.52,"Especially when they start honking and flashing their headlights, I take it personally."
131.52,136.39999999999998,"I know I shouldn't, but it just happens."
136.42,138.472,Do you see what I mean?
139.152,145.25299999999996,"Or when somebody cancels an appointment last minute, I get the feeling that I'm not important enough."
145.402,148.789,"Again, I take it personally."
150.073,151.774,Even professionally.
151.791,153.51299999999998,"I'm a public speaker, like tonight."
