start_time,stop_time,avg_intensity
0,5,39.333333333333336
5,10,99.0
10,15,27.5
15,20,10.0
20,25,2.45
25,30,12.4
30,35,11.45
35,40,10.0
40,45,9.45
45,50,10.0
50,55,11.7
55,60,13.2
60,65,13.1
65,70,12.0
70,75,10.850000000000001
75,80,10.0
80,85,9.6
85,90,10.0
90,95,10.0
95,100,10.0
100,105,10.0
105,110,10.0
110,115,10.0
115,120,10.0
120,125,10.0
125,130,10.0
130,135,10.0
135,140,3.8
140,145,10.0
145,150,47.2
150,155,72.0
155,160,47.2
160,165,10.0
165,170,3.8
170,175,10.0
175,180,10.0
180,185,10.0
185,190,10.0
190,195,9.6
195,200,10.2
200,205,10.1
205,210,13.149999999999999
210,215,17.5
215,220,20.3
220,225,23.0
225,230,25.9
230,235,30.799999999999997
235,240,34.8
240,245,36.5
245,250,35.6
250,255,34.349999999999994
255,260,31.3
260,265,26.75
265,270,23.1
270,275,21.4
275,280,22.85
280,285,23.2
285,290,24.3
290,295,24.35
295,300,23.0
300,305,23.299999999999997
305,310,24.8
310,315,25.3
315,320,25.950000000000003
320,325,25.7
325,330,25.35
330,335,23.4
335,340,19.799999999999997
340,345,15.8
345,350,13.0
350,355,11.4
355,360,10.3
360,365,10.0
365,370,9.7
370,375,10.0
375,380,10.0
380,385,10.0
385,390,10.0
390,395,10.0
395,400,10.0
400,405,9.7
405,410,10.0
410,415,10.5
415,420,11.6
420,425,13.2
425,430,14.5
430,435,14.85
435,440,15.0
440,445,15.55
445,450,16.9
450,455,18.65
455,460,21.2
460,465,23.3
465,470,26.15
470,475,29.6
475,480,28.9
480,485,34.75
485,490,44.7
490,495,47.849999999999994
495,500,47.7
500,505,43.2
505,510,33.5
510,515,24.3
515,520,20.9
520,525,23.0
525,530,27.35
530,535,32.1
535,540,33.150000000000006
540,545,33.1
545,550,34.85
550,555,36.6
555,560,37.6
560,565,38.4
565,570,36.9
570,575,33.9
575,580,30.450000000000003
580,585,27.6
585,590,25.799999999999997
590,595,25.1
595,600,25.7
600,605,27.2
605,610,29.1
610,615,30.15
615,620,30.1
620,625,26.5
625,630,28.2
630,635,44.849999999999994
635,640,56.2
640,645,44.05
645,650,27.7
650,655,23.3
655,660,32.6
660,665,38.1
665,670,44.25
670,675,49.1
675,680,50.9
680,685,50.45
685,690,48.4
690,695,44.3
695,700,37.55
700,705,30.0
705,710,23.6
710,715,20.0
715,720,18.45
720,725,20.0
725,730,21.65
730,735,25.2
735,740,31.150000000000002
740,745,34.6
745,750,34.9
750,755,27.9
755,760,24.9
760,765,25.25
765,770,23.4
770,775,20.6
775,780,20.799999999999997
780,785,23.6
785,790,25.4
790,795,27.75
795,800,29.6
800,805,30.75
805,810,32.0
810,815,33.75
815,820,37.3
820,825,42.7
825,830,48.9
830,835,54.8
835,840,58.6
840,845,60.8
845,850,59.85
850,855,60.5
855,860,60.4
860,865,61.6
865,870,63.3
870,875,64.2
875,880,62.9
880,885,63.7
885,890,65.8
890,895,67.9
895,900,69.30000000000001
900,905,67.8
905,910,63.099999999999994
910,915,57.7
915,920,54.9
920,925,54.2
925,930,55.2
930,935,54.6
935,940,52.5
940,945,44.8
945,950,40.9
950,955,40.5
955,960,43.9
960,965,48.5
965,970,58.15
970,975,70.9
975,980,73.8
980,985,74.5
985,990,69.5
990,995,64.05
995,1000,59.6
1000,1005,56.85
1005,1010,59.8
1010,1015,68.7
1015,1020,78.4
1020,1025,82.8
1025,1030,82.0
1030,1035,81.2
1035,1040,80.15
1040,1045,62.4
1045,1050,27.75
1050,1055,19.700000000000003
1055,1060,11.3
