start_time,end_time,words
10,15,Good evening ! Good
15,20,"evening . How are you ? Are you good ? Great ! Welcome , welcome ,"
20,25,welcome to this match . This match will take exactly 18
25,30,minutes . OK ? And you 're all part of the same team :
30,35,"Mechelen . OK ? Hey guys , I would like to see fair play on the field ,"
35,40,respect and positivity . Is that OK for everyone ?
40,45,"Cool . Good luck ! One year ago , I"
45,50,decided I wanted to become a football referee . Not because
50,55,"of the money , though . I only get paid 20 euros per match . So I wo n't"
55,60,"really get rich by it , will I ? No . I decided to become a referee"
60,65,for two other reasons . One to stay in good
65,70,shape . Two because I wanted to learn how not to take
70,75,things personally . I can see some
75,80,"people nodding . You are probably thinking , "" Being a referee is the perfect"
80,85,"environment to learn how not to take things personally , is n't it ? "" Because the"
85,90,spectators hardly ever shout encouraging or positive things . No . What do
90,95,"they shout ? Come on , come on . "" Loser ! Are you blind ? "" Yeah ,"
95,100,"yeah , good ! As a referee , I am the scapegoat ."
100,105,"Apparently , I 'm always wrong . It 's always my fault . And I"
105,110,wanted to learn how not to take all this personally .
110,115,Because I really struggle with this . For
115,120,"example , when I drive slowly because I 'm trying to find a specific"
120,125,"location and somebody is just driving behind me , I feel"
125,130,"hunted . Especially when they start honking and flashing their headlights ,"
130,135,"I take it personally . I know I should n't , but it"
135,140,just happens . Do you see what I mean ? Or when
140,145,"somebody cancels an appointment last minute , I get the feeling that I 'm not important"
145,150,"enough . Again , I take it personally ."
150,155,"Even professionally . I 'm a public speaker , like tonight . This is what I do . I"
155,160,"give keynote speeches , and I really like it as long as I can draw my"
160,165,audience into my story . Because the very moment I see somebody is
165,170,"not paying attention - for example , when somebody is looking at his smartphone -"
170,175,it just happens : I take it personally .
175,180,Relax ! You are safe tonight . Do n't worry . Feel free to take your
180,185,"smartphones , and you can even start talking to your neighbor . I will not take it personally ."
185,190,"Why not ? Because now , here and now , I 'm very conscious that this can"
190,195,"happen . And more importantly , I have a strategy to deal with it ."
195,200,"So tonight , I would like to share this strategy with you ."
200,205,"Are you interested ? Cool . Because , I guess , I 'm not"
205,210,"the only person in this room who sometimes takes things personally , right ?"
210,215,"Imagine - imagine you invite a friend to go to the movies , and"
215,220,"she replies , "" Oh , sorry , I have to work . "" But you see a picture"
220,225,on social media of her having dinner with some friends that
225,230,very night ! Or imagine you really have worked very
230,235,"hard on a project . You 're really proud of the end result , but the only"
235,240,"thing you get is criticism . So you come home , and you would like to"
240,245,wind down and share this terrible experience . But while you 're telling your
245,250,"story , the other one walks away to switch on the TV ."
250,255,"Now , who would take one of these situations personally ? Show me hands , come"
255,260,on . Lots of you . Why ?
260,265,Why do we take things personally ? Somebody says or does something and
265,270,"bam ! We feel hurt , neglected , offended , betrayed by the"
270,275,"other one . That 's what we believe , though . It 's the other person 's fault . He 's"
275,280,"responsible for what we feel . He 's the one to blame . Now , hang on ,"
280,285,hang on . Who says that ? Which part of us is speaking ?
285,290,It 's our ego . Our ego thinks that
290,295,others should take us into consideration . Our ego does n't want to be
295,300,"criticized , hell no ! Our ego wants to be acknowledged : "" I 'm"
300,305,"right ! "" Is this what you want ? Do"
305,310,you want to be right ? That 's
310,315,"exhausting . When my ego takes over , I 'm fighting all day . I 'm in a constant"
315,320,struggle with the rest of the world . And it drains my energy .
320,325,Would n't it be so much easier to not take things personally ?
325,330,Because then no one has power over you . You 're free . You experience
330,335,much more harmony and connection between you and other people . Of course !
335,340,Because your energy can go towards nice things instead of endlessly
340,345,battling against the things that drive you crazy . So the
345,350,question is do you want to be right or do you
350,355,want to be happy ? I know what some of you are
355,360,"thinking : "" I will make sure I will be happy by being right . """
360,365,"Well , how do you do it ? How to become happy by"
365,370,not taking things personally ? You are standing at
370,375,"the kickoff of the match of your life , the match by which you will"
375,380,"learn how to stop taking things personally . So as a referee , I"
380,385,brought my coin for the toss . And every coin
385,390,has two sides : heads or tails . And they stand for
390,395,"two strategies , two strategies to no longer taking things personally ."
395,400,"Sir , sir , good evening . You 're the captain of this"
400,405,huge team . You can choose : heads or tails ? Heads . Okay .
