start_time,stop_time,avg_intensity
0,5,37.699999999999996
5,10,100.0
10,15,106.9
15,20,51.4
20,25,34.5
25,30,17.7
30,35,15.4
35,40,15.9
40,45,16.4
45,50,37.7
50,55,37.2
55,60,32.35
60,65,27.5
65,70,13.4
70,75,11.275
75,80,9.15
80,85,12.6
85,90,16.9
90,95,21.2
95,100,23.9
100,105,26.6
105,110,18.450000000000003
110,115,14.225000000000001
115,120,10.0
120,125,15.9
125,130,19.25
130,135,22.6
135,140,22.6
140,145,12.0
145,150,10.0
150,155,8.0
155,160,12.3
160,165,12.3
165,170,12.3
170,175,10.5
175,180,10.0
180,185,9.5
185,190,10.0
190,195,10.0
195,200,10.0
200,205,10.0
205,210,10.0
210,215,10.0
215,220,9.4
220,225,10.0
225,230,10.6
230,235,8.1
235,240,13.1
240,245,18.2
245,250,35.8
250,255,35.2
255,260,29.775000000000002
260,265,24.35
265,270,10.0
270,275,9.05
275,280,8.1
280,285,14.3
285,290,19.025
290,295,23.75
295,300,26.725
300,305,29.7
305,310,24.3
310,315,20.25
315,320,16.2
320,325,15.85
325,330,16.825
330,335,17.8
335,340,17.8
340,345,17.3
345,350,15.7
350,355,14.1
355,360,11.1
360,365,10.0
365,370,8.9
370,375,1.7
375,380,10.0
380,385,18.3
385,390,45.6
390,395,51.5
395,400,57.4
400,405,46.2
405,410,39.6
410,415,33.0
415,420,24.3
420,425,18.3
425,430,12.4
430,435,11.7
435,440,10.0
440,445,9.575
445,450,9.15
450,455,10.0
455,460,10.0
460,465,10.0
465,470,10.0
470,475,10.0
475,480,10.0
480,485,10.0
485,490,10.0
490,495,10.0
495,500,10.0
500,505,10.0
505,510,10.0
510,515,10.0
515,520,10.0
520,525,10.0
525,530,9.2
530,535,10.0
535,540,10.9
540,545,14.3
545,550,14.3
550,555,14.3
555,560,10.9
560,565,10.0
565,570,9.1
570,575,10.0
575,580,10.0
580,585,10.0
585,590,10.0
590,595,10.0
595,600,10.0
600,605,10.0
605,610,10.0
610,615,10.0
615,620,6.1
620,625,10.0
625,630,13.9
630,635,29.6
635,640,29.6
640,645,25.675
645,650,21.75
650,655,10.0
655,660,9.025
660,665,8.05
665,670,10.0
670,675,9.85
675,680,9.7
680,685,9.85
685,690,10.0
690,695,10.899999999999999
695,700,11.85
700,705,12.8
705,710,16.6
710,715,17.4
715,720,18.2
720,725,17.6
725,730,11.6
730,735,10.0
735,740,8.4
740,745,10.0
745,750,10.0
750,755,10.0
755,760,10.0
760,765,10.0
765,770,10.0
770,775,10.0
775,780,10.0
780,785,10.0
785,790,10.0
790,795,10.0
795,800,10.0
800,805,10.0
805,810,10.0
810,815,10.0
815,820,9.9
820,825,10.0
825,830,9.65
830,835,9.3
835,840,10.7
840,845,13.825
845,850,16.95
850,855,20.8
855,860,18.625
860,865,16.45
865,870,13.225
870,875,10.0
875,880,8.9
880,885,9.45
885,890,10.0
890,895,9.3
895,900,9.65
900,905,10.0
905,910,11.4
910,915,16.1
915,920,16.9
920,925,17.8
925,930,15.7
930,935,14.3
935,940,13.0
940,945,10.3
945,950,10.0
950,955,9.7
955,960,12.8
960,965,12.8
965,970,12.8
970,975,10.6
975,980,10.0
980,985,9.4
985,990,10.0
990,995,10.0
995,1000,10.0
1000,1005,10.0
1005,1010,10.0
1010,1015,10.0
1015,1020,10.0
1020,1025,10.0
1025,1030,10.0
1030,1035,10.0
1035,1040,10.0
1040,1045,10.0
1045,1050,10.0
1050,1055,10.0
1055,1060,10.0
1060,1065,10.0
1065,1070,10.0
1070,1075,10.0
1075,1080,9.65
1080,1085,9.825
1085,1090,10.0
1090,1095,12.0
1095,1100,12.65
1100,1105,13.3
1105,1110,13.3
1110,1115,10.1
1115,1120,10.0
1120,1125,9.9
1125,1130,5.6
1130,1135,13.1
1135,1140,20.5
1140,1145,47.6
1145,1150,47.3
1150,1155,46.9
1155,1160,18.9
1160,1165,11.4
1165,1170,3.9
1170,1175,9.7
1175,1180,10.0
1180,1185,10.3
1185,1190,12.8
1190,1195,12.8
1195,1200,12.8
1200,1205,9.6
1205,1210,10.0
1210,1215,11.35
1215,1220,12.7
1220,1225,15.0
1225,1230,14.0
1230,1235,13.0
1235,1240,10.0
1240,1245,9.75
1245,1250,9.5
1250,1255,9.75
1255,1260,10.0
1260,1265,9.75
1265,1270,9.875
1270,1275,10.0
1275,1280,9.4
1280,1285,11.0
1285,1290,12.6
1290,1295,16.9
1295,1300,28.8
1300,1305,31.6
1305,1310,34.4
1310,1315,29.0
1315,1320,26.5
1320,1325,23.9
1325,1330,22.2
1330,1335,18.9
1335,1340,15.6
1340,1345,11.8
1345,1350,10.0
1350,1355,8.2
1355,1360,9.9
1360,1365,10.0
1365,1370,10.1
1370,1375,10.1
1375,1380,10.4
1380,1385,10.7
1385,1390,11.5
1390,1395,11.4
1395,1400,11.4
1400,1405,10.3
1405,1410,10.0
1410,1415,9.525
1415,1420,9.05
1420,1425,10.0
1425,1430,10.3
1430,1435,10.6
1435,1440,18.0
1440,1445,27.275
1445,1450,36.55
1450,1455,44.275
1455,1460,52.0
1460,1465,52.7
1465,1470,48.650000000000006
1470,1475,44.6
1475,1480,41.3
1480,1485,31.1
1485,1490,35.2
1490,1495,39.2
1495,1500,66.3
1500,1505,65.0
1505,1510,63.7
1510,1515,39.6
1515,1520,28.7
1520,1525,17.7
1525,1530,13.7
1530,1535,10.0
1535,1540,9.15
1540,1545,5.0
