timestamp_sec,intensity
0.000,0.000
1.540,20.000
3.080,93.100
7.700,100.000
12.321,106.900
16.941,51.400
23.101,34.500
29.262,17.700
32.342,15.400
38.502,15.900
44.662,16.400
47.743,37.700
53.903,37.200
60.063,36.700
63.143,18.300
69.304,13.400
75.464,8.400
78.544,9.900
84.704,12.600
90.865,15.200
93.945,27.200
100.105,26.600
106.266,26.100
109.346,10.800
115.506,10.000
121.666,9.200
124.747,22.600
130.907,22.600
137.067,22.600
140.147,12.000
146.308,10.000
152.468,8.000
155.548,12.300
161.708,12.300
167.869,12.300
170.949,10.500
177.109,10.000
183.270,9.500
186.350,10.000
192.510,10.000
198.670,10.000
201.751,10.000
207.911,10.000
214.071,10.000
217.151,9.400
223.312,10.000
229.472,10.600
232.552,8.100
238.713,13.100
244.873,18.200
247.953,35.800
254.113,35.200
260.274,34.500
263.354,14.200
269.514,10.000
275.674,5.800
278.755,10.400
284.915,14.300
291.075,18.200
294.155,29.300
300.316,29.700
306.476,30.100
309.556,18.500
315.717,16.200
321.877,13.800
324.957,17.900
331.117,17.800
337.278,17.800
340.358,17.300
346.518,15.700
352.679,14.100
355.759,11.100
361.919,10.000
368.079,8.900
371.160,1.700
377.320,10.000
383.480,18.300
386.560,45.600
392.721,51.500
398.881,57.400
401.961,46.200
408.121,39.600
414.282,33.000
417.362,24.300
423.522,18.300
429.683,12.400
432.763,11.700
438.923,10.000
445.083,8.300
448.164,10.000
454.324,10.000
460.484,10.000
463.564,10.000
469.725,10.000
475.885,10.000
478.965,10.000
485.125,10.000
491.286,10.000
494.366,10.000
500.526,10.000
506.687,10.000
509.767,10.000
515.927,10.000
522.087,10.000
525.168,9.200
531.328,10.000
537.488,10.900
540.568,14.300
546.729,14.300
552.889,14.300
555.969,10.900
562.130,10.000
568.290,9.100
571.370,10.000
577.530,10.000
583.691,10.000
586.771,10.000
592.931,10.000
599.091,10.000
602.172,10.000
608.332,10.000
614.492,10.000
617.572,6.100
623.733,10.000
629.893,13.900
632.973,29.600
639.134,29.600
645.294,29.600
648.374,13.900
654.534,10.000
660.695,6.100
663.775,10.000
669.935,10.000
676.096,10.000
679.176,9.400
685.336,10.000
691.496,10.600
694.576,11.200
700.737,12.800
706.897,14.500
709.977,18.700
716.138,18.200
722.298,17.600
725.378,11.600
731.538,10.000
737.699,8.400
740.779,10.000
746.939,10.000
753.100,10.000
756.180,10.000
762.340,10.000
768.500,10.000
771.581,10.000
777.741,10.000
783.901,10.000
786.981,10.000
793.142,10.000
799.302,10.000
802.382,10.000
808.542,10.000
814.703,10.000
817.783,9.900
823.943,10.000
830.104,10.100
833.184,8.500
839.344,10.700
845.504,12.900
848.585,21.000
854.745,20.800
860.905,20.700
863.985,12.200
870.146,10.000
876.306,7.800
879.386,10.000
885.547,10.000
891.707,10.000
894.787,8.600
900.947,10.000
907.108,11.400
910.188,16.100
916.348,16.900
922.508,17.800
925.589,15.700
931.749,14.300
937.909,13.000
940.989,10.300
947.150,10.000
953.310,9.700
956.390,12.800
962.551,12.800
968.711,12.800
971.791,10.600
977.951,10.000
984.112,9.400
987.192,10.000
993.352,10.000
999.513,10.000
1002.593,10.000
1008.753,10.000
1014.913,10.000
1017.993,10.000
1024.154,10.000
1030.314,10.000
1033.394,10.000
1039.555,10.000
1045.715,10.000
1048.795,10.000
1054.955,10.000
1061.116,10.000
1064.196,10.000
1070.356,10.000
1076.517,10.000
1079.597,9.300
1085.757,10.000
1091.917,10.700
1094.998,13.300
1101.158,13.300
1107.318,13.300
1110.398,10.100
1116.559,10.000
1122.719,9.900
1125.799,5.600
1131.959,13.100
1138.120,20.500
1141.200,47.600
1147.360,47.300
1153.521,46.900
1156.601,18.900
1162.761,11.400
1168.921,3.900
1172.002,9.700
1178.162,10.000
1184.322,10.300
1187.402,12.800
1193.563,12.800
1199.723,12.800
1202.803,9.600
1208.964,10.000
1215.124,10.400
1218.204,15.000
1224.364,15.000
1230.525,15.000
1233.605,11.000
1239.765,10.000
1245.925,9.000
1249.006,10.000
1255.166,10.000
1261.326,10.000
1264.406,9.500
1270.567,10.000
1276.727,10.500
1279.807,8.300
1285.968,12.600
1292.128,16.900
1295.208,28.800
1301.368,31.600
1307.529,34.400
1310.609,29.000
1316.769,26.500
1322.930,23.900
1326.010,22.200
1332.170,18.900
1338.330,15.600
1341.410,11.800
1347.571,10.000
1353.731,8.200
1356.811,9.900
1362.972,10.000
1369.132,10.100
1372.212,10.100
1378.372,10.400
1384.533,10.700
1387.613,11.500
1393.773,11.400
1399.934,11.400
1403.014,10.300
1409.174,10.000
1415.334,9.700
1418.415,8.400
1424.575,10.000
1430.735,11.600
1433.815,9.600
1439.976,18.000
1446.136,26.400
1449.216,46.700
1455.376,52.000
1461.537,57.400
1464.617,48.000
1470.777,44.600
1476.938,41.300
1480.018,31.100
1486.178,35.200
1492.338,39.200
1495.419,66.300
1501.579,65.000
1507.739,63.700
1510.819,39.600
1516.980,28.700
1523.140,17.700
1527.760,13.700
1532.381,10.000
1537.001,6.300
1538.541,12.000
1540.081,10.000
1541.621,8.000
1540.081,2.000
1540.081,0.000
