start_time,end_time,text
0.32,1.869,We're going to go for
1.879,8.43,it. Yeah. All
8.44,11.749,"right. This is the new electric G Wagon,"
11.759,13.749,but they're still calling it a G Wagon.
13.759,16.67,And it is very much a G
16.68,19.429,Wagon. And the best way to know that
19.439,21.75,you're dealing with a G Wagon is right
21.76,23.509,here. Let's just get this out of the way
27.24,29.91,away. It's like a vault. You know what?
29.92,31.349,It's not even just when you open and
31.359,32.87,close the doors. It's also when you lock
32.88,35.95,them. Listen to
35.96,39.47,this. Are you kidding? Listen.
39.48,43.43,Unlock. It is just so mechanical in that
43.44,44.95,regard and you're not used to it with
44.96,47.27,electric vehicles. This is a special
47.28,49.35,like addition one. It has a few
49.36,51.27,different elements associated with that.
51.28,53.59,It is quite an expensive option package.
53.6,55.43,"And the paint itself, at least in terms"
55.44,57.189,"of Canadian dollars, is like 8,000"
57.199,59.11,"bucks. But it's a G Wagon, ladies and"
59.12,61.27,"gentlemen, and you expect to pay for"
61.28,64.789,"this level of premium. For me, this"
64.799,67.03,"doesn't feel like, hey, I'm an electric"
67.04,68.789,"vehicle. I mean, in this case, maybe the"
68.799,70.39,blue coloring kind of gives it away a
70.4,71.83,little bit. That's an unusual color for
71.84,74.87,"a G Wagon, but they've really retained"
74.88,76.95,"tradition, which is what I think people"
76.96,79.35,wanted them to do with the G Wagon if it
79.36,81.99,"were to go electric. So, you're still"
82.0,84.55,getting that whole origin and history
84.56,87.91,"and ruggedness and boxiness, which is"
87.92,90.07,rare for electric vehicles. You'd be
90.08,91.67,"hardressed to say, ""Hey, that's the"
91.68,93.27,"electric one."" Because they're still"
93.28,95.27,selling one that looks almost identical
95.28,97.83,to this that's gasoline powered. There's
97.84,99.67,a few giveaways that this is electric
99.68,101.27,"from the outside, but like I said, you"
101.28,102.71,have to know what you're looking for.
102.72,105.109,"So, this little EQ badge is probably the"
105.119,107.19,"most obvious component, which says"
107.2,109.19,electric. There's also this little blue
109.2,112.149,"strip that travels down the side, which"
112.159,114.23,also indicates that this is the electric
114.24,115.99,"model. But if you look at the back, it"
116.0,118.23,still says G580 on it. The little
118.24,120.789,backpack is one more giveaway. So rather
120.799,123.59,"than have a spare tire here, if I unlock"
123.6,126.069,"the car, now I can open the backpack."
126.079,127.91,"Currently, they've just got the charge"
127.92,130.15,cable in here. I guess you could fit a
130.16,132.15,few other items. And it's nice that it
132.16,134.39,"locks when the car locks, but it is"
134.4,137.19,fairly narrow. the door to the rear gets
137.2,138.949,"lighter weight, so you don't have to"
138.959,140.63,work so hard to slam it. It still sounds
140.64,142.229,awesome. And the other thing is you can
142.239,143.229,kind of hear
143.239,146.07,that that sound that it makes. That's
146.08,148.15,"another giveaway, I suppose. But the G"
148.16,150.39,"Wagon as a whole, not just the electric"
150.4,153.11,"model for 2025, has a lot of modern"
153.12,155.509,"upgrades. Adaptive cruise control, stay"
155.519,157.83,"in its lane, the infotainment system."
157.84,160.07,"Obviously, this one has EQ specific"
160.08,161.91,features on it. Other things that are
161.92,164.39,"kind of specific to this edition, one"
