start_time,end_time,words
0,5,We 're going to go for it .
5,10,Yeah . All right . This is the
10,15,"new electric G Wagon , but they 're still calling it a G Wagon . And it is"
15,20,very much a G Wagon . And the best way to know that you 're
20,25,dealing with a G Wagon is right here . Let 's just get this out of the way
25,30,away . It 's like a vault . You know what ?
30,35,It 's not even just when you open and close the doors . It 's also when you lock them .
35,40,Listen to this . Are you kidding ? Listen .
40,45,Unlock . It is just so mechanical in that regard and you 're not used to it with
45,50,electric vehicles . This is a special like addition one . It has a few different
50,55,"elements associated with that . It is quite an expensive option package . And the paint itself , at"
55,60,"least in terms of Canadian dollars , is like 8,000 bucks . But it 's a G Wagon , ladies and gentlemen ,"
60,65,"and you expect to pay for this level of premium . For me , this"
65,70,"does n't feel like , hey , I 'm an electric vehicle . I mean , in this case , maybe the blue coloring kind of"
70,75,"gives it away a little bit . That 's an unusual color for a G Wagon , but they 've really retained"
75,80,"tradition , which is what I think people wanted them to do with the G Wagon if it were to"
80,85,"go electric . So , you 're still getting that whole origin and history and"
85,90,"ruggedness and boxiness , which is rare for electric vehicles . You 'd"
90,95,"be hardressed to say , "" Hey , that 's the electric one . "" Because they 're still selling one that looks almost"
95,100,identical to this that 's gasoline powered . There 's a few giveaways that this is electric from
100,105,"the outside , but like I said , you have to know what you 're looking for . So , this little EQ badge is probably"
105,110,"the most obvious component , which says electric . There 's also this little blue strip"
110,115,"that travels down the side , which also indicates that this is the electric model . But if"
115,120,"you look at the back , it still says G580 on it . The little backpack is one more"
120,125,"giveaway . So rather than have a spare tire here , if I unlock the car , now I can"
125,130,"open the backpack . Currently , they 've just got the charge cable in here . I guess you could"
130,135,"fit a few other items . And it 's nice that it locks when the car locks , but it is fairly"
135,140,"narrow . the door to the rear gets lighter weight , so you do n't have to work so hard to slam it ."
140,145,It still sounds awesome . And the other thing is you can kind of hear that that sound that
145,150,"it makes . That 's another giveaway , I suppose . But the G Wagon as a whole , not just the"
150,155,"electric model for 2025 , has a lot of modern upgrades . Adaptive cruise"
155,160,"control , stay in its lane , the infotainment system . Obviously , this one has EQ"
160,165,"specific features on it . Other things that are kind of specific to this edition , one steps on"
165,170,the side . certain black and chrome elements . The grill is something that I wanted to talk about as
170,175,"well because some of the early videos I saw in the electric G Wagon , they had this really"
175,180,modern looking electrified grill which was n't really a grill . It was more like a cap on the
180,185,"front . I did n't like the look of it because again , it 's like it 's a G Wagon . Let 's just keep looking like a G"
185,190,"Wagon . So what if it 's not the most efficient electric vehicle in the world ? People who buy these things , they want"
190,195,"them to look sort of like military vehicles . So , I prefer this traditional grill , even if it 's an"
195,200,electric vehicle that has no use for it . The other thing that that kind of cap grill does is it
200,205,brings a two - tone black over this portion that surrounds the headlights . I just did n't like the
205,210,"look of it very much , but I did see it in some of the earlier videos . It is an option . So , it 's like 1,600 bucks if"
210,215,you put that more futuristic black glossy finish on the front rather than
215,220,"the traditional grill . So , I would say do n't even bother doing that . And I think that this addition one is"
220,225,"actually a pretty good and nice looking setup . It also gives you these wheels , so you get the black wheels instead , which"
225,230,"look better . And if you look closely , you can see the brake calipers in that blue color , which matches"
230,235,"the tone of the paint . The mirrors , they fold in . I think these tints came from the"
235,240,"factory as well . To charge it up , it 's on the right hand side . You press here . There we go . It"
240,245,"flies open . So , it is assisted . And then it is locking . So , you press this button here in order to unlock"
245,250,that charge port . Just remember to close it . No fancy motorized like sliding door
250,255,"like the Tyan . It 's just you just press the button , it flings open , plug in"
255,260,and charge and uh get going with your G Wagon . And this is another thing for 2025 . We can now
260,265,approach the vehicle and have it just unlock with the key in our pocket . We do n't need to actually initiate it . And
265,270,"actually before I get inside , I want to mention one more thing that kind of coincides with that . The little G"
270,275,"area on the button itself , mechanical button . So now if I were to approach"
275,280,"the vehicle , it would initially unlock and then I would press the button and open the door ."
280,285,"And I just noticed we got a pretty cool badge here . MercedesBenz , how do I even say"
285,290,"that word ? Shockle approved . It sounds tough . Sounds rugged . Anyway , we 'll talk more about"
290,295,"the interior in a moment , but like this latch . This is the latch that we all love . Look at how"
295,300,robust this latch is . Listen to
300,305,"that . Damn , dude . You just feel every day . Imagine every day you get in the"
305,310,"car just bam . Uh , it 's funny cuz it 's a Segway and I 'm"
310,315,looking for a Segway . Thank you to Segue for sponsoring this video and bringing us
315,320,their brand new Ninebot Max G3 . A lot of people have been saying positive things about this
320,325,thing . I watched a bunch of videos before they sent it over . It is just a complete package and I think they 're
325,330,having promotions . Check the description . But this thing has a big range .
330,335,"very smooth , a maximum of 80 km or 50 mi . It has good"
335,340,"speed with a maximum of 45 km an hour , which is 28 mph . It can drive"
340,345,up inclines up to 30 % . You have suspension on your front end and also on the rear
345,350,as well . You got this new improved display which is going to show you your range .
350,355,You got a sport mode for speed . You 've got a walk mode if you want to walk beside . The entire thing folds
355,360,down into a small package so you can put it in the back of a car . Just a threeprong to charge it up . And this
360,365,"also has a gasket for weather resistance . Big beefy grips , comfortable brake"
365,370,"locations , and then lighting . We have signals on either side . Bright headlight . This straight"
370,375,"line coming behind them . You 've even got a little bell . So , we 've actually got pretty wide"
375,380,tires on here . These are 11 in . And they do n't really tell you to go off - road . This is not their off - road
380,385,"centric model , but these have some selfsealing attributes . It makes them a little bit tougher"
385,390,"to puncture . It 's also got something called air lock . When you approach it with your app in your pocket , it 'll"
390,395,unlock . And they 've also integrated with Apple Find My . So if your Max G3 happens to go
395,400,"missing , you can track it down . Damn , dude . You just feel every day . Imagine every day you"
400,405,"get in the car , just bam . Do n't get your finger stuck in there , right , Will ? Okay . To the"
