start_time,stop_time,avg_intensity
0,20,61.9
20,40,20.875
40,60,30.433333333333337
60,80,17.34
80,100,18.333333333333332
100,120,18.375
120,140,19.25
140,160,10.575
160,180,11.275
180,200,9.875
200,220,9.85
220,240,10.45
240,260,29.733333333333334
260,280,14.98
280,300,20.599999999999998
300,320,23.625
320,340,16.825
340,360,14.55
360,380,7.65
380,400,43.2
400,420,35.775
420,440,13.1
440,460,9.433333333333334
460,480,10.0
480,500,10.0
500,520,10.0
520,540,10.025
540,560,13.450000000000001
560,580,9.775
580,600,10.0
600,620,9.025
620,640,20.775
640,660,17.833333333333332
660,680,9.1
680,700,10.6
700,720,16.05
720,740,11.9
740,760,10.0
760,780,10.0
780,800,10.0
800,820,9.975
820,840,9.825
840,860,18.233333333333334
860,880,12.14
880,900,9.533333333333333
900,920,13.6
920,940,15.2
940,960,10.7
960,980,11.55
980,1000,9.85
1000,1020,10.0
1020,1040,10.0
1040,1060,10.0
1060,1080,9.86
1080,1100,11.333333333333334
1100,1120,11.675
1120,1140,12.275
1140,1160,40.175
1160,1180,8.75
1180,1200,12.175
1200,1220,11.25
1220,1240,12.75
1240,1260,9.666666666666666
1260,1280,9.66
1280,1300,19.433333333333334
1300,1320,30.375
1320,1340,20.15
1340,1360,9.975
1360,1380,10.15
1380,1400,11.25
1400,1420,9.6
1420,1440,12.3
1440,1460,41.699999999999996
1460,1480,47.825
1480,1500,42.95
1500,1520,49.25
1520,1540,11.940000000000001
1540,1560,5.0
