start_time,end_time,words
0,20,"We 're going to go for it . Yeah . All right . This is the new electric G Wagon , but they 're still calling it a G Wagon . And it is very much a G Wagon . And the best way to know that you 're"
20,40,dealing with a G Wagon is right here . Let 's just get this out of the way away . It 's like a vault . You know what ? It 's not even just when you open and close the doors . It 's also when you lock them . Listen to this . Are you kidding ? Listen .
40,60,"Unlock . It is just so mechanical in that regard and you 're not used to it with electric vehicles . This is a special like addition one . It has a few different elements associated with that . It is quite an expensive option package . And the paint itself , at least in terms of Canadian dollars , is like 8,000 bucks . But it 's a G Wagon , ladies and gentlemen ,"
60,80,"and you expect to pay for this level of premium . For me , this does n't feel like , hey , I 'm an electric vehicle . I mean , in this case , maybe the blue coloring kind of gives it away a little bit . That 's an unusual color for a G Wagon , but they 've really retained tradition , which is what I think people wanted them to do with the G Wagon if it were to"
80,100,"go electric . So , you 're still getting that whole origin and history and ruggedness and boxiness , which is rare for electric vehicles . You 'd be hardressed to say , "" Hey , that 's the electric one . "" Because they 're still selling one that looks almost identical to this that 's gasoline powered . There 's a few giveaways that this is electric from"
100,120,"the outside , but like I said , you have to know what you 're looking for . So , this little EQ badge is probably the most obvious component , which says electric . There 's also this little blue strip that travels down the side , which also indicates that this is the electric model . But if you look at the back , it still says G580 on it . The little backpack is one more"
120,140,"giveaway . So rather than have a spare tire here , if I unlock the car , now I can open the backpack . Currently , they 've just got the charge cable in here . I guess you could fit a few other items . And it 's nice that it locks when the car locks , but it is fairly narrow . the door to the rear gets lighter weight , so you do n't have to work so hard to slam it ."
140,160,"It still sounds awesome . And the other thing is you can kind of hear that that sound that it makes . That 's another giveaway , I suppose . But the G Wagon as a whole , not just the electric model for 2025 , has a lot of modern upgrades . Adaptive cruise control , stay in its lane , the infotainment system . Obviously , this one has EQ"
160,180,"specific features on it . Other things that are kind of specific to this edition , one steps on the side . certain black and chrome elements . The grill is something that I wanted to talk about as well because some of the early videos I saw in the electric G Wagon , they had this really modern looking electrified grill which was n't really a grill . It was more like a cap on the"
180,200,"front . I did n't like the look of it because again , it 's like it 's a G Wagon . Let 's just keep looking like a G Wagon . So what if it 's not the most efficient electric vehicle in the world ? People who buy these things , they want them to look sort of like military vehicles . So , I prefer this traditional grill , even if it 's an electric vehicle that has no use for it . The other thing that that kind of cap grill does is it"
200,220,"brings a two - tone black over this portion that surrounds the headlights . I just did n't like the look of it very much , but I did see it in some of the earlier videos . It is an option . So , it 's like 1,600 bucks if you put that more futuristic black glossy finish on the front rather than the traditional grill . So , I would say do n't even bother doing that . And I think that this addition one is"
220,240,"actually a pretty good and nice looking setup . It also gives you these wheels , so you get the black wheels instead , which look better . And if you look closely , you can see the brake calipers in that blue color , which matches the tone of the paint . The mirrors , they fold in . I think these tints came from the factory as well . To charge it up , it 's on the right hand side . You press here . There we go . It"
240,260,"flies open . So , it is assisted . And then it is locking . So , you press this button here in order to unlock that charge port . Just remember to close it . No fancy motorized like sliding door like the Tyan . It 's just you just press the button , it flings open , plug in and charge and uh get going with your G Wagon . And this is another thing for 2025 . We can now"
260,280,"approach the vehicle and have it just unlock with the key in our pocket . We do n't need to actually initiate it . And actually before I get inside , I want to mention one more thing that kind of coincides with that . The little G area on the button itself , mechanical button . So now if I were to approach the vehicle , it would initially unlock and then I would press the button and open the door ."
280,300,"And I just noticed we got a pretty cool badge here . MercedesBenz , how do I even say that word ? Shockle approved . It sounds tough . Sounds rugged . Anyway , we 'll talk more about the interior in a moment , but like this latch . This is the latch that we all love . Look at how robust this latch is . Listen to"
300,320,"that . Damn , dude . You just feel every day . Imagine every day you get in the car just bam . Uh , it 's funny cuz it 's a Segway and I 'm looking for a Segway . Thank you to Segue for sponsoring this video and bringing us their brand new Ninebot Max G3 . A lot of people have been saying positive things about this"
320,340,"thing . I watched a bunch of videos before they sent it over . It is just a complete package and I think they 're having promotions . Check the description . But this thing has a big range . very smooth , a maximum of 80 km or 50 mi . It has good speed with a maximum of 45 km an hour , which is 28 mph . It can drive"
340,360,up inclines up to 30 % . You have suspension on your front end and also on the rear as well . You got this new improved display which is going to show you your range . You got a sport mode for speed . You 've got a walk mode if you want to walk beside . The entire thing folds down into a small package so you can put it in the back of a car . Just a threeprong to charge it up . And this
360,380,"also has a gasket for weather resistance . Big beefy grips , comfortable brake locations , and then lighting . We have signals on either side . Bright headlight . This straight line coming behind them . You 've even got a little bell . So , we 've actually got pretty wide tires on here . These are 11 in . And they do n't really tell you to go off - road . This is not their off - road"
380,400,"centric model , but these have some selfsealing attributes . It makes them a little bit tougher to puncture . It 's also got something called air lock . When you approach it with your app in your pocket , it 'll unlock . And they 've also integrated with Apple Find My . So if your Max G3 happens to go missing , you can track it down . Damn , dude . You just feel every day . Imagine every day you"
400,420,"get in the car , just bam . Do n't get your finger stuck in there , right , Will ? Okay . To the rear . Really big opening . Quite a bit of cargo space . They say that the electric variant has I think they said like 3 cubic feet less cargo , but essentially what you 're looking at here is cargo space that 's similar to the standard G Wagon . You have some tie down areas here . We have a cargo"
420,440,"cover which we can pull back . We can also remove it if we choose to , which is what I normally do with these things . So , I can get even more cargo volume and I 'm always putting hockey sticks and sports equipment into my vehicle . So , these things tend to get in the way . We 've also got a 12vt on the side . This is going to be good for your portable fridge that you might want to keep in the back here . That would be good . Now , there is an interesting"
440,460,"way in which the seats fold . It 's a two - step situation . First , what we do is we pull the seat itself . There 's a little handle for that . So , this portion goes up first , and then you 're going to have to have this headrest in the down position because what happens next , you click this lever , and then this comes down and fits in there . So , it 's a two - step situation . The"
460,480,"same is the case for the other side . So , you 've got this 60/40 split situation . Now , the only thing I noticed with this setup is that if these seats are too far back , see what I mean ? It 'll go , but it just kind of bumps into it if these seats are too far back . If this seats up a little further , it makes it a lot easier . It also has a couple different spots"
480,500,"that it can be stopped in . I do n't know anybody that would want to sit there like this , but maybe if you need extra cargo in the back , that could be useful . There is also a pass through if you want to just put a long item through the center . the seats down . You go with the pass through instead if you want to put skis or I guess I could have put a hockey stick like that too . I should talk about trim while we 're back here . We get this carbon fiber . This is"
500,520,"our first glance at the carbon fiber we 're going to see throughout the vehicle . And they found a way to get a little bit of blue in there . Very subtle , but it is in there . And that same blue stitching here on this big panel . And you 're going to see it throughout the vehicle in different spots as well . There 's also puddle projectors . And actually , you can get them configured a couple different ways . One of them says stronger than time . That 's what the addition"
520,540,"one says . It says stronger than time . It has a big G. You can also just get a Mercedes emblem if you prefer . And then there 's no frunk because there 's all kinds of tech in here , including a really large battery . I think it 's 116 kWh underneath . They did actually because this thing is meant to off - road . They put extra protection in the battery area . So , the entire undercarriage there"
540,560,"has a protective layer . So , if you 're bumping into things off - road , you 're not going to have to be too concerned about puncturing that battery . But each of the four wheels has its own motor which allows you to do some funky tricks when you 're on the inside tank style turns which I 'm sure you 've seen . Hopefully we can find some snow because it 's for dirt or snow . It 's not going to work on regular pavement . So getting up"
560,580,"into the G Wagon is a bit of a thing . There is this side step but it 's a little bit narrow . I honestly tend to just jump like right in . Now I do n't know if that 's going to be for everyone . If you 're shorter I feel like you 're going to have to step on that first . With my daughter , I was like lifting her straight in . Like , you know what I 'm saying ? I have like a 5 - year - old daughter . She 's going"
