start_time,stop_time,avg_intensity
0,5,38.6
5,10,100.0
10,15,104.2
15,20,38.0
20,25,21.1
25,30,4.2
30,35,15.3
35,40,15.5
40,45,15.7
45,50,22.3
50,55,22.0
55,60,21.6
60,65,16.1
65,70,13.7
70,75,11.3
75,80,10.7
80,85,10.0
85,90,9.3
90,95,5.5
95,100,10.0
100,105,14.5
105,110,32.1
110,115,32.6
115,120,33.1
120,125,16.7
125,130,12.4
130,135,8.2
135,140,11.8
140,145,11.3
145,150,10.8
150,155,3.8
155,160,10.0
160,165,16.2
165,170,42.5
170,175,42.5
175,180,42.5
180,185,16.5
185,190,10.0
190,195,3.5
195,200,8.4
200,205,10.0
205,210,11.6
210,215,13.9
215,220,18.2
220,225,22.5
225,230,33.2
230,235,31.5
235,240,29.9
240,245,14.3
245,250,10.0
250,255,5.7
255,260,10.0
260,265,10.0
265,270,10.0
270,275,10.0
275,280,10.0
280,285,10.0
285,290,10.0
290,295,10.0
295,300,10.0
300,305,10.0
305,310,10.0
310,315,9.45
315,320,8.9
320,325,10.0
325,330,11.075
330,335,12.149999999999999
335,340,21.0
340,345,32.0
345,350,43.0
350,355,54.5
355,360,45.65
360,365,36.8
365,370,13.1
370,375,12.3
375,380,11.5
380,385,16.8
385,390,15.275
390,395,13.75
395,400,10.0
400,405,9.65
405,410,9.3
410,415,10.0
415,420,10.0
420,425,10.0
425,430,10.0
430,435,9.875
435,440,9.75
440,445,9.875
445,450,10.0
450,455,7.3
455,460,9.9
460,465,12.5
465,470,36.7
470,475,44.35
475,480,52.0
480,485,34.75
485,490,22.375
490,495,10.0
495,500,6.55
500,505,8.875
505,510,11.2
510,515,10.7
515,520,10.35
520,525,10.0
525,530,9.9
530,535,9.95
535,540,10.0
540,545,10.0
545,550,10.0
550,555,10.0
555,560,7.7
560,565,8.85
565,570,10.0
570,575,23.0
575,580,28.0
580,585,33.0
585,590,28.6
590,595,23.3
595,600,18.0
600,605,12.5
605,610,11.25
610,615,10.0
615,620,8.4
620,625,10.0
625,630,10.0
630,635,10.0
635,640,1.1
640,645,10.0
645,650,18.9
650,655,51.8
655,660,54.5
660,665,57.1
665,670,27.8
670,675,23.3
675,680,18.7
680,685,34.5
685,690,31.8
690,695,29.1
695,700,11.6
700,705,10.0
705,710,8.4
710,715,24.0
715,720,24.0
720,725,24.0
725,730,12.8
730,735,10.0
735,740,7.2
740,745,10.0
745,750,10.0
750,755,10.0
755,760,10.0
760,765,10.0
765,770,10.0
770,775,10.0
775,780,10.0
780,785,10.0
785,790,7.2
790,795,10.0
795,800,12.8
800,805,22.1
805,810,24.0
810,815,25.9
815,820,22.3
820,825,19.5
825,830,16.7
830,835,11.9
835,840,10.0
840,845,8.1
845,850,10.0
850,855,10.0
855,860,10.0
860,865,10.0
865,870,10.0
870,875,10.0
875,880,8.3
880,885,10.2
885,890,12.1
890,895,19.7
895,900,19.7
900,905,19.6
905,910,11.9
910,915,10.0
915,920,8.1
920,925,10.0
925,930,10.0
930,935,10.0
935,940,10.0
940,945,10.0
945,950,10.0
950,955,4.2
955,960,10.0
960,965,15.8
965,970,38.9
970,975,38.9
975,980,38.9
980,985,15.8
985,990,10.0
990,995,4.2
995,1000,8.7
1000,1005,10.0
1005,1010,11.3
1010,1015,16.7
1015,1020,16.7
1020,1025,16.7
1025,1030,11.3
1030,1035,10.0
1035,1040,8.7
1040,1045,10.0
1045,1050,10.0
1050,1055,10.0
1055,1060,9.6
1060,1065,10.0
1065,1070,10.4
1070,1075,12.2
1075,1080,12.2
1080,1085,12.2
1085,1090,10.4
1090,1095,10.0
1095,1100,9.6
1100,1105,10.0
1105,1110,10.0
1110,1115,10.0
1115,1120,10.0
1120,1125,10.0
1125,1130,10.0
1130,1135,9.1
1135,1140,10.0
1140,1145,11.3
1145,1150,12.600000000000001
1150,1155,14.3
1155,1160,13.450000000000001
1160,1165,12.600000000000001
1165,1170,10.0
1170,1175,9.775
1175,1180,9.55
1180,1185,10.0
1185,1190,10.0
1190,1195,10.0
1195,1200,10.0
1200,1205,10.0
1205,1210,10.0
1210,1215,10.0
1215,1220,10.0
1220,1225,10.0
1225,1230,10.0
1230,1235,10.0
1235,1240,10.0
1240,1245,10.0
1245,1250,10.0
1250,1255,10.0
1255,1260,10.0
1260,1265,5.9
1265,1270,1.7999999999999998
1270,1275,10.0
1275,1280,34.375
1280,1285,58.75
1285,1290,92.2
1290,1295,76.45
1295,1300,60.7
1300,1305,37.95
1305,1310,15.2
1310,1315,10.799999999999999
1315,1320,18.950000000000003
1320,1325,27.1
1325,1330,42.05
1330,1335,48.075
1335,1340,54.1
1340,1345,59.75
1345,1350,55.775
1350,1355,51.8
1355,1360,30.85
1360,1365,20.575000000000003
1365,1370,10.3
1370,1375,6.05
1375,1380,8.025
1380,1385,10.0
1385,1390,9.95
1390,1395,9.975
1395,1400,10.0
1400,1405,10.0
1405,1410,10.0
1410,1415,10.0
1415,1420,9.6
1420,1425,9.8
1425,1430,10.0
1430,1435,12.3
1435,1440,13.05
1440,1445,13.8
1445,1450,12.100000000000001
1450,1455,11.05
1455,1460,10.0
1460,1465,9.45
1465,1470,10.524999999999999
1470,1475,11.6
1475,1480,14.0
1480,1485,20.3
1485,1490,21.8
1490,1495,23.4
1495,1500,19.8
1500,1505,19.3
1505,1510,13.040000000000001
1510,1515,15.5
