start_time,stop_time,avg_intensity
0,5,38.63333333333333
5,10,100.0
10,15,104.1
15,20,37.0
20,25,28.75
25,30,20.5
30,35,3.9
35,40,15.3
40,45,16.3
45,50,17.3
50,55,19.3
55,60,30.9
60,65,30.5
65,70,27.725
70,75,24.95
75,80,20.225
80,85,15.5
85,90,11.4
90,95,11.1
95,100,10.0
100,105,9.45
105,110,8.9
110,115,10.0
115,120,10.0
120,125,10.0
125,130,10.0
130,135,10.0
135,140,10.0
140,145,10.0
145,150,8.2
150,155,10.0
155,160,10.9
160,165,11.8
165,170,16.8
170,175,19.2
175,180,21.6
180,185,21.7
185,190,21.75
190,195,21.8
195,200,22.0
200,205,22.4
205,210,20.0
210,215,17.075
215,220,14.15
220,225,12.075
225,230,10.0
230,235,9.3
235,240,16.7
240,245,16.7
245,250,16.7
250,255,16.7
255,260,9.9
260,265,10.0
265,270,11.65
270,275,13.3
275,280,15.200000000000001
280,285,17.1
285,290,17.8
290,295,14.7
295,300,13.3
300,305,12.600000000000001
305,310,11.9
310,315,10.7
315,320,10.0
320,325,6.675000000000001
325,330,3.3500000000000005
330,335,6.675000000000001
335,340,10.0
340,345,22.6
345,350,72.6
350,355,73.2
355,360,61.2
360,365,49.2
365,370,31.150000000000002
370,375,13.1
375,380,1.6
380,385,16.4
385,390,16.049999999999997
390,395,15.7
395,400,15.1
400,405,11.1
405,410,10.0
410,415,9.725
415,420,9.45
420,425,9.725
425,430,10.0
430,435,10.0
435,440,10.0
440,445,10.0
445,450,10.0
450,455,10.0
455,460,9.6
460,465,10.0
465,470,10.575
470,475,11.15
475,480,11.525
480,485,11.9
485,490,11.9
490,495,10.4
495,500,10.0
500,505,9.8
505,510,9.6
510,515,8.6
515,520,10.0
520,525,11.4
525,530,17.1
530,535,17.1
535,540,17.1
540,545,17.1
545,550,9.5
550,555,10.0
555,560,11.25
560,565,12.5
565,570,16.0
570,575,19.5
575,580,24.4
580,585,23.5
585,590,29.15
590,595,34.8
595,600,46.1
600,605,81.2
605,610,76.2
610,615,61.7
615,620,47.2
620,625,28.6
625,630,10.0
630,635,-3.2
635,640,10.0
640,645,10.0
645,650,10.0
650,655,10.0
655,660,-2.9
660,665,10.0
665,670,29.35
670,675,48.7
675,680,61.6
680,685,74.5
685,690,74.5
690,695,21.2
695,700,10.0
700,705,9.275
