start_time,end_time,text
0.12,2.35,today my daughter Salish and I are going
2.36,5.23,to visit the coolest youtuber houses in
5.24,8.27,the world houses with countless secret
8.28,12.35,rooms W oh my gosh this is awesome a
12.36,14.669,literal Batman Mansion you haven't seen
14.679,17.39,the rest of the house this is really
17.4,19.87,cool this is better than any house I've
19.88,21.63,ever seen and we're also going to see
21.64,24.07,how your favorite YouTubers live their
24.08,26.83,lives some are a little messier than
26.84,29.349,others how are you even living here like
29.359,31.87,what are you doing so first we have this
31.88,33.83,is Brent Rivera's house I don't think he
33.84,35.19,lives here but we're going to find out
35.2,39.029,today come
39.039,41.59,in oh hey
41.6,44.229,oh this is my uh security guard you like
44.239,45.869,it not really no oh my gosh you came
45.879,47.27,with gifts why does it say happy
47.28,48.99,birthday imagine it says happy
49.0,50.79,housewarming cool do I get to open them
50.8,52.549,right now or um no I'll show you them at
52.559,54.63,the end oh okay so wait why are you here
54.64,56.229,I'm confused well I kind of want a house
56.239,58.63,tour of your house why' you say like
58.64,60.63,that as sa is just checking out Brent's
60.64,62.99,house I'll be with the anaala family has
63.0,65.35,a brand new mansion wait that's Batman
65.36,66.63,right is that Batman that must be
66.64,68.59,expensive oh I've never seen one of
68.6,69.99,these spinny things for a car before
70.0,71.59,it's super cool but it kind of makes
71.6,73.91,like actually getting in the car harder
73.92,76.51,I don't yeah I'll just have them do it I
76.52,77.749,mean I think we've already got a five
77.759,79.109,out of five for Vibe right but let's
79.119,80.469,check out the rest of the
80.479,83.59,house Welcome to our new house welcome
83.6,87.67,this is crazy actually mil Wow Come On
87.68,90.71,In what you know what they say hard work
90.72,92.71,pays off I guess I got to start working
92.72,95.99,hard this is like the game room um we
96.0,98.35,play pool you want to do the first shot
98.36,101.95,sure that was really bad oh yeah no yeah
101.96,104.51,I got you can't do that that's not allow
104.52,106.63,not allow actually I'm pretty sure it is
106.64,108.469,a lot I have a couple questions is this
108.479,110.149,actually your house yes it's my house
110.159,111.67,are you sure do you think that I don't
111.68,114.469,live here exactly someone is lying about
114.479,117.029,living in their beautiful house we came
117.039,118.99,here with the excuse of visiting for a
119.0,121.31,house tour but we're here to figure out
121.32,123.31,who is the liar did I grill you when I
123.32,124.99,went to your house no but you know what
125.0,128.83,I see a this is so cute I didn't put
128.84,130.749,that there usually people are in charge
130.759,133.03,of what goes in their house all right
133.04,134.91,anyways let's go Salish I did not put it
134.92,136.43,there it's okay I know you did okay so I
136.44,139.03,am judging your house on Hospitality fun
139.04,140.71,factor and Vibe so you have to be nice
140.72,142.27,to me the house has to be fun and the
142.28,143.83,vibe has to be awesome I don't think we
143.84,145.27,have to work a lot on the vibe oh you're
145.28,146.589,that confident in your house already do
146.599,151.03,you see this so this is our h humous
151.04,152.869,balcony how long have you lived here I
152.879,154.229,can't believe you haven't told me this
154.239,156.309,is actually our first night here this is
156.319,158.55,your first night here and I'm invited oh
158.56,161.19,wow what's this just if you want to take
161.2,163.35,a little step in the water go over here
163.36,164.99,if you're too scared to go in the pool
165.0,166.71,why is it so shallow I don't know why
166.72,168.43,you're asking this is my first day here
168.44,171.589,got it oh what's this this is a Jacuzzi
171.599,173.589,we can come into jacuzzi all together
173.599,175.43,and watch the beautiful view I love and
175.44,177.03,hate you guys right now there's also a
177.04,178.63,pool under there so there's a that
178.64,180.55,sounding like a question like a question
180.56,181.949,okay wait I got to get my mind around
181.959,183.91,this you have this and then an entire
183.92,185.309,other pool down there yes we have
185.319,187.43,another Pool and do I get to be invited
187.44,189.789,ever there's a 60 plus rule that don't
189.799,192.149,get invited into I'm not 60 so I don't
192.159,195.27,know what you're talking about 70 80 n
195.28,196.63,you would know how old I was if you ever
196.64,198.07,check famous birthdays but since you're
198.08,199.55,not really listed on there like I am I
199.56,200.75,guess you never look aren't you aren't
200.76,202.39,you like the last one there is it like
202.4,203.99,Salish number one why are you even here
204.0,205.75,why is Salish not here right now Salish
205.76,207.55,is at Brent Rivera's house comment below
207.56,209.55,which one is nicer this is like the
209.56,212.149,little room area this is my TV my
212.159,214.309,fireplace everything with who just by
214.319,216.35,myself CU it's your house yes because
216.36,218.35,it's my house yes yeah yes this is the
218.36,219.869,kitchen area do you know how to work the
