start_time,end_time,words
0,20,today my daughter Salish and I are going to visit the coolest youtuber houses in the world houses with countless secret rooms W oh my gosh this is awesome a literal Batman Mansion you have n't seen the rest of the house this is really cool this is better than any house I 've
20,40,ever seen and we 're also going to see how your favorite YouTubers live their lives some are a little messier than others how are you even living here like what are you doing so first we have this is Brent Rivera 's house I do n't think he lives here but we 're going to find out today come in
40,60,oh hey oh this is my uh security guard you like it not really no oh my gosh you came with gifts why does it say happy birthday imagine it says happy housewarming cool do I get to open them right now or um no I 'll show you them at the end oh okay so wait why are you here I 'm confused well I kind of want a house tour of your house why ' you say like that as sa is just
60,80,checking out Brent 's house I 'll be with the anaala family has a brand new mansion wait that 's Batman right is that Batman that must be expensive oh I 've never seen one of these spinny things for a car before it 's super cool but it kind of makes like actually getting in the car harder I do n't yeah I 'll just have them do it I mean I think we 've already got a five out of five for Vibe right but let 's check out the
80,100,rest of the house Welcome to our new house welcome this is crazy actually mil Wow Come On In what you know what they say hard work pays off I guess I got to start working hard this is like the game room um we play pool you want to do the first shot sure that was
100,120,really bad oh yeah no yeah I got you ca n't do that that 's not allow not allow actually I 'm pretty sure it is a lot I have a couple questions is this actually your house yes it 's my house are you sure do you think that I do n't live here exactly someone is lying about living in their beautiful house we came here with the excuse of visiting for a house tour but
120,140,we 're here to figure out who is the liar did I grill you when I went to your house no but you know what I see a this is so cute I did n't put that there usually people are in charge of what goes in their house all right anyways let 's go Salish I did not put it there it 's okay I know you did okay so I am judging your house on Hospitality fun factor and Vibe so
140,160,you have to be nice to me the house has to be fun and the vibe has to be awesome I do n't think we have to work a lot on the vibe oh you 're that confident in your house already do you see this so this is our h humous balcony how long have you lived here I ca n't believe you have n't told me this is actually our first night here this is your first night here and I 'm invited oh wow what 's this just
160,180,if you want to take a little step in the water go over here if you 're too scared to go in the pool why is it so shallow I do n't know why you 're asking this is my first day here got it oh what 's this this is a Jacuzzi we can come into jacuzzi all together and watch the beautiful view I love and hate you guys right now there 's also a pool under there so there 's a that sounding like a question
180,200,like a question okay wait I got to get my mind around this you have this and then an entire other pool down there yes we have another Pool and do I get to be invited ever there 's a 60 plus rule that do n't get invited into I 'm not 60 so I do n't know what you 're talking about 70 80 n you would know how old I was if you ever check famous birthdays but since you 're not really listed on there like I am I guess you
