start_time,stop_time,avg_intensity
0,5,22.150000000000002
5,10,29.700000000000003
10,15,10.0
15,20,6.9
20,25,10.0
25,30,10.0
30,35,10.0
35,40,10.0
40,45,10.0
45,50,10.0
50,55,10.0
55,60,10.0
60,65,10.0
65,70,9.95
70,75,10.0
75,80,10.0
80,85,11.1
85,90,13.6
90,95,14.75
95,100,14.8
100,105,14.850000000000001
105,110,14.6
110,115,12.0
115,120,15.950000000000001
120,125,35.3
125,130,29.1
130,135,17.8
135,140,14.75
140,145,15.45
145,150,16.549999999999997
150,155,16.6
155,160,17.0
160,165,18.1
165,170,20.9
170,175,25.049999999999997
175,180,31.4
180,185,35.75
185,190,38.65
190,195,38.5
195,200,38.2
200,205,31.950000000000003
205,210,19.45
210,215,12.55
215,220,11.5
220,225,10.5
225,230,14.3
230,235,20.8
235,240,26.65
240,245,34.05
245,250,22.0
250,255,10.1
255,260,8.15
260,265,11.100000000000001
265,270,11.7
270,275,13.2
275,280,15.1
280,285,19.049999999999997
285,290,19.85
290,295,11.05
295,300,7.9
300,305,8.5
305,310,18.9
310,315,24.8
315,320,18.15
320,325,9.7
325,330,18.6
330,335,18.05
335,340,14.5
340,345,11.8
345,350,9.55
350,355,10.0
355,360,10.0
360,365,10.0
365,370,10.0
370,375,10.0
375,380,10.0
380,385,10.0
385,390,9.95
390,395,10.2
395,400,10.7
400,405,11.649999999999999
405,410,11.95
410,415,10.2
415,420,9.8
420,425,10.0
425,430,10.0
430,435,10.0
435,440,10.0
440,445,10.0
445,450,10.0
450,455,9.7
455,460,10.0
460,465,11.7
465,470,13.399999999999999
470,475,9.9
475,480,18.35
480,485,34.2
485,490,57.650000000000006
490,495,80.5
495,500,99.25
500,505,97.6
505,510,62.25
510,515,47.4
515,520,42.5
520,525,30.6
525,530,16.85
530,535,12.35
535,540,13.85
540,545,17.6
545,550,19.35
550,555,20.700000000000003
555,560,22.9
560,565,20.950000000000003
565,570,13.05
570,575,21.7
575,580,30.3
580,585,30.2
585,590,26.450000000000003
590,595,27.7
595,600,20.6
600,605,14.0
605,610,10.55
610,615,9.8
615,620,12.0
620,625,12.0
625,630,11.2
630,635,10.5
635,640,10.0
640,645,9.9
645,650,10.0
650,655,10.0
655,660,10.0
660,665,10.0
665,670,9.15
670,675,10.85
675,680,17.2
680,685,21.3
685,690,22.9
690,695,25.25
695,700,25.4
700,705,22.75
705,710,17.700000000000003
710,715,15.1
715,720,13.0
720,725,12.4
725,730,11.6
730,735,13.25
735,740,18.15
740,745,23.35
745,750,23.6
750,755,18.200000000000003
755,760,11.6
760,765,9.45
765,770,9.95
770,775,11.2
775,780,10.7
780,785,10.0
785,790,9.9
790,795,10.0
795,800,10.0
800,805,10.0
805,810,10.0
810,815,10.0
815,820,10.0
820,825,10.0
825,830,10.0
830,835,10.0
835,840,10.0
840,845,10.0
845,850,10.0
850,855,7.333333333333333
855,860,8.0
