timestamp_sec,intensity
0.000,0.000
0.855,8.200
1.710,39.200
4.275,41.200
6.840,43.200
9.405,16.200
12.825,10.000
16.245,3.800
17.955,10.000
21.375,10.000
24.795,10.000
26.505,10.000
29.925,10.000
33.344,10.000
35.054,10.000
38.474,10.000
41.894,10.000
43.604,10.000
47.024,10.000
50.444,10.000
52.154,10.000
55.574,10.000
58.994,10.000
60.704,10.000
64.124,10.000
67.544,10.000
69.254,9.900
72.674,10.000
76.094,10.100
77.804,9.900
81.224,10.700
84.644,11.500
86.354,13.200
89.774,14.000
93.193,14.800
94.903,14.700
98.323,14.800
101.743,14.900
103.453,14.800
106.873,14.600
110.293,14.400
112.003,9.600
115.423,13.800
118.843,18.100
120.553,34.900
123.973,35.700
127.393,36.400
129.103,21.800
132.523,17.800
135.943,13.700
137.653,15.800
141.073,15.600
144.493,15.300
146.203,16.400
149.623,16.700
153.042,17.000
154.752,16.200
158.172,17.000
161.592,17.900
163.302,18.300
166.722,20.900
170.142,23.400
171.852,26.700
175.272,29.800
178.692,33.000
180.402,34.900
183.822,36.600
187.242,38.300
188.952,39.000
192.372,38.500
195.792,38.000
197.502,38.400
200.922,34.100
204.342,29.800
206.052,21.700
209.472,17.200
212.892,12.700
214.601,12.400
218.021,11.500
221.441,10.700
223.151,10.300
226.571,13.000
229.991,15.600
231.701,20.800
235.121,24.700
238.541,28.600
240.251,35.500
243.671,32.600
247.091,29.600
248.801,14.400
252.221,10.100
255.641,5.800
257.351,10.500
260.771,10.900
264.191,11.300
265.901,11.300
269.321,12.100
272.741,13.000
274.451,13.400
277.870,15.100
281.290,16.700
283.000,21.400
286.420,20.400
289.840,19.300
291.550,12.100
294.970,10.000
298.390,7.900
300.100,7.000
303.520,10.000
306.940,13.000
308.650,24.800
312.070,24.800
315.490,24.900
317.200,11.400
320.620,10.300
324.040,9.100
325.750,18.200
329.170,19.000
332.590,19.800
334.300,16.300
337.719,14.500
341.139,12.700
342.849,10.900
346.269,10.000
349.689,9.100
351.399,10.000
354.819,10.000
358.239,10.000
359.949,10.000
363.369,10.000
366.789,10.000
368.499,10.000
371.919,10.000
375.339,10.000
377.049,10.000
380.469,10.000
383.889,10.000
385.599,9.900
389.019,10.000
392.439,10.100
394.149,10.300
397.568,10.700
400.988,11.100
402.698,12.200
406.118,12.000
409.538,11.900
411.248,10.400
414.668,10.000
418.088,9.600
419.798,10.000
423.218,10.000
426.638,10.000
428.348,10.000
431.768,10.000
435.188,10.000
436.898,10.000
440.318,10.000
443.738,10.000
445.448,10.000
448.868,10.000
452.288,10.000
453.998,9.400
457.418,10.000
460.837,10.600
462.547,12.800
465.967,13.200
469.387,13.600
471.097,7.800
474.517,12.000
477.937,16.200
479.647,20.500
483.067,34.200
486.487,47.900
488.197,67.400
491.617,80.500
495.037,93.700
496.747,104.800
500.167,100.000
503.587,95.200
505.297,68.000
508.717,56.500
512.137,45.000
513.847,49.800
517.267,42.500
520.686,35.200
522.396,26.000
525.816,19.900
529.236,13.800
530.946,12.600
534.366,12.100
537.786,11.700
539.496,16.000
542.916,17.600
546.336,19.200
548.046,19.500
551.466,20.300
554.886,21.100
556.596,22.900
560.016,21.600
563.436,20.300
565.146,12.200
568.566,13.900
571.986,15.700
573.696,27.700
577.116,30.300
580.536,32.800
582.245,27.600
585.665,26.800
589.085,26.100
590.795,29.000
594.215,26.400
597.635,23.900
599.345,17.300
602.765,14.000
606.185,10.700
607.895,10.400
611.315,10.000
614.735,9.600
616.445,11.900
619.865,12.100
623.285,12.400
624.995,11.600
628.415,11.200
631.835,10.800
633.545,10.200
636.965,10.000
640.385,9.800
642.094,10.000
645.514,10.000
648.934,10.000
650.644,10.000
654.064,10.000
657.484,10.000
659.194,10.000
662.614,10.000
666.034,10.000
667.744,8.300
671.164,10.000
674.584,11.700
676.294,15.900
679.714,18.500
683.134,21.100
684.844,21.500
688.264,22.900
691.684,24.300
693.394,26.200
696.814,25.400
700.234,24.600
701.944,20.900
705.363,18.800
708.783,16.600
710.493,15.700
713.913,14.500
717.333,13.200
719.043,12.800
722.463,12.400
725.883,12.000
727.593,11.200
731.013,12.600
734.433,13.900
736.143,17.000
739.563,19.300
742.983,21.500
744.693,25.200
748.113,23.600
751.533,22.100
753.243,14.300
756.663,11.600
760.083,8.800
761.793,10.100
765.212,10.000
768.632,9.900
770.342,11.200
773.762,11.200
777.182,11.200
778.892,10.200
782.312,10.000
785.732,9.800
787.442,10.000
790.862,10.000
794.282,10.000
795.992,10.000
799.412,10.000
802.832,10.000
804.542,10.000
807.962,10.000
811.382,10.000
813.092,10.000
816.512,10.000
819.932,10.000
821.642,10.000
825.062,10.000
828.481,10.000
830.191,10.000
833.611,10.000
837.031,10.000
838.741,10.000
842.161,10.000
845.581,10.000
848.146,10.000
850.711,10.000
853.276,10.000
854.131,12.000
854.986,10.000
855.841,8.000
854.986,2.000
854.986,0.000
