start_time,end_time,text
0.04,1.79,so this is a very exciting day not
1.8,3.75,because of this I mean you've seen this
3.76,6.19,before this is a basketball a Wilson
6.2,8.549,basketball it looks a lot like what they
8.559,12.27,use in the NBA but you may have seen
12.28,14.869,something some previews of something a
14.879,17.87,lot more high-tech it is Wilson's
17.88,20.63,futuristic basketball that's inside of
20.64,22.269,this box right here and I don't know
22.279,24.269,what the presentation is like I don't
24.279,25.87,know what the unboxing experience is
25.88,28.31,like all I know is that I was part of a
28.32,30.31,select group of people that were
30.32,32.19,contacted and asked if they would like
32.2,35.47,to receive this new high-tech basketball
35.48,38.67,and of course I said yes and now we are
38.68,40.63,here so the reason I've got this other
40.64,42.63,basketball is in order to compare the
42.64,46.229,two the futuristic 3D printed high- Tech
46.239,48.31,basketball that costs a lot of money
48.32,50.51,I'll tell you more about that later and
50.52,52.389,of course a standard basketball that you
52.399,54.389,can buy at any Sporting Goods store I
54.399,55.91,think this one was about 60 bucks
55.92,58.349,Canadian it's not the exact thing that
58.359,60.63,they use on the NBA court but it is what
60.64,62.99,we're used to bouncing and it bounces
63.0,65.39,essentially the same way so we'll test
65.4,66.83,them both out we'll see how the
66.84,70.429,traditional air bladder holds up against
70.439,74.39,the new technology without any air
74.4,76.27,inside of it at all well I mean there's
76.28,78.149,air inside of it but it's not enclosed
78.159,79.83,in there I don't know how they did it so
79.84,82.069,this episode has been sponsored by paper
82.079,83.95,like this is a screen protect for your
83.96,86.149,iPad now I've talked about dedicated
86.159,88.23,devices that can have this effect where
88.24,90.23,it feels like you're writing on paper
90.24,92.19,but the best thing about this product is
92.2,93.59,that it takes something you already have
93.6,95.109,like an iPad and something that's much
95.119,97.19,more versatile like an iPad and makes
97.2,100.03,its input far more satisfying and of
100.04,103.67,course artistic make your iPad feel like
103.68,105.149,Paper Plus at the same time it's
105.159,106.59,protecting your display but it doesn't
106.6,108.51,end there they've actually got these
108.52,111.149,little grips for apple pencil in order
111.159,113.63,to give you a much more comfortable hold
113.64,115.31,they've got two that come inside here
115.32,117.23,precision and comfort they've also just
117.24,119.35,come out with this spray this will keep
119.36,122.83,your screen squeaky clean oh the unit
122.84,125.83,itself is microfiber so
128.0,131.11,satisfying wow yeah so this Pro bundle
131.12,132.949,is styled as a one-pack solution for
132.959,134.71,iPad users it includes everything
134.72,136.03,someone needs to maximize their
136.04,138.11,productivity and creativity bundles
138.12,140.19,purchased online have been updated to
140.2,142.55,carry the most recent stock so this
142.56,144.589,screen protector has some proprietary
144.599,146.47,technology called Nano dots on the
146.48,148.35,surface this helps you achieve better
148.36,150.47,handwriting and excellent stroke
150.48,154.47,resistance while maintaining your screen
154.48,156.63,Clarity see one of the problems with
156.64,159.67,writing on your iPad is it doesn't have
159.68,162.47,a ton of feedback it feels like writing
162.48,165.91,on glass because well you are writing on
165.92,167.869,glass so once again thanks to paperlike
167.879,169.309,for sponsoring this portion of the
169.319,170.63,episode if you want to check out those
170.64,172.19,bundles head down to the description
172.2,173.71,I'll have all the links down there let's
173.72,176.19,take the classic out first now this
177.4,179.43,experience extremely straightforward
179.44,181.39,look at that
181.4,184.149,that's frustration
184.159,186.149,free this one could use a little bit
186.159,187.869,more air but we're going to dial it in
187.879,193.11,to the exact PSI suggestion from Wilson
193.12,198.39,There we go 8.1 that should
198.4,201.55,do yeah that that feels right that feels
201.56,203.229,good and by the way if you also like
203.239,204.91,that pump right there I can I'm going to
204.92,207.47,link that because that's satisfying
207.48,209.19,right you see the reading on there I use
209.2,212.35,it for the car Tires Plus it has a
212.36,214.589,rechargeable battery removable and so it
214.599,216.309,can share battery with your other tools
216.319,217.91,I don't know what you're into I'm into
217.92,220.39,that I'm into some things here we go it
221.799,224.91,time for us to finally get our hands on
224.92,227.75,something that was teased for a while I
227.76,229.63,don't even remember the first time that
229.64,231.99,this was shown off but I've wanted to
232.0,233.71,get my hands on it ever since I first
233.72,235.83,saw it like I saw the laboratory in
235.84,238.55,which they were developing it some of
238.56,240.99,those um initial prototypes I'm
241.0,243.47,surprised it's it's even a real product
243.48,244.83,like I didn't know if it was going to be
244.84,247.149,more of a concept car type thing that
247.159,249.55,then would eventually change and trickle
249.56,253.39,its way into the store for some like
253.4,256.31,budget price like a toy like I didn't
256.32,257.509,just didn't know what it was going to
257.519,259.55,end up being but it's kind of the
259.56,262.469,opposite they're like no this is
262.479,264.749,regulation basketball behavior and it's
264.759,267.83,going to cost you a lot of money wow and
