start_time,stop_time,avg_intensity
0,20,19.08888888888889
20,40,10.0
40,60,10.0
60,80,9.985714285714286
80,100,13.385714285714286
100,120,14.314285714285715
120,140,25.157142857142855
140,160,16.314285714285713
160,180,24.285714285714285
180,200,37.67142857142857
200,220,19.914285714285715
220,240,17.67142857142857
240,260,19.785714285714285
260,280,12.442857142857141
280,300,15.4
300,320,16.557142857142857
320,340,15.314285714285715
340,360,10.3375
360,380,10.0
380,400,10.142857142857142
400,420,10.9
420,440,10.0
440,460,9.914285714285715
460,480,13.3375
480,500,71.41666666666667
500,520,65.28571428571429
520,540,18.4125
540,560,20.099999999999998
560,580,20.24285714285714
580,600,26.2375
600,620,11.242857142857144
620,640,11.033333333333333
640,660,9.975
660,680,12.057142857142859
680,700,23.566666666666666
700,720,17.1375
720,740,14.057142857142859
740,760,19.716666666666665
760,780,10.325
780,800,9.971428571428572
800,820,10.0
820,840,10.0
840,860,8.2
