start_time,end_time,words
0,20,so this is a very exciting day not because of this I mean you 've seen this before this is a basketball a Wilson basketball it looks a lot like what they use in the NBA but you may have seen something some previews of something a lot more high - tech it is Wilson 's futuristic basketball that 's
20,40,inside of this box right here and I do n't know what the presentation is like I do n't know what the unboxing experience is like all I know is that I was part of a select group of people that were contacted and asked if they would like to receive this new high - tech basketball and of course I said yes and now we are here so the reason I 've
40,60,got this other basketball is in order to compare the two the futuristic 3D printed high- Tech basketball that costs a lot of money I 'll tell you more about that later and of course a standard basketball that you can buy at any Sporting Goods store I think this one was about 60 bucks Canadian it 's not the exact thing that they use on the NBA court
60,80,but it is what we 're used to bouncing and it bounces essentially the same way so we 'll test them both out we 'll see how the traditional air bladder holds up against the new technology without any air inside of it at all well I mean there 's air inside of it but it 's not enclosed in there I do n't know how they did it so
80,100,this episode has been sponsored by paper like this is a screen protect for your iPad now I 've talked about dedicated devices that can have this effect where it feels like you 're writing on paper but the best thing about this product is that it takes something you already have like an iPad and something that 's much more versatile like an iPad and makes its input far more satisfying and
100,120,of course artistic make your iPad feel like Paper Plus at the same time it 's protecting your display but it does n't end there they 've actually got these little grips for apple pencil in order to give you a much more comfortable hold they 've got two that come inside here precision and comfort they 've also just come out with this spray this will keep your
120,140,screen squeaky clean oh the unit itself is microfiber so satisfying wow yeah so this Pro bundle is styled as a one - pack solution for iPad users it includes everything someone needs to maximize their productivity and creativity bundles purchased online have been
140,160,updated to carry the most recent stock so this screen protector has some proprietary technology called Nano dots on the surface this helps you achieve better handwriting and excellent stroke resistance while maintaining your screen Clarity see one of the problems with writing on your iPad is it does n't have a
160,180,ton of feedback it feels like writing on glass because well you are writing on glass so once again thanks to paperlike for sponsoring this portion of the episode if you want to check out those bundles head down to the description I 'll have all the links down there let 's take the classic out first now this experience extremely straightforward
180,200,look at that that 's frustration free this one could use a little bit more air but we 're going to dial it in to the exact PSI suggestion from Wilson There we go 8.1 that should do yeah that that
200,220,feels right that feels good and by the way if you also like that pump right there I can I 'm going to link that because that 's satisfying right you see the reading on there I use it for the car Tires Plus it has a rechargeable battery removable and so it can share battery with your other tools I do n't know what you 're into I 'm into that I 'm into some things here
220,240,we go it time for us to finally get our hands on something that was teased for a while I do n't even remember the first time that this was shown off but I 've wanted to get my hands on it ever since I first saw it like I saw the laboratory in which they were developing it some of those um initial
240,260,prototypes I 'm surprised it 's it 's even a real product like I did n't know if it was going to be more of a concept car type thing that then would eventually change and trickle its way into the store for some like budget price like a toy like I did n't just did n't know what it was going to end up being but it 's kind of the
260,280,opposite they 're like no this is regulation basketball behavior and it 's going to cost you a lot of money wow and it starts with the special case imagine buying a basketball that comes in its own
280,300,suitcase wow heirless gen one welcome to the future of sports Wilson is dedicated to pushing the boundaries of sports Innovation with the
