start_time,stop_time,avg_intensity
0,5,52.675
5,10,82.35
10,15,46.4
15,20,48.349999999999994
20,25,52.9
25,30,31.6
30,35,22.1
35,40,22.85
40,45,27.4
45,50,29.6
50,55,24.75
55,60,16.6
60,65,15.5
65,70,16.0
70,75,16.0
75,80,12.65
80,85,9.85
85,90,12.6
90,95,15.55
95,100,20.15
100,105,16.95
105,110,12.4
110,115,10.45
115,120,9.75
120,125,10.0
125,130,10.0
130,135,10.0
135,140,10.0
140,145,10.0
145,150,9.9
150,155,10.05
155,160,10.2
160,165,7.4
165,170,12.8
170,175,30.700000000000003
175,180,62.95
180,185,89.69999999999999
185,190,82.05
190,195,59.4
195,200,38.650000000000006
200,205,16.8
205,210,12.5
210,215,9.0
215,220,10.0
220,225,9.95
225,230,10.0
230,235,10.399999999999999
235,240,10.7
240,245,10.05
245,250,9.05
250,255,10.0
255,260,13.9
260,265,20.75
265,270,23.8
270,275,26.55
275,280,28.15
280,285,27.95
285,290,26.4
290,295,24.25
295,300,22.55
300,305,24.4
305,310,22.75
310,315,20.0
315,320,17.3
320,325,14.7
325,330,11.7
330,335,11.2
335,340,15.45
340,345,21.25
345,350,24.7
350,355,27.2
355,360,24.95
360,365,16.35
365,370,12.05
370,375,13.4
375,380,16.1
380,385,23.7
385,390,34.8
390,395,49.7
395,400,57.95
400,405,60.650000000000006
405,410,53.9
410,415,37.8
415,420,19.549999999999997
420,425,21.25
425,430,30.85
430,435,37.3
435,440,36.25
440,445,28.5
445,450,18.4
450,455,8.15
455,460,10.0
460,465,7.95
465,470,10.0
470,475,19.1
475,480,33.55
480,485,42.55
485,490,32.45
490,495,19.8
495,500,13.9
500,505,12.8
505,510,13.75
510,515,14.7
515,520,10.05
520,525,11.75
525,530,14.3
530,535,14.15
535,540,13.899999999999999
540,545,15.899999999999999
545,550,18.1
550,555,18.3
555,560,14.85
560,565,13.3
565,570,16.95
570,575,27.55
575,580,40.099999999999994
580,585,40.05
585,590,31.7
590,595,19.950000000000003
595,600,7.85
600,605,10.0
605,610,9.8
610,615,10.0
615,620,11.0
620,625,11.9
625,630,11.85
630,635,11.15
635,640,10.45
640,645,10.1
645,650,10.0
650,655,9.95
655,660,10.0
660,665,10.0
665,670,10.0
670,675,10.0
675,680,10.0
680,685,10.0
685,690,10.0
690,695,10.0
695,700,9.85
700,705,10.55
705,710,11.3
710,715,11.85
715,720,12.3
720,725,12.3
725,730,11.0
730,735,10.0
735,740,9.55
740,745,10.0
745,750,11.3
750,755,12.55
755,760,11.75
760,765,10.65
765,770,10.0
770,775,9.85
775,780,10.0
780,785,10.0
785,790,10.0
790,795,10.0
795,800,9.25
800,805,10.0
805,810,13.95
810,815,18.35
815,820,17.3
820,825,13.15
825,830,10.0
830,835,9.35
835,840,10.0
840,845,10.0
845,850,10.0
850,855,10.0
855,860,7.0
