start_time,end_time,text
0.04,1.35,how many pixels is that though well
1.3599999999999999,2.35,someone's going to have to do the math
2.36,5.67,on screen just like 1 billion pixels
5.68,7.23,I've got in front of me something called
7.24,10.23,the fusion doc Max one for my vany and
10.24,13.35,this is probably the most capable dock
13.36,15.629,that I've ever seen or had if this thing
15.639,17.15,comes crashing
17.16,20.029,down that is literally
20.039,23.349,"$21,000 cracked that's so"
23.359,30.91,crazy I mean
30.92,34.83,I guess it'll be counter weighted this
34.84,38.27,thing is capable of pumping Out video
38.28,43.75,from a MacBook to three 6K displays and
43.76,47.79,one 4K display from one single dock we
47.8,50.029,actually happen to have those monitors
50.039,51.83,here in the studio we'll just have to
51.84,54.63,pile them together and then of course LG
54.64,57.029,sent us one of their latest my view
57.039,59.189,smart monitors in order to make up that
59.199,60.43,final monitor
60.44,62.83,to add to this wild setup now the way
62.84,64.59,that this works is obviously via
64.6,67.23,Thunderbolt it is designed for Mac OS
67.24,69.31,and it is designed for up to a quad
69.32,71.749,monitor setup I think the best way to do
71.759,75.67,this is to do the three xdr displays 6K
75.68,77.83,* three along the bottom and then we'll
77.84,81.069,do the 4K display on the top it's going
81.079,82.91,to require a little bit of adjustment I
82.92,85.67,haven't used this particular Mount
85.68,89.069,before but it seems like it'll have the
89.079,91.51,reach all your peripherals keyboard
91.52,93.71,mouse you're going to get a built-in SD
93.72,95.95,card slot we've got gigabit Ethernet so
95.96,97.91,we can stay wired we've also got a
97.92,99.35,security slot so we can keep everything
99.36,102.35,locked down power delivery over the
102.36,104.99,Thunderbolt cable so we can deliver 96
105.0,107.429,watts of power and we've got optical
107.439,110.069,audio if we want to send digital audio
110.079,112.67,out to any of our uh external gear it
112.68,114.23,all mounts to the desk and then it's
114.24,116.67,height adjustable via this pole but it
116.68,120.029,will be a kind of trial and error situ
120.039,123.59,ation to figure out your Heights
123.6,126.95,this looks
126.96,129.15,roughly where I need to
129.16,131.949,be so that'll work but then we may run
131.959,137.11,out of space above I think we got to go
137.12,141.39,lower maybe
141.4,143.67,there I mean I don't think we can go any
143.68,146.869,lower I think that's it just like this
146.879,148.79,that's it so because these plates are so
148.8,151.07,easy to take on and off I guess if you
151.08,152.91,did want to adjust the height at a later
152.92,157.96,moment it wouldn't be that big of a
168.8,172.03,deal how the how do you tighten that
172.04,176.11,piece if we have a Mac Mini M1 or M2
176.12,178.99,basically any of these laptops can go to
179.0,180.27,a single display that's that's not much
180.28,182.229,of a surprise dual display now we're
182.239,185.589,talking about MacBook Pro M1 M2 M3 Pro
185.599,188.07,or a Mac Mini with an M2 Pro and then
188.08,189.75,when we talk about quad displays we're
189.76,192.03,looking at MacBook Pros that are either
192.04,195.99,M1 M2 or M3 Max for the purpose of this
196.0,197.35,setup that we're going to build we're
197.36,200.71,going to go with an M3 Max yeah so this
200.72,202.949,has a tension piece on it to adjust your
202.959,205.509,angle and the amount of force required
205.519,206.869,to move that angle after you have it
206.879,208.83,mounted so you have to offset for
208.84,219.75,whatever type of weight you're dealing
219.76,222.07,with this is going to be interesting
222.08,226.949,this is going to be quite
226.959,229.39,interesting oh man well these are
229.4,231.83,precarious mounts hey can you imagine
231.84,234.71,"putting $20,000 worth of"
234.72,237.149,monitors on this Mount look at it it's
237.159,241.47,already bending that way
261.919,264.469,jeez oh my
264.479,267.03,God that's a lot of pixels right there
267.04,268.71,6K *
268.72,270.99,3 I'm always going to put the math right
271.0,273.029,here total number of pixels currently
273.039,274.79,and we're going to still add 4K to it
274.8,276.83,this is the LG my view smart Monitor and
276.84,278.51,what's cool about this is having this as
278.52,280.71,your fourth monitor it's a 4k monitor
280.72,283.029,this is the maximum output from the M3
283.039,285.909,Max MacBook Pro 36k 1 14k but what's
285.919,287.83,cool about this it has a remote control
287.84,289.51,it's a smart monitor so it behaves kind
289.52,291.55,of like a TV dive into the smart
291.56,293.95,interface and just like watch Netflix or
293.96,295.749,stream sports or whatever you want to do
295.759,307.029,just write on the monitor natively
307.039,309.31,the other cool thing about this monitor
309.32,312.83,is it's going to have speakers as
316.56,320.51,wow that's pretty cool
320.52,323.51,jeez and I like the double 32 like it's
323.52,325.79,just so symmetrical and I suppose you
325.8,328.67,could take the the upper one and put a
328.68,331.469,little more tilt on
331.479,334.35,it yeah like
334.36,338.07,that it's kind of tilting down oh yeah
338.88,342.95,sick oh yeah oh yeah oh yeah I forgot it
342.96,345.189,also comes with a webcam a magnetically
345.199,348.189,attaching webcam they showed me this at
348.199,352.23,CES and it's got the Privacy shield on
352.24,354.909,it there's a magnetic connection point
