start_time,end_time,words
0,20,how many pixels is that though well someone 's going to have to do the math on screen just like 1 billion pixels I 've got in front of me something called the fusion doc Max one for my vany and this is probably the most capable dock that I 've ever seen or had if this thing comes crashing down that is
20,40,"literally $ 21,000 cracked that 's so crazy I mean I guess it 'll be counter weighted this thing is capable of pumping Out video from a"
40,60,MacBook to three 6 K displays and one 4 K display from one single dock we actually happen to have those monitors here in the studio we 'll just have to pile them together and then of course LG sent us one of their latest my view smart monitors in order to make up that final
60,80,monitor to add to this wild setup now the way that this works is obviously via Thunderbolt it is designed for Mac OS and it is designed for up to a quad monitor setup I think the best way to do this is to do the three xdr displays 6 K * three along the bottom and then we 'll do the 4 K display on the
80,100,top it 's going to require a little bit of adjustment I have n't used this particular Mount before but it seems like it 'll have the reach all your peripherals keyboard mouse you 're going to get a built - in SD card slot we 've got gigabit Ethernet so we can stay wired we 've also got a security slot so we can keep everything locked
100,120,down power delivery over the Thunderbolt cable so we can deliver 96 watts of power and we 've got optical audio if we want to send digital audio out to any of our uh external gear it all mounts to the desk and then it 's height adjustable via this pole but it will be a kind of trial and error
120,140,situ ation to figure out your Heights this looks roughly where I need to be so that 'll work but then we may run out of space above I think we got to go lower
140,160,maybe there I mean I do n't think we can go any lower I think that 's it just like this that 's it so because these plates are so easy to take on and off I guess if you did want to adjust the height at a later moment it would n't be that big of a
160,180,deal how the how do you tighten that piece if we have a Mac Mini M1 or M2 basically any of these laptops can go to a single display that 's that
180,200,'s not much of a surprise dual display now we 're talking about MacBook Pro M1 M2 M3 Pro or a Mac Mini with an M2 Pro and then when we talk about quad displays we 're looking at MacBook Pros that are either M1 M2 or M3 Max for the purpose of this setup that we 're going to build we 're going to go with an M3 Max
200,220,yeah so this has a tension piece on it to adjust your angle and the amount of force required to move that angle after you have it mounted so you have to offset for whatever type of weight you 're dealing
220,240,"with this is going to be interesting this is going to be quite interesting oh man well these are precarious mounts hey can you imagine putting $ 20,000 worth of monitors on this Mount look at it it 's already"
240,260,bending that way
260,280,jeez oh my God that 's a lot of pixels right there 6 K * 3 I 'm always going to put the math right here total number of pixels currently and we 're going to still add 4 K to it this is the LG my view smart Monitor and what 's cool about this is having this as your fourth monitor it
280,300,'s a 4k monitor this is the maximum output from the M3 Max MacBook Pro 36k 1 14k but what 's cool about this it has a remote control it 's a smart monitor so it behaves kind of like a TV dive into the smart interface and just like watch Netflix or stream sports or whatever you want to do just write
300,320,on the monitor natively the other cool thing about this monitor is it 's going to have speakers as wow that 's pretty
320,340,cool jeez and I like the double 32 like it 's just so symmetrical and I suppose you could take the the upper one and put a little more tilt on it yeah like that it 's kind of tilting down oh yeah sick oh
340,360,yeah oh yeah oh yeah I forgot it also comes with a webcam a magnetically attaching webcam they showed me this at CES and it 's got the Privacy shield on it there 's a magnetic connection point on the back here lines up with this and your camera
360,380,just fits on there and if you want it off for whatever reason boom gone so it 's like double privacy comes with an HDMI cable that 's a bonus this is what I 'm talking about dedicated remote volume all your smart TV controls dedicated buttons for Netflix Disney plus Prime video they
380,400,do give you some cables to get up and running and the most interesting one is this one right here so this is a dual Thunderbolt cable which will interface with your MacBook Pro and the dock so when you look at the dock here and you see the laptop portion this dual cable slots in like that so you 're only having
400,420,one cable to attach I love the one cable system to give you that bandwidth that throughput that you 're going to need to pump all those pixels okay so everything is plugged in it 's kind of messy like it 's just proof of concept make sure everything works I have a keyboard and
420,440,that have been connected and then we have our special cable with the Dual Thunderbolt connections to drive all of these monitors so the top monitor is HDMI into the ivank dock the others are using those 6 K Thunderbolt ports so just let 's just see
