start_time,stop_time,avg_intensity
0,5,3.9666666666666663
5,10,11.6
10,15,13.6
15,20,10.3
20,25,10.15
25,30,10.0
30,35,9.7
35,40,10.0
40,45,10.0
45,50,10.0
50,55,10.0
55,60,10.0
60,65,10.0
65,70,10.0
70,75,10.0
75,80,10.0
80,85,10.0
85,90,10.0
90,95,10.0
95,100,10.0
100,105,10.0
105,110,10.0
110,115,10.0
115,120,10.0
120,125,10.0
125,130,10.0
130,135,10.0
135,140,10.0
140,145,10.0
145,150,10.0
150,155,10.0
155,160,10.0
160,165,10.0
165,170,10.0
170,175,10.0
175,180,10.0
180,185,10.0
185,190,10.0
190,195,10.0
195,200,10.0
200,205,10.0
205,210,10.0
210,215,10.0
215,220,10.0
220,225,10.0
225,230,10.0
230,235,10.0
235,240,10.0
240,245,10.0
245,250,10.0
250,255,10.0
255,260,10.0
260,265,10.0
265,270,10.0
270,275,10.0
275,280,10.0
280,285,10.0
285,290,10.0
290,295,10.0
295,300,10.0
300,305,10.0
305,310,10.0
310,315,10.0
315,320,10.0
320,325,10.0
325,330,10.0
330,335,10.0
335,340,10.0
340,345,10.0
345,350,10.0
350,355,10.0
355,360,10.0
360,365,9.375
365,370,8.75
370,375,9.375
375,380,10.0
380,385,12.5
385,390,21.7
390,395,22.7
395,400,21.625
400,405,20.549999999999997
405,410,17.724999999999998
410,415,14.9
415,420,12.4
420,425,11.0
425,430,10.0
430,435,9.475
435,440,8.95
440,445,9.475
445,450,10.0
450,455,11.1
455,460,14.8
460,465,15.3
465,470,15.8
470,475,13.4
475,480,12.850000000000001
480,485,12.3
485,490,11.3
490,495,10.5
495,500,10.0
500,505,9.5
505,510,9.8
510,515,9.9
515,520,10.0
520,525,10.2
525,530,7.2
530,535,10.8
535,540,14.4
540,545,27.4
545,550,27.7
550,555,28.0
555,560,28.6
560,565,17.3
565,570,13.7
570,575,10.1
575,580,10.7
580,585,10.35
585,590,10.0
590,595,9.3
595,600,10.0
600,605,10.0
605,610,10.0
610,615,10.0
615,620,10.0
620,625,10.0
625,630,10.0
630,635,10.0
635,640,10.0
640,645,10.0
645,650,9.0
650,655,9.5
655,660,10.0
660,665,11.0
665,670,15.2
670,675,15.2
675,680,15.2
680,685,10.7
685,690,10.35
690,695,10.0
695,700,9.3
700,705,11.8
705,710,11.8
710,715,11.8
715,720,9.2
720,725,9.6
725,730,10.0
730,735,10.8
735,740,9.6
740,745,15.6
745,750,21.7
750,755,27.3
755,760,40.1
760,765,46.55
765,770,53.0
770,775,84.7
775,780,79.9
780,785,75.1
785,790,30.0
790,795,16.0
795,800,9.0
800,805,2.0
805,810,11.2
810,815,10.0
815,820,8.8
820,825,10.0
825,830,10.0
830,835,10.0
835,840,10.0
