start_time,end_time,text
8.36,11.11,yes we're going there uh be is going to
11.12,14.47,meet his grandma today she's coming over
14.48,16.07,uh we're meeting outside at a play
16.08,18.47,center because Mar is sick so because
18.48,21.23,this guy was sick and then luckily I was
21.24,23.67,spared somehow but yeah looking forward
23.68,26.589,to meet you Grandma it's been so long
26.599,30.509,it's a dog yes it's a dog
30.519,33.51,so much to point at that's a bus can you
45.199,51.16,bus Dan hello
63.84,66.51,present from far
84.84,89.55,say we got Mama flowers he picked them
89.56,90.67,just for for
108.24,110.749,Mama so I asked my mom if she could
110.759,113.469,bring back some DVDs in Swedish for be
113.479,116.31,so he can watch Swedish stuff as well
116.32,118.709,and she was like well no one watches
118.719,121.19,DVDs here anymore
121.2,126.469,but she managed to secure the
126.479,131.07,bag so typical my mom to really overdo
131.08,134.35,it but this is perfect we have so many
134.36,137.15,Swedish people will know bum of course
137.16,142.229,oh bumy tooll school
142.239,148.43,again yes
178.04,179.39,thank you for pointing at the train for
179.4,180.83,us be
180.84,185.949,VN insisted that we stop and smell the
185.959,188.949,flowers you're going to fall over Budd
188.959,190.229,what are you
190.239,192.83,doing yes it's a flower a
192.84,195.19,bloa it's a
197.319,199.869,yeah is it what grandma taught you to
199.879,211.11,smell the flowers
211.12,216.07,oh F
219.92,223.149,yes you think I'll win it on first
223.159,225.75,try that didn't sound
225.76,229.67,good we didn't even start
229.68,232.43,yet you went farther
236.48,245.55,away oh no oh no what happened
245.56,247.39,a she's
247.4,249.229,obsessed we're not going to be able to
250.2,253.91,anymore B's going to
253.92,258.789,starve she won't stop M we have to
258.799,262.79,go it's not happening not even close
268.479,272.11,on Bo
272.12,274.749,did you eat all on your own 100%
276.32,279.59,huh oh don't use your hands now do you
279.6,283.07,even take a bath what is that face
283.08,285.35,imagine this totally plausible scenario
285.36,288.029,you're sitting watching internet minding
288.039,290.55,your own business looking up how to make
290.56,293.029,the most perfect meatballs even though
293.039,295.189,you don't eat meatballs cuz you're epic
295.199,298.749,pescatarian but little do you know are
298.759,300.749,watching all right yes give me that
300.759,302.909,sweet sweet
302.919,306.189,data give me that search history wait a
306.199,308.35,minute he's just watching Minecraft
308.36,310.83,villager singing H for 10 hours
310.84,312.83,compilation that's right if you don't
312.84,315.15,use nordvpn you might as well run around
315.16,317.469,the streets naked showing everyone a
317.479,319.59,picture of your peee and let me tell you
319.6,321.469,no one wants to see that not even the
321.479,325.27,hackers which is why you need Nord vpa
325.28,329.39,explosion encryption explosion security
329.4,332.909,make making you digitally
332.919,336.909,invisible Next Level encryption Nord bpn
336.919,339.11,believes your data is your data they
339.12,341.029,don't even know what it is you're an
341.039,343.469,internet service provider hackers even
343.479,344.99,that one guy that leans over looking at
345.0,347.71,your screen they don't know with nor VPN
347.72,350.07,no one knows if you're traveling boom
350.08,352.07,nor VPN let's connect to over 60
352.08,353.83,countries meaning your favorite shows
353.84,355.59,comes with you no matter where you go
355.6,357.87,want to be in Japan want to be in Sweden
357.88,359.87,combine the best world be everywhere we
359.88,361.83,with nordvpn that's how VPN that's how
361.84,363.11,they work but
363.12,366.469,the nordvpn is better do yourself a
366.479,368.87,favor and check out nordvpn.com
368.88,371.15,PewDiePie with my link you will get the
371.16,374.55,best deal available with bonus and four
374.56,376.87,month for free that's if you use my link
376.88,379.309,you get the best offer and if you don't
379.319,381.189,like it for whatever reason it's 30-day
381.199,383.309,money back guarantee I've been using it
383.319,385.79,privately for years I'm a huge fan I
385.8,387.55,highly recommend it stay safe on the
387.56,390.029,internet and unlock the internet to full
390.039,396.07,potential you got to have
396.08,399.55,it I should uh probably explain what's
399.56,401.39,been going on I think it's I haven't
401.4,404.189,filmed much because Bean's been super
404.199,406.55,sick he's got an infection I don't
406.56,408.35,remember what it was called but it hit
408.36,410.51,him really hard and it's been very
410.52,413.749,intense for us I think I titled a video
413.759,415.35,like this month has been hard or
415.36,417.869,something but like this is so much worse
417.879,419.95,he's better now I think that's all that
419.96,421.83,matters but we were at the emergency
421.84,424.35,twice his fever went up to
424.36,426.95,42 doctors seem to think that's like not
426.96,429.909,a big deal here and uh yeah this just
429.919,432.67,been difficult to navigate but yeah he's
432.68,436.23,good now everyone's happy we're happy
436.24,441.029,that you're doing
441.039,446.029,better it's a bird yes you tost the
448.28,451.749,Wow have what's
451.759,454.909,sit you want to touch the
454.919,456.83,food oh you want to eat the with the
456.84,460.309,sticks like Daddy wow you already know
460.319,463.309,how to do
465.12,470.309,sauce oh
470.319,474.95,she oh my gosh can
474.96,477.95,I I think it would
477.96,483.469,actually that's cheating
483.479,486.67,you're where's V I don't know you don't
486.68,489.95,know where V is J he was here a second
489.96,493.11,ago I swear he was right
493.12,497.869,there J J come out this is not a
497.879,501.33,game wait a
507.52,510.749,minute why you whisk so well look how
510.759,514.07,proud he is I remember when I was a kid
514.08,517.19,my dad could whisk really well and I was
517.2,518.67,Al so jealous I was like one day I'll
518.68,520.99,learn how to whisk like my dad and you
524.0,526.75,did and neither will burn cuz I'm taking
526.76,540.19,it away
545.279,549.47,for Mama's
549.48,555.07,sparking he understands she's
556.44,562.389,coming I wanted to see if you recognize
562.399,565.23,her I'm meeting up with my Shir now was
567.04,570.069,be look who it is being
570.079,575.65,okay okay Vian come find me come find me
579.44,584.03,vi they'll never find
584.04,589.99,me he thought I was going to be over
593.68,596.55,he's you B
596.56,600.59,me okay Mama go hide
600.6,604.58,let's go find Mama where's
620.8,624.069,Mama is that a Valentine's Day
624.079,626.949,gift it's too heavy for you what is this
626.959,630.75,mommy did you make this no way
630.76,632.069,that's so
632.079,635.71,cute forget about it B it's mine you
635.72,638.269,can't have everything well now you
638.279,640.87,definitely can't look I made this for
640.88,644.43,mine is he that her favorite children's
644.44,648.11,book it's delicious thank you I love it
648.12,649.75,can't believe you made so
649.76,653.43,many beautiful he's blowing on
653.44,656.35,them yeah you can't eat
656.36,660.15,that handmade chocolate e B you got to
660.16,661.43,get yourself a girl that make you
661.44,663.15,handmade chocolate one day I tell you
669.839,672.15,much be is having the best time just
672.16,676.41,being in a store now it's so
680.839,684.31,cute Happy Valentine's Day we're going
684.32,686.87,on a Valentine's Day uh really nice day
686.88,688.629,so far we haven't really vlogged but
688.639,691.509,we're going out to a restaurant we're
691.519,694.15,going to have a good time we don't have
694.16,697.35,any be even though be's been so lovely
697.36,700.11,new car by the
700.12,703.069,way and Mar got me this sweater in case
703.079,704.87,it wasn't
704.88,708.15,obvious what and Mar looks
708.16,715.11,beautiful mamaia I say
715.12,719.629,mamaia there she is Statue of Liberty so
719.639,722.389,beautiful the real
722.399,725.11,one the view in O is always so pretty
725.12,729.03,that's why I chose a restaurant here
736.68,740.35,yeah I got the tuna belly this one it
740.36,747.189,comes much as my main it's better
747.199,750.03,good oh man I want more of this
750.04,757.71,I should only get this oh my
757.72,760.23,God St
760.24,762.55,wand Johnny
770.32,772.15,erosu Lady
772.16,774.269,Gaga my
774.279,778.23,God that's a hat where a thong that you
778.24,780.65,share with people oh my God it
785.959,791.99,is that really cute you should put them
792.0,795.23,on beautiful there we go okay that's a
795.24,797.35,good one
797.36,801.11,beautiful I look I look like I I'm
801.12,803.87,forcing myself on that one that one's
803.88,805.59,good I like that one that's so cute I
805.6,807.67,was laughing cuz there were people
807.68,809.99,coming in as soon as we did that one one
810.0,813.22,yes perfect Valentine's Day
825.6,828.59,memory where's
851.079,852.949,we're on our way to
852.959,857.31,Kiza they have a he's so excited they
857.32,859.91,have a dog run here which is quite rare
859.92,863.55,has five
863.56,867.03,dogs he's so
867.04,870.87,excited that's munchie be who's your be
870.88,872.79,who's your
872.8,877.91,F be who's your favorite
877.92,884.67,dog yeah M that's
884.68,891.23,M what are you doing B are you driving
891.24,894.35,yourself mom to the resy what do you
894.36,898.069,want to get be we arrived took 4 hours
898.079,899.91,getting some grocery
899.92,901.47,setting up the dogs and then we should
901.48,903.3,just rest
922.519,925.87,Mama it's so nice for the dogs to be
925.88,929.03,outside without a leash it's nice to
