start_time,stop_time,avg_intensity
0,20,7.8999999999999995
20,40,9.9
40,60,10.0
60,80,10.0
80,100,10.0
100,120,10.0
120,140,10.0
140,160,10.0
160,180,10.0
180,200,10.0
200,220,10.0
220,240,10.0
240,260,10.0
260,280,10.0
280,300,10.0
300,320,10.0
320,340,10.0
340,360,10.0
360,380,9.166666666666666
380,400,18.966666666666665
400,420,17.1
420,440,9.725
440,460,11.966666666666667
460,480,14.833333333333334
480,500,11.025
500,520,9.766666666666667
520,540,10.65
540,560,28.0
560,580,12.95
580,600,9.766666666666667
600,620,10.0
620,640,10.0
640,660,9.666666666666666
660,680,14.149999999999999
680,700,10.0
700,720,11.15
720,740,10.133333333333333
740,760,26.175
760,780,72.53333333333335
780,800,40.36666666666667
800,820,8.0
820,840,10.0
840,860,10.0
860,880,10.0
880,900,10.0
900,920,10.0
920,940,10.0
940,960,10.0
960,980,10.0
980,1000,11.2
1000,1020,16.4
1020,1040,12.55
1040,1060,9.666666666666666
1060,1080,10.0
1080,1100,10.0
1100,1120,10.0
1120,1140,10.0
1140,1160,10.0
1160,1180,10.0
1180,1200,9.866666666666667
1200,1220,11.333333333333334
1220,1240,10.45
1240,1260,10.0
1260,1280,10.0
1280,1300,9.233333333333333
1300,1320,16.375
1320,1340,14.633333333333335
1340,1360,9.233333333333333
1360,1380,10.0
1380,1400,10.0
1400,1420,9.666666666666666
1420,1440,10.266666666666667
1440,1460,25.5
1460,1480,34.06666666666667
1480,1500,27.5
1500,1520,86.575
1520,1540,13.7
1540,1560,12.466666666666667
1560,1580,9.766666666666667
1580,1600,10.0
1600,1620,10.0
1620,1640,10.0
1640,1660,10.0
1660,1680,12.25
1680,1700,16.599999999999998
1700,1720,9.4
1720,1740,10.0
1740,1760,7.0
