timestamp_sec,intensity
0.000,0.000
0.841,20.000
1.681,91.500
4.203,100.000
6.725,108.500
9.247,55.600
12.610,42.600
15.972,29.600
17.653,39.300
21.016,34.900
24.379,30.500
26.060,24.500
29.422,20.700
32.785,16.800
34.466,16.100
37.829,15.700
41.191,15.200
42.873,17.900
46.235,18.500
49.598,19.200
51.279,17.900
54.642,18.900
58.004,19.800
59.685,23.300
63.048,23.400
66.411,23.400
68.092,17.900
71.454,19.100
74.817,20.300
76.498,30.600
79.861,29.400
83.223,28.300
84.905,16.600
88.267,13.400
91.630,10.200
93.311,12.900
96.674,13.300
100.036,13.800
101.717,15.000
105.080,15.700
108.443,16.400
110.124,17.000
113.486,16.800
116.849,16.600
118.530,16.000
121.893,14.800
125.255,13.500
126.937,11.500
130.299,10.500
133.662,9.600
135.343,9.000
138.706,10.000
142.068,11.000
143.750,14.300
147.112,15.400
150.475,16.500
152.156,15.800
155.518,15.600
158.881,15.300
160.562,14.200
163.925,14.100
167.287,14.000
168.969,15.500
172.331,14.900
175.694,14.300
177.375,12.000
180.738,11.200
184.100,10.300
185.782,10.100
189.144,10.600
192.507,11.100
194.188,12.500
197.550,13.700
200.913,15.000
202.594,16.600
205.957,16.900
209.319,17.100
211.001,14.800
214.363,15.100
217.726,15.300
219.407,12.100
222.770,18.200
226.132,24.300
227.814,36.000
231.176,45.600
234.539,55.200
236.220,66.500
239.583,66.200
242.945,66.000
244.626,52.100
247.989,44.400
251.351,36.600
253.033,33.700
256.395,27.400
259.758,21.100
261.439,16.300
264.802,12.800
268.164,9.400
269.846,10.500
273.208,10.000
276.571,9.500
278.252,10.300
281.615,10.500
284.977,10.700
286.658,11.200
290.021,11.100
293.383,11.000
295.065,9.900
298.427,10.100
301.790,10.400
303.471,12.200
306.834,12.400
310.196,12.600
311.878,-0.900
315.240,11.000
318.603,22.900
320.284,68.500
323.647,71.900
327.009,75.300
328.690,39.400
332.053,27.900
335.416,16.500
337.097,17.500
340.459,14.600
343.822,11.800
345.503,14.200
348.866,13.600
352.228,13.100
353.910,12.000
357.272,11.800
360.635,11.500
362.316,12.900
365.679,12.600
369.041,12.300
370.722,10.600
374.085,10.200
377.448,9.800
379.129,10.300
382.491,10.600
385.854,10.900
387.535,11.500
390.898,11.700
394.260,12.000
395.942,11.600
399.304,11.900
402.667,12.100
404.348,11.500
407.711,12.900
411.073,14.300
412.754,15.300
416.117,18.600
419.480,22.000
421.161,23.400
424.523,29.600
427.886,35.700
429.567,43.600
432.930,49.300
436.292,55.000
437.974,59.400
441.336,57.900
444.699,56.400
446.380,44.600
449.743,41.900
453.105,39.200
454.786,43.300
458.149,44.500
461.512,45.700
463.193,48.800
466.555,47.800
469.918,46.800
471.599,42.800
474.962,39.500
478.324,36.200
480.006,33.000
483.368,31.100
486.731,29.200
488.412,33.300
491.775,30.000
495.137,26.700
496.818,18.100
500.181,14.600
503.544,11.000
505.225,12.800
508.587,12.200
511.950,11.700
513.631,11.200
516.994,12.000
520.356,12.800
522.038,13.300
525.400,16.200
528.763,19.000
530.444,24.100
533.807,26.300
537.169,28.600
538.850,28.600
542.213,27.400
545.576,26.200
547.257,21.600
550.619,20.300
553.982,18.900
555.663,18.500
559.026,20.600
562.388,22.800
564.070,28.300
567.432,31.100
570.795,33.900
572.476,35.700
575.839,34.600
579.201,33.500
580.882,28.400
584.245,25.500
587.608,22.700
589.289,21.600
592.651,20.300
596.014,19.000
597.695,19.700
601.058,19.000
604.420,18.300
606.102,17.200
609.464,16.800
612.827,16.400
614.508,15.600
617.871,17.100
621.233,18.500
622.915,20.600
626.277,24.000
629.640,27.500
631.321,26.100
634.683,34.500
638.046,42.900
639.727,55.000
643.090,66.100
646.452,77.100
648.134,90.700
651.496,89.900
654.859,89.000
656.540,74.200
659.903,61.900
663.265,49.700
664.947,36.700
668.309,28.600
671.672,20.500
673.353,22.300
676.715,21.300
680.078,20.300
681.759,23.100
685.122,23.700
688.484,24.300
690.166,25.700
693.528,24.300
696.891,23.000
698.572,17.400
701.935,16.900
705.297,16.400
706.979,16.100
710.341,21.900
713.704,27.700
715.385,44.700
718.748,45.900
722.110,47.100
723.791,32.000
727.154,28.100
730.516,24.100
732.198,28.000
735.560,26.000
738.923,24.000
740.604,20.700
743.967,18.000
747.329,15.400
749.011,14.200
752.373,12.600
755.736,11.000
757.417,10.500
760.780,10.000
764.142,9.500
765.823,10.000
769.186,10.000
772.548,10.000
774.230,10.000
777.592,10.000
780.955,10.000
782.636,10.000
785.999,10.000
789.361,10.000
791.043,10.000
794.405,10.000
797.768,10.000
799.449,10.000
802.812,10.000
806.174,10.000
807.855,10.000
811.218,10.000
814.581,10.000
816.262,10.000
819.624,10.000
822.987,10.000
824.668,9.900
828.031,10.000
831.393,10.100
833.915,10.400
836.437,10.500
838.959,10.600
839.800,12.600
840.640,10.500
841.481,8.400
840.640,2.100
840.640,0.000
