start_time,end_time,text
0.12,2.59,this is the world's most poisonous fish
2.6,5.11,one or two slices of its meat can be
5.12,7.269,fatal the man died and his friends have
7.279,9.589,all ended up seeking hospital treatment
9.599,11.669,this puffer fish kills up to 20 people a
11.679,14.15,year because it contains tetrodoxin the
14.16,16.71,strongest poison in the world oh when he
16.72,18.51,gets stressed he gets big a single wrong
18.52,20.39,cut by the chef and your lips tingle
20.4,22.15,your limbs go numb and you have a few
22.16,23.75,minutes to
23.76,26.39,live only a handful of chefs in Japan
26.4,28.349,have the permit to cook Fugu which takes
28.359,30.749,over 2 years to get I'm on a mission to
30.759,32.67,track down a Fugu Chef learn how it's
32.68,34.67,prepared and hopefully stay alive as I
34.68,36.67,give it a try if this is our last meal
36.68,42.31,together then nice meeting you Bo
42.32,44.59,Sashimi I'm with my local friends Kos
44.6,47.35,and misato before we dive into the fugu
47.36,48.75,we're going to travel around Japan and
48.76,50.229,see what other kind of bizarre foods we
50.239,51.95,can find because Japan is known to do
53.399,56.43,differently first stop Tokyo we about to
56.44,59.99,try a Japanese food called nat I've
60.0,61.83,never had before but I heard it's gross
61.84,63.99,you guys ready to try it
64.0,67.469,okay is it bad or good better better
67.479,69.87,okay okay let's go Nat are cooked
69.88,71.39,soybeans that have been fermenting in
71.4,73.19,jars for weeks it's a traditional
73.2,74.83,Japanese dish and is characterized by
74.84,78.55,its unique appearance sticky slimy and
78.56,81.35,stringy this is spice and this is show
81.36,83.27,you did you eat this when you were a kid
83.28,85.35,every morning even adult yeah every
85.36,88.67,morning Nat and
88.68,90.53,rice yeah than
93.32,98.51,M oh M so good oh it's so gross dude it
98.52,101.19,looks like freaking snot let's just say
101.2,103.19,that Nat isn't my favorite dish I can
103.2,104.469,already tell that the taste is going to
104.479,105.99,linger on my tongue for the rest of the
106.0,109.789,day like durian the smelly fruit from
109.799,112.55,Malaysia it's really creamy and gooey to
112.56,114.469,continue our bizarre food tour of Japan
114.479,116.069,Kos and I are flying to the southern
116.079,117.83,island of kushu and what we're about to
117.84,120.749,try next might make you squeamish
120.759,122.99,we made it to rainy Kumamoto in kushu
123.0,125.59,Island to try horse meat or basashi
125.6,127.23,because it's famous here so we found a
127.24,129.229,restaurant serving raw horse meat are
