start_time,stop_time,avg_intensity
0,5,52.875
5,10,82.05
10,15,42.6
15,20,34.45
20,25,32.7
25,30,22.6
30,35,16.450000000000003
35,40,15.7
40,45,16.549999999999997
45,50,18.85
50,55,18.4
55,60,21.55
60,65,23.4
65,70,20.65
70,75,19.700000000000003
75,80,30.0
80,85,22.450000000000003
85,90,13.4
90,95,11.55
95,100,13.3
100,105,14.4
105,110,16.049999999999997
110,115,16.9
115,120,16.3
120,125,14.8
125,130,12.5
130,135,10.05
135,140,9.5
140,145,12.65
145,150,15.4
150,155,16.15
155,160,15.45
160,165,14.149999999999999
165,170,14.75
170,175,14.9
175,180,13.15
180,185,10.75
185,190,10.35
190,195,11.8
195,200,13.7
200,205,15.8
205,210,17.0
210,215,14.95
215,220,13.7
220,225,18.2
225,230,30.15
230,235,50.400000000000006
235,240,66.35
240,245,59.05
245,250,44.4
250,255,35.150000000000006
255,260,24.25
260,265,14.55
265,270,9.95
270,275,10.0
275,280,9.9
280,285,10.6
285,290,11.2
290,295,11.05
295,300,10.0
300,305,11.3
305,310,12.4
310,315,5.85
315,320,16.95
320,325,70.2
325,330,57.349999999999994
330,335,27.9
335,340,17.0
340,345,13.2
345,350,13.899999999999999
350,355,12.55
355,360,11.8
360,365,12.2
365,370,12.45
370,375,10.399999999999999
375,380,10.05
380,385,10.6
385,390,11.2
390,395,11.85
395,400,11.75
400,405,11.8
405,410,12.9
410,415,14.8
415,420,20.3
420,425,26.5
425,430,39.650000000000006
430,435,49.3
435,440,57.2
440,445,57.15
445,450,43.25
450,455,41.25
455,460,44.5
460,465,47.25
465,470,47.3
470,475,41.15
475,480,36.2
480,485,32.05
485,490,31.25
490,495,30.0
495,500,22.4
500,505,12.8
505,510,12.5
510,515,11.45
515,520,12.0
520,525,13.05
525,530,17.6
530,535,25.200000000000003
535,540,28.6
540,545,27.4
545,550,23.9
550,555,19.6
555,560,19.55
560,565,25.55
565,570,31.1
570,575,34.8
575,580,34.05
580,585,26.95
585,590,22.15
590,595,20.3
595,600,19.35
600,605,18.65
605,610,17.0
610,615,16.0
615,620,17.1
620,625,19.55
625,630,25.75
630,635,30.3
635,640,48.95
640,645,66.1
645,650,83.9
650,655,89.45
655,660,68.05
660,665,43.2
665,670,28.6
670,675,21.4
675,680,21.3
680,685,21.700000000000003
685,690,24.0
690,695,25.0
695,700,20.2
700,705,16.9
705,710,16.25
710,715,24.799999999999997
715,720,45.3
720,725,39.55
725,730,28.1
730,735,26.05
735,740,25.0
740,745,19.35
745,750,14.8
750,755,12.6
755,760,10.75
760,765,9.75
765,770,10.0
770,775,10.0
775,780,10.0
780,785,10.0
785,790,10.0
790,795,10.0
795,800,10.0
800,805,10.0
805,810,10.0
810,815,10.0
815,820,10.0
820,825,9.95
825,830,10.0
830,835,10.25
835,840,11.233333333333334
840,845,5.25
