start_time,end_time,text
0.16,3.149,this is cheetah 120 9212 they have been
3.159,5.23,cheating on fortnite's biggest Maps
5.24,7.349,annihilating innocent players yeah it's
7.359,9.589,me I've been doing that surprise I have
9.599,11.39,been going undercover as a hacker
11.4,12.91,because my main account they always
12.92,14.91,recognize me no it's actually laser beam
14.92,18.109,laser beam oh my it kind of ruins the
18.119,20.07,fun as always map developers have given
20.08,21.95,me cheats on some of fortnite's biggest
21.96,23.87,Maps so we're undercover and our goal
23.88,25.79,for this account is to get banned and I
25.8,27.83,trick Epic into thinking I'm a real
27.84,30.109,hacker first game is fortnite finishes
30.119,32.19,this is one of the most unique games I
32.2,33.79,have seen it's perfect for our first
33.8,35.47,undercover Mission basically run to just
35.48,37.43,jump into this giant pit you know fall
37.44,38.99,all the way down here and you just see
39.0,40.91,fortnite characters beating the out
40.92,42.79,of each other we got fortnite kids doing
42.8,44.389,MMA all right let me let me see if I can
44.399,46.709,win a fight you got to hit him with your
46.719,48.91,pickaxe B back get annihilated I'm
48.92,51.67,called cheater 120 9212 for a reason I
51.68,53.709,have cheats all right we just go in here
53.719,56.15,put in a code now I've got an admin menu
56.16,57.91,time to go undercover I can make myself
61.039,63.79,it's not haer I mean his name cheatah
63.8,65.87,what do you think he's hacking these
65.88,67.59,kids are used to doing some MMA moves
67.6,69.31,and stuff but they can't touch me see
69.32,70.71,normally they just freak out that it's
70.72,72.83,me laser beam and they'd be happy that
72.84,74.469,I'm bullying
74.479,77.51,them I've been under cover for 5 to 10
77.52,79.109,seconds and I've already been reported
79.119,80.19,I'm just going to start beating the crap
80.2,81.39,out of them beating the crap out of all
81.4,84.67,of them
84.68,88.91,okay I'm soling the entire Lobby he's
88.92,92.749,haing oh let's got
92.759,96.149,kicked oh my God oh my God
96.159,99.23,bro I punched like three kids and I just
99.24,101.069,got banned for cheating I'm only using
101.079,102.99,admin commands I'm not using any actual
103.0,105.109,hack but epic games have just banned me
105.119,106.749,they think I'm a real hacker this would
106.759,108.35,never happen on my main account all
108.36,109.87,right time to get banned for a second
109.88,113.59,time I'm on a new account oh yes oh my
113.6,117.51,God I just broke their
117.52,120.59,neck that guy sounds like he got hurt IR
120.6,122.51,oh my God I'm just snapping next this
122.52,126.51,game mode is insane I want it warm I
126.52,129.749,what the is not warmo I thought I
129.759,131.11,was a wholesome kid singing a song and
131.12,132.35,then he just dropped an F bomb got to
132.36,135.309,teach him a lesson swearing is wrong
135.319,139.63,yeah that's what you get for swearing
139.64,142.03,kid my parents used to put soap in my
142.04,143.63,mouth if I swore I just gave you a kick
143.64,145.63,to that this kid is uh currently in the
145.64,148.03,changing Booth can I just box that in
148.04,150.869,where going one so they can't actually
150.879,152.63,break builds in the lobby area he's
152.64,156.11,actually trapped in
156.12,158.63,there oh bro just left the game maybe I
158.64,160.11,should be banned I am evil that is
160.12,162.07,nothing compared to the final map in
162.08,164.03,this video I may actually get a lawsuit
164.04,166.19,from epic games for that one but next up
166.2,168.35,is fortnite guess who in guess who
168.36,170.11,you're given a bunch of characters and
170.12,171.75,the other player has to ask questions to
171.76,173.27,try and narrow it down and guess who
173.28,174.869,you've got but I have installed hidden
174.879,176.91,cameras into every single Lobby so I can
176.92,178.47,instantly win every game going up
178.48,181.03,against this guy Chaser man and 7 all
181.04,182.79,right we got a bunch of fortnite skins
182.8,184.83,I've got p1000 but as you can see I just
184.84,186.789,have a hack opponent
186.799,188.949,option Sizzle my hidden camera just
188.959,191.309,showed me what he has D so you see he's
191.319,192.75,got voice chat in this you meant to ask
192.76,194.35,each other questions but my voice will
194.36,195.91,give me away so I've come up with a
195.92,198.75,solution I am a
