start_time,end_time,words
0,5,this is cheetah 120 9212 they have been cheating on fortnite 's biggest
5,10,Maps annihilating innocent players yeah it 's me I 've been doing that surprise I have been
10,15,going undercover as a hacker because my main account they always recognize me no it 's actually laser beam
15,20,laser beam oh my it kind of ruins the fun as always map developers have
20,25,given me cheats on some of fortnite 's biggest Maps so we 're undercover and our goal for this account is to
25,30,get banned and I trick Epic into thinking I 'm a real hacker first game is fortnite
30,35,finishes this is one of the most unique games I have seen it 's perfect for our first undercover Mission
35,40,basically run to just jump into this giant pit you know fall all the way down here and you just see fortnite
40,45,characters beating the out of each other we got fortnite kids doing MMA all right let me let me see if I can win a
45,50,fight you got to hit him with your pickaxe B back get annihilated I 'm called
50,55,cheater 120 9212 for a reason I have cheats all right we just go in here put in a code now I
55,60,'ve got an admin menu time to go undercover I can make myself
60,65,it 's not haer I mean his name cheatah what do you think he
65,70,'s hacking these kids are used to doing some MMA moves and stuff but they ca n't touch me see normally they
70,75,just freak out that it 's me laser beam and they 'd be happy that I 'm bullying them I
75,80,'ve been under cover for 5 to 10 seconds and I 've already been reported I 'm just going to start beating
80,85,the crap out of them beating the crap out of all of them
85,90,okay I 'm soling the entire Lobby he 's
90,95,haing oh let 's got kicked oh my God
95,100,oh my God bro I punched like three kids and I just got banned for
100,105,cheating I 'm only using admin commands I 'm not using any actual hack but epic games have just banned
105,110,me they think I 'm a real hacker this would never happen on my main account all right time to get banned for a second
110,115,time I 'm on a new account oh yes oh my God I
115,120,just broke their neck that guy sounds like he
120,125,got hurt IR oh my God I 'm just snapping next this game mode is insane I
125,130,want it warm I what the is not warmo I thought I was a
130,135,wholesome kid singing a song and then he just dropped an F bomb got to teach him a lesson swearing is
135,140,wrong yeah that 's what you get for swearing kid
140,145,my parents used to put soap in my mouth if I swore I just gave you a kick to that this kid is uh
145,150,currently in the changing Booth can I just box that in where going one so they ca
150,155,n't actually break builds in the lobby area he 's actually
155,160,trapped in there oh bro just left the game maybe I should be banned I am evil
160,165,that is nothing compared to the final map in this video I may actually get a lawsuit from epic games
165,170,for that one but next up is fortnite guess who in guess who you 're given a bunch of characters
170,175,and the other player has to ask questions to try and narrow it down and guess who you 've got but I have installed hidden
175,180,cameras into every single Lobby so I can instantly win every game going up against this guy
180,185,Chaser man and 7 all right we got a bunch of fortnite skins I 've got p1000 but as you can see I just
185,190,have a hack opponent option Sizzle my hidden camera just showed me what
190,195,he has D so you see he 's got voice chat in this you meant to ask each other questions but my voice will give me away
195,200,so I 've come up with a solution I am a hacker
200,205,dude no way he 's getting this guess what you have Sizzle
205,210,yeah I 'm leaving you
210,215,going up against JJ Dino 095 all
215,220,right we 're picking some fortnite skins I got p1000 again I swear I always get that guy all
220,225,right we got voice chat I 'm just going to use my hidden camera real quick uh what 's he got black knut
225,230,so are you going first Sor I I 'm
230,235,going first not my friend tell you out I
235,240,think it 's like his dad or older brother is like get out bro get out he 's going to hack the
240,245,house all right we 're guessing Icon Skins I 've got Slim Shady himself let 's go to the hidden
245,250,camera LeBron James all right let 's tell him I know what you have you have LeBron
250,255,James what the mine is LeBron James I can let you win if you want do
255,260,you want to win oh no there he is clearly The Voice worked
260,265,cuz no one recognized it was laser beam the entire time I love this game but it 's too hard to find people with
265,270,voice chat I 'm done this game is called the hood it 's like a GTA role playing game kids roam the street
270,275,streets and gangs and stuff when I was testing games I was playing this and a bunch of kids like kidnapped me and
275,280,threw me in jail I actually got bullied by children so I 've got the developer to give me admin and now I can
280,285,get revenge so far I have not been attacked just roaming the streets got my cheat menu and all my
285,290,Powers right here Invincible invisibility knock back players you know just going to go say hi
290,295,to these fellas Yoo I want Flying when he picka
295,300,me what 's his name mus I think they 're going to start realizing I
300,305,'m a serious threat I ca n't even kill him I ca n't even kill him look I ca n't
305,310,even oh he 's ack only I can have oh it 's a you want to go for a piggy
310,315,ride yo what the I 'm flying
315,320,him what the goodbye yo oh he got
320,325,killed so when I was playing the kids kept throwing me in prison but that 's why one of
325,330,these Powers is jail all players let 's see happens you 're
330,335,stuck in jail yeah that 's the hacker that 's the hacker yo there 's a hacker in our game yes I
335,340,feel so good about myself now I feel powerful I was going to float in the sky and let them all freak out there 's a hacker in our
340,345,game he 's flying around stand right there right there where I 'm shooting stand there I want everyone
345,350,to crouch up and down I 'm crouching up and down up good job all right they 've been good I
350,355,'m going to reveal my identity no more hacker voice can everyone just say uh use
355,360,code laser please they 're the only people in this entire video who will
360,365,know the secret all right new Lobby they do n't know I 'm a cheater now I 've made myself invisible I 'm going to do all the same
365,370,things but they 'll never even know I 'm here I 'm just going to stop picking him up and make him float in the air they might even think
370,375,the person floating in the air is the hacker how was he in the air Supreme was just Supreme I made him
375,380,convinced that Supreme 's the hacker dude what the hell do you think I know how to hack the fifth
380,385,grade I 'm just learning
385,390,multiplication bro 's pleading for his life I think so apparently I can just Dr gold
390,395,on the ground I just dropped a whole bunch of money here that hacker is the goat bro
