start_time,end_time,words
0,20,this is cheetah 120 9212 they have been cheating on fortnite 's biggest Maps annihilating innocent players yeah it 's me I 've been doing that surprise I have been going undercover as a hacker because my main account they always recognize me no it 's actually laser beam laser beam oh my it kind of ruins the fun as always map developers have
20,40,given me cheats on some of fortnite 's biggest Maps so we 're undercover and our goal for this account is to get banned and I trick Epic into thinking I 'm a real hacker first game is fortnite finishes this is one of the most unique games I have seen it 's perfect for our first undercover Mission basically run to just jump into this giant pit you know fall all the way down here and you just see fortnite
40,60,characters beating the out of each other we got fortnite kids doing MMA all right let me let me see if I can win a fight you got to hit him with your pickaxe B back get annihilated I 'm called cheater 120 9212 for a reason I have cheats all right we just go in here put in a code now I 've got an admin menu time to go undercover I can make myself
60,80,it 's not haer I mean his name cheatah what do you think he 's hacking these kids are used to doing some MMA moves and stuff but they ca n't touch me see normally they just freak out that it 's me laser beam and they 'd be happy that I 'm bullying them I 've been under cover for 5 to 10 seconds and I 've already been reported I 'm just going to start beating
80,100,the crap out of them beating the crap out of all of them okay I 'm soling the entire Lobby he 's haing oh let 's got kicked oh my God oh my God bro I punched like three kids and I just got banned for
100,120,cheating I 'm only using admin commands I 'm not using any actual hack but epic games have just banned me they think I 'm a real hacker this would never happen on my main account all right time to get banned for a second time I 'm on a new account oh yes oh my God I just broke their neck that guy sounds like he
120,140,got hurt IR oh my God I 'm just snapping next this game mode is insane I want it warm I what the is not warmo I thought I was a wholesome kid singing a song and then he just dropped an F bomb got to teach him a lesson swearing is wrong yeah that 's what you get for swearing kid
140,160,my parents used to put soap in my mouth if I swore I just gave you a kick to that this kid is uh currently in the changing Booth can I just box that in where going one so they ca n't actually break builds in the lobby area he 's actually trapped in there oh bro just left the game maybe I should be banned I am evil
160,180,that is nothing compared to the final map in this video I may actually get a lawsuit from epic games for that one but next up is fortnite guess who in guess who you 're given a bunch of characters and the other player has to ask questions to try and narrow it down and guess who you 've got but I have installed hidden cameras into every single Lobby so I can instantly win every game going up against this guy
180,200,Chaser man and 7 all right we got a bunch of fortnite skins I 've got p1000 but as you can see I just have a hack opponent option Sizzle my hidden camera just showed me what he has D so you see he 's got voice chat in this you meant to ask each other questions but my voice will give me away so I 've come up with a solution I am a hacker
200,220,dude no way he 's getting this guess what you have Sizzle yeah I 'm leaving you going up against JJ Dino 095 all right we 're picking some fortnite skins I got p1000 again I swear I always get that guy all
220,240,right we got voice chat I 'm just going to use my hidden camera real quick uh what 's he got black knut so are you going first Sor I I 'm going first not my friend tell you out I think it 's like his dad or older brother is like get out bro get out he 's going to hack the
240,260,house all right we 're guessing Icon Skins I 've got Slim Shady himself let 's go to the hidden camera LeBron James all right let 's tell him I know what you have you have LeBron James what the mine is LeBron James I can let you win if you want do you want to win oh no there he is clearly The Voice worked
260,280,cuz no one recognized it was laser beam the entire time I love this game but it 's too hard to find people with voice chat I 'm done this game is called the hood it 's like a GTA role playing game kids roam the street streets and gangs and stuff when I was testing games I was playing this and a bunch of kids like kidnapped me and threw me in jail I actually got bullied by children so I 've got the developer to give me admin and now I can
280,300,get revenge so far I have not been attacked just roaming the streets got my cheat menu and all my Powers right here Invincible invisibility knock back players you know just going to go say hi to these fellas Yoo I want Flying when he picka me what 's his name mus I think they 're going to start realizing I
300,320,'m a serious threat I ca n't even kill him I ca n't even kill him look I ca n't even oh he 's ack only I can have oh it 's a you want to go for a piggy ride yo what the I 'm flying him what the goodbye yo oh he got
320,340,killed so when I was playing the kids kept throwing me in prison but that 's why one of these Powers is jail all players let 's see happens you 're stuck in jail yeah that 's the hacker that 's the hacker yo there 's a hacker in our game yes I feel so good about myself now I feel powerful I was going to float in the sky and let them all freak out there 's a hacker in our
340,360,game he 's flying around stand right there right there where I 'm shooting stand there I want everyone to crouch up and down I 'm crouching up and down up good job all right they 've been good I 'm going to reveal my identity no more hacker voice can everyone just say uh use code laser please they 're the only people in this entire video who will
360,380,know the secret all right new Lobby they do n't know I 'm a cheater now I 've made myself invisible I 'm going to do all the same things but they 'll never even know I 'm here I 'm just going to stop picking him up and make him float in the air they might even think the person floating in the air is the hacker how was he in the air Supreme was just Supreme I made him convinced that Supreme 's the hacker dude what the hell do you think I know how to hack the fifth
380,400,grade I 'm just learning multiplication bro 's pleading for his life I think so apparently I can just Dr gold on the ground I just dropped a whole bunch of money here that hacker is the goat bro whoever this is man you the goat bro the bad guy hacking I 've been doing I 'm also giving money back to the
400,420,poor hecker 's doing again y one more thing just say use code laser use C laser it actually was n't charity it was advertisement get C you got advertised too these videos take a while to film takes a while to add the cheats to the game now I 'm in America thank you Preston for letting me use your setup yeehaw I have a green
420,440,screen I can do effects like that now fortnite has added Four Guys creative Maps now I can be a four guys hacker they 've recreated the hexagon map this is the classic Fall Guys map all right well now I can just fly look at all these guys scramble around idiots all right I have the ability to just Shockwave players and I
440,460,just launch them off the edge I just send one and now we 're invisible okay where 's the final guy I ca n't see they 're all invisible good thing I can just eliminate the entire floor and everyone 's dead and I 'm a winner and I 'm awesome be quiet peasant he just called someone a peasant that 's funny let 's piss him off you 're a
460,480,peasant oh dude some dude 's hacking dude I appreciate your hacking to be honest this this is actually fun to me this is giving me content on my YouTube channel I 'm going on his YouTube channel I 'm going to be famous cheatah 3 41598 is going to the big time bro what you him out CH him out he 's trying real hard
480,500,here no no a this is fun all right I 'm done we 're playing body cam this is an insanely unique map they 've turned fortnite into a firstperson war shooter let 's go undercover all right we 've spawned in how is this fortnite bro come on get yes I got a
500,520,kill we 've just sent fortnite kids to war this does not feel like fortnite I feel like I should be fighting in like Nazi Germany or something back in World War II so basically it 's a gun game you get kills and every time you get a kill you get a new gun it 's the first person at 20 kills I got to test the game without cheats first all right got to see if I 'm any good at it yes destroying them they come back do
520,540,n't even need cheats in this game I have Aimbot built into my genetics dead okay I actually did n't plan to win I just wanted to show you guys how the game works but I have actually popped off and now all I got to do is cut someone with a sword and and you win
540,560,I I I just won I forgot how sick I am now you 've seen how the game works we 've just got to go enable our cheats okay we 're going to level this up a little bit all right just put my code in and now of course I have a cheat menu first let 's make Invincible oh you ca n't kill me buddy damn this must be intimidating from the
560,580,entire Lobby has already just tried to kill me obviously being Invincible very basic stuff but what if I can also fly bro is flabbergasted they 're both absolutely they might not have voice chat but I can tell their brains have melted oh this guy 's already at 10 kills I 'm starting to lose oh I might have to start actually playing the game all right well let 's add Aimbot and wall hacks now
