timestamp_sec,intensity
0.000,0.000
0.451,20.000
0.902,96.500
2.256,100.000
3.610,103.500
4.963,35.500
6.768,17.500
8.573,-0.400
9.475,11.700
11.280,10.200
13.085,8.700
13.987,10.000
15.792,10.000
17.596,10.000
18.499,5.500
20.304,10.000
22.108,14.500
23.011,29.400
24.815,32.300
26.620,35.100
27.523,28.100
29.327,24.200
31.132,20.400
32.034,14.600
33.839,13.000
35.644,11.500
36.546,13.800
38.351,16.600
40.156,19.500
41.058,27.300
42.863,27.300
44.668,27.400
45.570,20.300
47.375,16.800
49.180,13.300
50.082,9.800
51.887,10.000
53.692,10.200
54.594,14.500
56.399,17.900
58.203,21.400
59.106,26.600
60.911,27.400
62.715,28.200
63.618,24.700
65.423,22.000
67.227,19.300
68.130,12.000
69.934,13.900
71.739,15.800
72.642,27.100
74.446,31.500
76.251,35.800
77.153,39.300
78.958,35.500
80.763,31.800
81.665,17.300
83.470,12.600
85.275,7.900
86.177,12.200
87.982,12.200
89.787,12.100
90.689,12.900
92.494,12.500
94.299,12.100
95.201,10.500
97.006,10.000
98.811,9.500
99.713,9.400
101.518,10.000
103.322,10.600
104.225,12.300
106.030,12.900
107.834,13.600
108.737,12.100
110.542,13.100
112.346,14.200
113.249,17.400
115.053,18.100
116.858,18.800
117.761,18.300
119.565,16.700
121.370,15.000
122.272,11.300
124.077,10.000
125.882,8.700
126.784,6.300
128.589,10.000
130.394,13.700
131.296,28.700
133.101,28.700
134.906,28.700
135.808,13.700
137.613,10.000
139.418,6.300
140.320,10.000
142.125,10.000
143.930,10.000
144.832,10.000
146.637,10.000
148.441,10.000
149.344,8.000
151.149,10.000
152.953,12.000
153.856,19.300
155.660,20.000
157.465,20.800
158.368,13.600
160.172,13.700
161.977,13.800
162.880,19.300
164.684,20.500
166.489,21.700
167.391,18.500
169.196,19.800
171.001,21.100
171.903,24.400
173.708,27.200
175.513,29.900
176.415,33.000
178.220,33.500
180.025,33.900
180.927,32.600
182.732,29.400
184.537,26.100
185.439,20.500
187.244,17.000
189.049,13.500
189.951,13.200
191.756,11.800
193.560,10.400
194.463,8.400
196.268,10.000
198.072,11.600
198.975,19.700
200.779,20.000
202.584,20.300
203.487,13.000
205.291,11.500
207.096,10.000
207.999,11.100
209.803,12.500
211.608,14.000
212.510,18.500
214.315,18.700
216.120,19.000
217.022,12.900
218.827,13.800
220.632,14.800
221.534,24.100
223.339,23.300
225.144,22.600
226.046,12.700
227.851,10.000
229.656,7.300
230.558,10.000
232.363,10.000
234.168,10.000
235.070,7.800
236.875,10.000
238.679,12.200
239.582,19.300
241.387,20.900
243.191,22.500
244.094,20.200
245.898,18.000
247.703,15.800
248.606,8.800
250.410,10.000
252.215,11.200
253.117,21.400
254.922,23.800
256.727,26.300
257.629,19.400
259.434,22.300
261.239,25.200
262.141,33.500
263.946,38.300
265.751,43.000
266.653,49.100
268.458,46.200
270.263,43.200
271.165,28.500
272.970,23.600
274.775,18.700
275.677,22.200
277.482,21.700
279.286,21.100
280.189,23.000
281.994,20.700
283.798,18.400
284.701,12.100
286.506,10.000
288.310,7.900
289.213,9.900
291.017,10.000
292.822,10.100
293.725,10.400
295.529,10.400
297.334,10.400
298.236,8.600
300.041,10.000
301.846,11.400
302.748,9.500
304.553,17.500
306.358,25.400
307.260,45.300
309.065,49.900
310.870,54.500
311.772,45.300
313.577,40.400
315.382,35.400
316.284,30.900
318.089,25.000
319.894,19.100
320.796,14.000
322.601,11.000
324.405,8.000
325.308,9.800
327.113,10.000
328.917,10.200
329.820,10.400
331.625,11.900
333.429,13.400
334.332,16.100
336.136,17.600
337.941,19.100
338.844,20.400
340.648,19.600
342.453,18.800
343.355,14.500
345.160,13.600
346.965,12.800
347.867,16.200
349.672,15.400
351.477,14.700
352.379,11.100
354.184,10.000
355.989,8.900
356.891,9.000
358.696,10.000
360.501,11.000
361.403,13.000
363.208,15.100
365.013,17.100
365.915,16.300
367.720,20.400
369.524,24.600
370.427,37.300
372.232,35.700
374.036,34.200
374.939,16.800
376.743,12.700
378.548,8.600
379.451,15.700
381.255,15.300
383.060,14.900
383.963,11.700
385.767,10.700
387.572,9.600
388.474,10.200
390.279,10.000
392.084,9.900
392.986,10.000
394.791,10.000
396.596,10.000
397.498,8.600
399.303,10.000
401.108,11.400
402.010,16.900
403.815,16.900
405.620,16.900
406.522,11.400
408.327,10.000
410.132,8.600
411.034,7.700
412.839,10.000
414.643,12.300
415.546,21.700
417.351,21.700
419.155,21.700
420.058,12.300
421.862,10.000
423.667,7.700
424.570,10.000
426.374,10.000
428.179,10.000
429.082,9.700
430.886,10.000
432.691,10.300
433.593,11.300
435.398,11.500
437.203,11.800
438.105,11.600
439.910,11.300
441.715,11.000
442.617,10.300
444.422,10.000
446.227,9.700
447.580,10.000
448.934,10.000
450.287,10.000
450.739,12.000
451.190,10.000
451.641,8.000
451.190,2.000
451.190,0.000
