timestamp_sec,intensity
0.000,0.000
0.662,7.500
1.324,31.200
3.311,37.600
5.298,44.000
7.284,25.200
9.933,31.900
12.582,38.600
13.906,65.200
16.555,71.300
19.204,77.400
20.528,70.100
23.177,62.200
25.826,54.400
27.150,39.200
29.799,31.900
32.448,24.600
33.772,27.300
36.421,25.700
39.070,24.100
40.394,25.000
43.043,24.100
45.692,23.200
47.016,22.100
49.665,21.100
52.314,20.200
53.638,17.000
56.287,19.200
58.936,21.500
60.260,33.000
62.909,32.200
65.558,31.500
66.882,18.200
69.531,15.500
72.180,12.800
73.504,17.200
76.153,18.900
78.802,20.500
80.126,23.400
82.775,23.800
85.424,24.200
86.748,22.200
89.397,20.800
92.046,19.300
93.370,16.700
96.019,16.500
98.668,16.300
99.992,19.900
102.641,19.700
105.290,19.600
106.614,16.200
109.263,15.800
111.912,15.500
113.236,17.600
115.885,18.000
118.534,18.400
119.858,18.400
122.507,17.800
125.156,17.200
126.480,15.800
129.129,15.100
131.778,14.300
133.102,14.700
135.751,14.200
138.400,13.600
139.724,12.600
142.373,12.200
145.022,11.800
146.346,12.300
148.995,12.100
151.644,11.900
152.968,10.900
155.617,11.200
158.266,11.500
159.590,12.200
162.239,13.700
164.888,15.100
166.212,16.500
168.861,18.400
171.509,20.300
172.834,20.800
175.483,23.000
178.131,25.300
179.456,29.900
182.105,29.600
184.753,29.300
186.078,21.100
188.727,21.500
191.375,21.800
192.700,26.200
195.349,31.500
197.997,36.900
199.322,45.400
201.971,48.400
204.619,51.300
205.944,51.500
208.593,46.200
211.241,41.000
212.566,28.100
215.215,22.100
217.863,16.000
219.188,17.900
221.837,16.000
224.485,14.000
225.810,13.400
228.459,12.300
231.107,11.300
232.432,11.000
235.081,10.800
237.729,10.700
239.054,11.100
241.703,11.600
244.351,12.000
245.676,11.800
248.325,13.100
250.973,14.400
252.298,16.700
254.947,18.100
257.595,19.500
258.920,19.900
261.569,20.200
264.217,20.500
265.542,19.900
268.191,19.600
270.839,19.300
272.164,18.100
274.813,18.700
277.461,19.300
278.786,19.200
281.434,22.600
284.083,26.000
285.408,24.100
288.056,35.600
290.705,47.200
292.030,67.500
294.678,80.400
297.327,93.200
298.652,107.200
301.300,100.000
303.949,92.800
305.274,59.000
307.922,44.200
310.571,29.500
311.896,31.400
314.544,26.100
317.193,20.800
318.518,18.600
321.166,17.700
323.815,16.800
325.140,20.300
327.788,21.600
330.437,22.900
331.762,21.700
334.410,24.000
337.059,26.300
338.384,31.500
341.032,33.100
343.681,34.600
345.006,34.300
347.654,31.800
350.303,29.200
351.628,21.300
354.276,20.200
356.925,19.100
358.250,24.200
360.898,26.200
363.547,28.200
364.872,29.900
367.520,30.200
370.169,30.400
371.494,31.100
374.142,27.500
376.791,23.900
378.116,15.800
380.764,12.300
383.413,8.800
384.738,9.500
387.386,10.000
390.035,10.500
391.359,13.400
394.008,14.900
396.657,16.400
397.981,16.300
400.630,17.500
403.279,18.600
404.603,19.500
407.252,20.500
409.901,21.500
411.225,22.300
413.874,22.400
416.523,22.500
417.847,21.200
420.496,21.000
423.145,20.900
424.469,21.700
427.118,21.500
429.767,21.300
431.091,20.700
433.740,19.900
436.389,19.200
437.713,18.300
440.362,17.700
443.011,17.100
444.335,17.600
446.984,16.800
449.633,15.900
450.957,14.000
453.606,13.300
456.255,12.700
457.579,14.000
460.228,13.600
462.877,13.200
464.201,11.000
466.850,11.300
469.499,11.700
470.823,13.400
473.472,15.400
476.121,17.400
477.445,20.300
480.094,21.200
482.743,22.000
484.067,20.700
486.716,19.700
489.365,18.700
490.689,17.600
493.338,16.300
495.987,15.000
497.311,13.900
499.960,13.300
502.609,12.700
503.933,7.400
506.582,13.100
509.231,18.700
510.555,41.300
513.204,41.700
515.853,42.100
517.177,21.100
519.826,14.900
522.475,8.600
523.799,11.400
526.448,10.500
529.097,9.500
530.421,10.100
533.070,10.000
535.719,9.900
537.043,10.000
539.692,10.000
542.341,10.000
543.665,10.100
546.314,10.100
548.963,10.100
550.287,10.000
552.936,10.000
555.585,10.000
556.909,10.000
559.558,10.000
562.207,10.000
563.531,10.000
566.180,10.000
568.829,10.000
570.153,10.000
572.802,10.000
575.451,10.000
576.775,9.900
579.424,10.000
582.073,10.100
583.397,9.200
586.046,10.300
588.695,11.400
590.019,15.500
592.668,15.400
595.317,15.400
596.641,11.100
599.290,10.000
601.939,8.900
603.263,6.600
605.912,10.000
608.561,13.400
609.885,21.900
612.534,26.900
615.183,31.900
616.507,34.500
619.156,35.000
621.805,35.500
623.129,33.800
625.778,29.200
628.427,24.600
629.751,15.700
632.400,11.900
635.049,8.000
636.373,10.400
639.022,10.000
641.671,9.600
642.995,10.000
645.644,10.000
648.293,10.000
649.617,10.000
652.266,10.000
654.915,10.000
656.901,10.000
658.888,10.000
660.874,10.000
661.537,12.000
662.199,10.000
662.861,8.000
662.199,2.000
662.199,0.000
