start_time,end_time,text
14.761,19.265,Have you ever been nervous or felt fear when you’ve had to speak in public?
20.349,27.023000000000007,"Maybe you’ve been on a stage in front of a room full of people, or maybe you had a shared presentation in front of your coworkers."
27.815,34.65500000000002,"Or maybe you’ve been in a room full of strangers and they made you stand up and say who you are, where you’re from, and what you do."
35.198,40.161,"Now, at some point, most people have felt what it feels like to be afraid to speak in public."
41.037,44.499,"For me, I grew up with a tremendous fear of public speaking."
45.291,50.588,and my earliest memory of having a fear to speak happened in the second grade.
51.506,54.842,Our teacher was going around the room and calling on students to read.
54.884,55.885,Anybody been there?
56.094,58.49835999999999,"I was thinking, “Please don’t call on me."
58.49835999999999,59.97199999999998,Please don’t call on me.”
60.348,61.724,And she called someone else.
62.016,63.518,I can relax.
64.644,69.43999999999998,"But as they would get to the end of what they were reading, that anxiety would start to build again."
69.982,71.2125,“Please don’t call on me.
71.2125,72.44300000000001,Please don’t call on me.”
72.735,73.903,And then it happened.
74.487,79.28300000000002,She called my name and this wave of anxiety came over my body.
79.575,82.954,"And as I started to read, I started fumbling over my words."
83.412,86.58200000000001,"And the more I tried to get it together, the worse it got."
87.458,89.70999999999998,And I started hearing other kids laughing at me.
90.419,92.922,"And by the time I finished, I was so embarrassed."
93.422,95.92500000000001,"I remember thinking, “I never want to do that again.”"
96.592,99.011,And it created this memory early on.
99.428,100.88799999999998,“You’re not a public speaker.
101.013,102.12908108108108,This isn’t for you.
102.12908108108108,103.76599999999999,You just need to stay quiet.”
105.017,107.562,And I kept that memory for years to come.
108.396,110.648,Fast forward to my freshman year in college.
111.023,112.859,I had to take a speech class.
113.526,118.61400000000003,"When I got up to give my speech, that familiar wave of anxiety came over my body again."
119.782,131.87800000000001,"My heart started beating out of my chest, my adrenaline was racing, my throat got dry, my my muscles started to tense up, and when I was looking at my note card, my hands just started shaking."
132.962,135.63099999999994,"And when I tried to speak, my voice started trembling."
136.549,141.05299999999997,"And I felt this wave of heat come over my body, and I felt like I was about to pass out."
142.054,148.127275,"And somehow I made it through the speech, but that further anchored into my mind, “You’re not a speaker."
148.127275,149.85399999999996,You just need to give this up.”
151.314,153.78310344827588,And I continued to believe that for years.
153.78310344827588,155.52600000000004,Public speaking is not for me.
157.111,167.70499999999998,"But over the years, I kept feeling this feeling inside that I had a message to share, that I needed to speak, that I could make a bigger impact."
168.414,177.34000000000003,So that led me to the first key that helped me overcome my fear of public speaking: the realization that everyone has a message to share.
178.424,183.93000000000004,Each and every one of you has a message inside of you that the world is waiting to hear.
184.847,186.515,And your message matters.
187.808,189.06000000000006,But maybe you’re like me.
189.101,191.562,"For years, I didn’t think I had a message to share."
192.104,195.90000000000003,"I wondered, “What could I share that would help someone else?”"
196.776,199.90400000000002,"Well, my friend and mentor, Rory Vaden, says it best."
200.321,205.117,"He says, “You are perfectly positioned to serve the person you once were.”"
206.244,207.328,Think about that.
207.328,209.53799999999998,There’s stuff you’ve been through in your life.
209.538,212.91700000000003,"There’s lessons you’ve learned, obstacles you’ve overcome."
213.251,217.83800000000002,And there’s lessons you’ve learned along the way that you can take and help other people.
218.13,226.472,"Because right now, there’s someone going through what you went through in the past, and you can take those lessons you’ve learned and help them overcome their challenges."
227.473,235.35600000000002,"So I started going through my life, and I started thinking, “Well, what have I been through, and what lessons have I learned that I could use to help others?”"
235.523,238.23399999999998,"And I started sharing those, and I started helping people."
238.317,248.869,"And that's why I'm here today, sharing this message, because I overcame the fear of public speaking years ago, and I wanted to share what helped me so other people can share their message with the world."
249.996,252.99900000000002,"So first, I realized I had a message to share."
253.624,259.79699999999997,"Then I started asking myself, “Well, what goes through my head that makes me so nervous before I get up to speak?”"
260.381,264.093,"And I would think thoughts like, “They’re going to judge me."
264.26,271.2311428571429,"What if they don’t like the way I look, or the way I’m dressed, or what if they don’t like the sound of my voice, or what if I mess up"
271.2311428571429,272.518,and I say the wrong thing?”
273.602,276.6889999999999,All those thoughts that were going through my head were about me.
276.856,278.14899999999994,"Me, me, me."
278.691,280.6929999999999,And I realized I needed to shift that.
