start_time,stop_time,avg_intensity
0,20,39.08181818181818
20,40,39.94444444444444
40,60,21.48888888888889
60,80,22.200000000000003
80,100,20.31
100,120,17.688888888888886
120,140,15.033333333333335
140,160,11.788888888888888
160,180,20.333333333333332
180,200,29.255555555555556
200,220,35.833333333333336
220,240,12.288888888888888
240,260,15.233333333333333
260,280,19.422222222222224
280,300,55.97777777777778
300,320,46.93333333333333
320,340,22.533333333333335
340,360,27.533333333333335
360,380,27.022222222222222
380,400,12.455555555555556
400,420,20.666666666666668
420,440,20.5
440,460,15.455555555555556
460,480,14.144444444444444
480,500,17.84
500,520,23.666666666666668
520,540,10.0
540,560,10.033333333333333
560,580,9.988888888888889
580,600,12.044444444444444
600,620,21.01111111111111
620,640,19.9
640,660,9.955555555555556
660,680,7.0
