start_time,end_time,words
15,20,Have you ever been nervous or felt fear when you ’ve had to speak in public ?
20,25,"Maybe you ’ve been on a stage in front of a room full of people , or maybe you had a"
25,30,shared presentation in front of your coworkers . Or maybe you ’ve been in a room full of
30,35,"strangers and they made you stand up and say who you are , where you ’re from , and what you do ."
35,40,"Now , at some point , most people have felt what it feels like to be afraid to speak in"
40,45,"public . For me , I grew up with a tremendous fear of public speaking ."
45,50,and my earliest memory of having a fear to speak happened in the
50,55,second grade . Our teacher was going around the room and calling on students to read .
55,60,"Anybody been there ? I was thinking , “ Please do n’t call on me . Please do n’t call on me . ”"
60,65,And she called someone else . I can relax . But as
65,70,"they would get to the end of what they were reading , that anxiety would start to build again . “"
70,75,Please do n’t call on me . Please do n’t call on me . ” And then it happened . She
75,80,called my name and this wave of anxiety came over my body . And as
80,85,"I started to read , I started fumbling over my words . And the more I tried to get"
85,90,"it together , the worse it got . And I started hearing other kids laughing at me ."
90,95,"And by the time I finished , I was so embarrassed . I remember thinking , “ I never"
95,100,want to do that again . ” And it created this memory early on . “ You ’re not
100,105,a public speaker . This is n’t for you . You just need to stay quiet . ”
105,110,And I kept that memory for years to come . Fast forward to my freshman
110,115,year in college . I had to take a speech class . When I got up to give my
115,120,"speech , that familiar wave of anxiety came over my body again . My"
120,125,"heart started beating out of my chest , my adrenaline was racing , my throat got"
125,130,"dry , my my muscles started to tense up , and when I was looking at my"
130,135,"note card , my hands just started shaking . And when I tried to speak , my voice"
135,140,"started trembling . And I felt this wave of heat come over my body , and I felt like I"
140,145,"was about to pass out . And somehow I made it through the speech , but that"
145,150,"further anchored into my mind , “ You ’re not a speaker . You just need to give this up . ”"
150,155,And I continued to believe that for years . Public speaking is
155,160,"not for me . But over the years , I kept feeling this feeling"
160,165,"inside that I had a message to share , that I needed to"
165,170,"speak , that I could make a bigger impact . So that led me to the first"
170,175,key that helped me overcome my fear of public speaking : the realization that
175,180,everyone has a message to share . Each and every one of
180,185,you has a message inside of you that the world is waiting to hear .
185,190,"And your message matters . But maybe you ’re like me . For years , I did"
190,195,"n’t think I had a message to share . I wondered , “ What could I share that would"
195,200,"help someone else ? ” Well , my friend and mentor , Rory Vaden , says it best ."
200,205,"He says , “ You are perfectly positioned to serve the person you once"
205,210,were . ” Think about that . There ’s stuff you ’ve been through in your life . There
210,215,"’s lessons you ’ve learned , obstacles you ’ve overcome . And there ’s lessons you ’ve learned"
215,220,"along the way that you can take and help other people . Because right now , there ’s someone going"
220,225,"through what you went through in the past , and you can take those lessons you ’ve learned and help"
225,230,"them overcome their challenges . So I started going through my life , and I started"
230,235,"thinking , “ Well , what have I been through , and what lessons have I learned that I could use to help"
235,240,"others ? ” And I started sharing those , and I started helping people . And that 's why I 'm here today ,"
240,245,"sharing this message , because I overcame the fear of public speaking years ago , and I"
245,250,wanted to share what helped me so other people can share their message with the world .
250,255,"So first , I realized I had a message to share . Then I started asking"
255,260,"myself , “ Well , what goes through my head that makes me so nervous before I get up to speak ? ”"
260,265,"And I would think thoughts like , “ They ’re going to judge me . What if they"
265,270,"do n’t like the way I look , or the way I ’m dressed , or what if they do n’t like the sound of my"
270,275,"voice , or what if I mess up and I say the wrong thing ? ” All those thoughts that were"
275,280,"going through my head were about me . Me , me , me . And I realized I needed"
280,285,to shift that . And that led me to the second realization that helped me overcome my fear
285,290,of public speaking : realizing that sharing your message is not about you .
290,295,It ’s about the people you ’re there to serve and what ’s in it for them .
295,300,"And my friend Rory Vaden says it best . He told me , “ Fear"
