start_time,end_time,text
0.199,2.79,Skid Row a hellscape in downtown Los
2.8,4.59,Angeles with deadly police shooting in
4.6,6.869,"La Skid Row where more than 5,000"
6.879,8.91,homeless people crowd the streets tents
8.92,11.19,line the sidewalks addiction and mental
11.2,13.589,illness run wild and crime is at an
13.599,16.51,all-time high in Skid Row survival is
16.52,18.67,the only goal I've been coming to La my
18.68,20.83,entire life I've never seen streets that
20.84,23.269,look like this today I want to document
23.279,25.39,the shocking reality in Skid Row but
25.4,27.109,also shine a light on these people's
27.119,29.23,dignity because homelessness is not
29.24,32.85,exactly what you think it
34.84,37.99,is Skid Row is a 50 block area in
38.0,39.83,downtown Los Angeles holding one of the
39.84,41.59,largest populations of homeless people
41.6,43.91,"in the United States with over 5,000"
43.92,45.83,residents living in encampments many of
45.84,47.79,them are addicted to drugs but the lack
47.8,49.63,of Mental Health Services leaves many
49.64,51.27,without the support they need putting
51.28,53.189,them in a cycle of adversity that is
53.199,54.95,hard to break I heard about one
54.96,57.069,organization that provides food Medical
57.079,58.95,Care and shelter to vulnerable people in
58.96,60.59,skid row it's called called Midnight
60.6,62.11,Mission and I'm about to meet up with
62.12,64.39,Dante and Heidi two volunteers who were
64.4,65.91,drawn to work here because they both
65.92,67.99,know firsthand what it is like to be
68.0,69.63,without a home really what our goal is
69.64,71.39,to go out of business right if we can
71.4,73.39,just get everybody housed and where they
73.4,75.429,need to be we could shut the doors that
75.439,77.87,would be the best thing together Dante
77.88,79.27,and Heidi are going to show me around
79.28,82.149,the most dangerous streets in America so
82.159,83.63,most people when they hear the word skid
83.64,85.71,R they immediately think like danger
85.72,87.31,what's your response to that well
87.32,89.109,everywhere's dangerous sure I agree with
89.119,91.39,that so of course it's dangerous yeah
91.4,93.91,but uh not as dangerous as it's as it's
93.92,96.149,put out to be the violence is rising
96.159,97.149,because we're getting so many other
97.159,99.069,people from different places and they're
99.079,100.91,bringing different energy attacks you
100.92,103.069,know like uh people being hit with poles
103.079,104.749,or stabbings and things like this it's
104.759,105.87,just starting to rise up and then the
105.88,107.27,summertime too usually around the summer
107.28,109.749,you know people get hotter frustrated
109.759,113.149,and and things happen hey you all right
113.159,116.109,bro oh he breathing we'll do well inness
116.119,117.35,checks and they'll be laying like that
117.36,119.51,dying you've seen just dead people of
120.439,122.83,often of course often my second year
122.84,125.069,working here every other week I came to
125.079,127.95,work someone was OD in a tent somewhere
127.96,129.19,or when we go around to do Wellness
129.2,131.27,checks in the morning wake people up we
131.28,133.43,would have two or three people died and
133.44,134.67,then when it got cold we had a couple
134.68,137.75,people die uh from freezing freezing
137.76,140.43,yeah more people die of hypothermia on
140.44,142.43,the streets of Los Angeles than in New
142.44,144.589,York cuz New York has the you know the
144.599,146.27,right to shelter so they'll have shelter
146.28,148.71,but here people don't think about it so
148.72,151.35,each 10 is a home for one person or or
151.36,153.27,sometimes two people or or a person in
153.28,155.71,their dog can see tense and tense and
155.72,157.91,tense here on the sidewalks homes for
157.92,159.63,the people guess it's a bit more shelter
159.64,161.55,than just a tent yeah if it rains or
161.56,163.07,something well for the rain they're real
163.08,164.79,resourceful though you see the tarps
164.8,167.11,yeah that for the rain so crazy walking
167.12,169.11,around these streets just lot of
169.12,171.03,simulation everywhere people coming up
171.04,172.79,to you I'm literally shocked right now I
172.8,174.149,don't know what to think you want to
174.159,176.83,talk to us for a second about your
176.84,178.67,experiences being down here on uh ski
178.68,181.71,road yeah what's your name Jan number
181.72,183.71,one skid R dancer number one skid rad
183.72,186.11,dancer she really is she is the best
186.12,189.19,dancer Number One You're Number Two
189.2,192.47,really what is it like to live in SK uh
192.48,195.949,it's cool we we get everything down here
195.959,198.03,we get a blessing every day so have you
198.04,199.63,always been a dancer or is it something
199.64,201.63,that you just learned while you I I grew
201.64,204.35,up dancing like Michael Jackson I was at
204.36,206.589,home watching them and I'll be at home
206.599,208.509,practicing with them you know they
208.519,210.71,getting down I'm getting down with hey
210.72,211.789,what's the best and the worst thing
211.799,214.149,about living here the best thing I just
214.159,216.75,love downtown cuz I am number one and
216.76,219.309,what's the worst thing about living here
219.319,221.99,when they get the um fighting and stuff
222.0,223.99,you know somebody hating on somebody you
224.0,225.949,know for what I don't know I seen
225.959,227.589,another man take his light right there
227.599,230.63,at that building right there he jumped I
230.64,232.83,was right there by the midnight he was
232.84,235.19,way at the top how he got up there in
235.2,237.149,that building look how it's blocked off
237.159,239.149,you know that that was strange to me for
239.159,240.63,real think it's time we should see some
240.64,243.11,of your dance
243.12,246.949,moves okay
246.959,249.789,okay from the middle like a rocket give
249.799,251.99,me a b I'm a I'm a rocket feeling like
252.0,261.31,Rocky in my pockets maning they try
261.32,263.06,to Everyday
264.44,266.43,occurrence they get a call the fire
266.44,268.629,department here in skidrow a call every
268.639,271.35,7 Seconds true I mean we've heard a
271.36,273.51,bunch of ambulance so far but damn
273.52,275.469,that's crazy every seven seconds you see
275.479,276.909,here this is the police station yeah I
276.919,278.79,was going to ask about make them this is
278.8,279.95,the police station this is the police
279.96,281.39,station there was a guy that was shot in
281.4,283.029,the head right here like right here in
283.039,283.83,front of the police station right in
283.84,284.909,front of the police station and they
284.919,286.469,don't do anything and they didn't catch
286.479,289.15,the guy they didn't just shot it started
289.16,290.55,to even be harder to get the police to
290.56,292.749,come out they asked so many questions
292.759,295.43,before even yeah well hey we got a guy
295.44,297.029,that was a SED hey is he bleeding how
297.039,299.87,old is he is he can he talk can he stand
299.88,301.83,can he's like hey just come out and come
301.84,303.67,see about it yeah how are you my best
303.68,305.35,friend God bless you God bless you too
305.36,307.59,good to see God bless you God bless you
307.6,311.07,too all right hi what's going on over
311.08,313.59,here probably a testing site diabetes
313.6,315.87,testing they got some covid tests there
315.88,318.11,it's open for anyone so this is yeah la
318.12,319.99,Christian Health Center come they just
320.0,321.43,roll up on a corner and everybody can
321.44,323.11,come out and for food I'm guessing
323.12,325.15,people make food they dumpster dive
325.16,326.55,what's what's the food situation like
326.56,328.029,the missions make it where they don't
328.039,329.749,have to dumpster dive but a lot of them
329.759,331.309,still do I guess when you get used to
331.319,332.629,something or custom something that's
332.639,334.71,just what they'll do like this right
334.72,337.95,legi here it's so crazy that in right
337.96,339.71,there you just see these huge Banks like
339.72,341.87,right here right here from from SK R
341.88,343.71,yeah such a contrast did you know that
343.72,347.309,LA county has the largest population of
347.319,349.55,poverty homelessness and also the
349.56,352.35,largest population of billionaires
352.36,355.67,really mhm not much in between not much
355.68,356.749,they're cutting out middle class they're
356.759,358.95,cutting middle class is yeah it's done
358.96,361.909,it's yeah skidrow is an extreme example
361.919,364.07,of America's shrinking middle class over
364.08,365.87,the past few decades wages have
365.88,367.629,stagnated while the cost of living has
367.639,369.67,soared the gap between rich and poor
369.68,371.55,widens pushing many into Financial
