start_time,stop_time,avg_intensity
0,20,59.88333333333333
20,40,16.133333333333333
40,60,14.633333333333333
60,80,14.95
80,100,20.0
100,120,15.275
120,140,10.0
140,160,24.425
160,180,89.5
180,200,43.199999999999996
200,220,14.5
220,240,24.766666666666666
240,260,16.05
260,280,10.1
280,300,10.0
300,320,9.933333333333334
320,340,10.55
340,360,12.066666666666668
360,380,12.533333333333333
380,400,10.675
400,420,10.0
420,440,10.0
440,460,9.933333333333334
460,480,10.55
480,500,11.333333333333334
500,520,19.55
520,540,76.23333333333333
540,560,13.3
560,580,9.733333333333333
580,600,10.0
600,620,10.133333333333333
620,640,10.066666666666666
640,660,10.0
660,680,11.9
680,700,13.666666666666666
700,720,14.433333333333332
720,740,23.15
740,760,25.599999999999998
760,780,14.0
780,800,10.0
800,820,9.95
820,840,9.966666666666667
840,860,14.45
860,880,12.700000000000001
880,900,9.533333333333333
900,920,10.0
920,940,10.0
940,960,10.0
960,980,9.933333333333334
980,1000,10.2
1000,1020,13.6
1020,1040,31.46666666666667
1040,1060,38.375
1060,1080,10.0
1080,1100,10.0
1100,1120,10.0
1120,1140,9.95
1140,1160,10.0
1160,1180,19.025
1180,1200,28.5
1200,1220,17.125
1220,1240,6.0
1240,1260,37.875
1260,1280,34.43333333333333
1280,1300,8.733333333333333
1300,1320,9.725
1320,1340,10.0
1340,1360,10.0
1360,1380,10.0
1380,1400,10.0
1400,1420,10.0
1420,1440,10.0
1440,1460,10.0
1460,1480,23.45
1480,1500,8.866666666666667
1500,1520,10.0
1520,1540,9.566666666666666
1540,1560,14.833333333333334
1560,1580,11.65
1580,1600,10.0
1600,1620,10.0
1620,1640,10.0
1640,1660,10.0
1660,1680,10.0
1680,1700,10.0
1700,1720,10.0
1720,1740,13.3
