start_time,end_time,words
0,20,"Skid Row a hellscape in downtown Los Angeles with deadly police shooting in La Skid Row where more than 5,000 homeless people crowd the streets tents line the sidewalks addiction and mental illness run wild and crime is at an all - time high in Skid Row survival is the only goal I 've been coming to La my entire life I 've never"
20,40,seen streets that look like this today I want to document the shocking reality in Skid Row but also shine a light on these people 's dignity because homelessness is not exactly what you think it is Skid Row is a 50 block area in downtown Los Angeles holding one of the
40,60,"largest populations of homeless people in the United States with over 5,000 residents living in encampments many of them are addicted to drugs but the lack of Mental Health Services leaves many without the support they need putting them in a cycle of adversity that is hard to break I heard about one organization that provides food Medical Care and shelter to vulnerable people in skid row it 's called"
60,80,called Midnight Mission and I 'm about to meet up with Dante and Heidi two volunteers who were drawn to work here because they both know firsthand what it is like to be without a home really what our goal is to go out of business right if we can just get everybody housed and where they need to be we could shut the doors that would be the best thing together Dante and Heidi are going to show me around the most
80,100,dangerous streets in America so most people when they hear the word skid R they immediately think like danger what 's your response to that well everywhere 's dangerous sure I agree with that so of course it 's dangerous yeah but uh not as dangerous as it 's as it 's put out to be the violence is rising because we 're getting so many other people from different places and they 're bringing
100,120,different energy attacks you know like uh people being hit with poles or stabbings and things like this it 's just starting to rise up and then the summertime too usually around the summer you know people get hotter frustrated and and things happen hey you all right bro oh he breathing we 'll do well inness checks and they 'll be laying like that dying you 've seen just dead people of
120,140,often of course often my second year working here every other week I came to work someone was OD in a tent somewhere or when we go around to do Wellness checks in the morning wake people up we would have two or three people died and then when it got cold we had a couple people die uh from freezing freezing yeah more people die of
140,160,hypothermia on the streets of Los Angeles than in New York cuz New York has the you know the right to shelter so they 'll have shelter but here people do n't think about it so each 10 is a home for one person or or sometimes two people or or a person in their dog can see tense and tense and tense here on the sidewalks homes for the people guess it 's a bit more shelter than
160,180,just a tent yeah if it rains or something well for the rain they 're real resourceful though you see the tarps yeah that for the rain so crazy walking around these streets just lot of simulation everywhere people coming up to you I 'm literally shocked right now I do n't know what to think you want to talk to us for a second about your experiences being down here on uh ski road yeah what
180,200,'s your name Jan number one skid R dancer number one skid rad dancer she really is she is the best dancer Number One You 're Number Two really what is it like to live in SK uh it 's cool we we get everything down here we get a blessing every day so have you always been a dancer or is it something that
200,220,you just learned while you I I grew up dancing like Michael Jackson I was at home watching them and I 'll be at home practicing with them you know they getting down I 'm getting down with hey what 's the best and the worst thing about living here the best thing I just love downtown cuz I am number one and what 's the worst thing about living here when they
220,240,get the um fighting and stuff you know somebody hating on somebody you know for what I do n't know I seen another man take his light right there at that building right there he jumped I was right there by the midnight he was way at the top how he got up there in that building look how it 's blocked off you know that that was strange to me for real think it 's time
240,260,we should see some of your dance moves okay okay from the middle like a rocket give me a b I 'm a I 'm a rocket feeling like Rocky in my pockets maning
260,280,they try to Everyday occurrence they get a call the fire department here in skidrow a call every 7 Seconds true I mean we 've heard a bunch of ambulance so far but damn that 's crazy every seven seconds you see here this is the police station yeah I was going to ask about make them this is the police station this is the police
280,300,station there was a guy that was shot in the head right here like right here in front of the police station right in front of the police station and they do n't do anything and they did n't catch the guy they did n't just shot it started to even be harder to get the police to come out they asked so many questions before even yeah well hey we got a guy that was a SED hey is he bleeding how old is he is he can he talk can he stand
300,320,can he 's like hey just come out and come see about it yeah how are you my best friend God bless you God bless you too good to see God bless you God bless you too all right hi what 's going on over here probably a testing site diabetes testing they got some covid tests there it 's open for anyone so this is yeah la Christian Health Center come they just
320,340,roll up on a corner and everybody can roll up on a corner and everybody can come out and for food I 'm guessing people make food they dumpster dive what 's what 's the food situation like the missions make it where they do n't have to dumpster dive but a lot of them still do I guess when you get used to something or custom something that 's just what they 'll do like this right legi here it 's so crazy that in right there you just see these huge Banks like
