timestamp_sec,intensity
0.000,0.000
1.976,7.900
3.951,34.400
9.878,39.300
15.805,44.200
21.732,30.200
29.635,24.300
37.537,18.500
41.489,10.900
49.391,10.000
57.294,9.100
61.245,18.900
69.148,20.000
77.050,21.100
81.001,15.300
88.904,15.500
96.807,15.700
100.758,22.200
108.660,21.100
116.563,20.000
120.514,12.100
128.417,10.000
136.320,7.900
140.271,7.200
148.173,10.400
156.076,13.700
160.027,26.000
167.930,26.400
175.832,26.700
179.784,11.600
187.686,12.100
195.589,12.600
199.540,29.000
207.443,28.800
215.345,28.500
219.297,13.100
227.199,10.800
235.102,8.500
239.053,5.700
246.956,17.400
254.858,29.000
258.810,70.700
266.712,69.300
274.615,67.800
278.566,21.900
286.469,10.000
294.371,-1.900
298.322,9.800
306.225,10.000
314.128,10.200
318.079,10.900
325.981,10.900
333.884,10.900
337.835,10.200
345.738,10.000
353.641,9.800
357.592,7.800
365.494,10.000
373.397,12.200
377.348,21.000
385.251,21.200
393.153,21.400
397.105,13.200
405.007,10.900
412.910,8.700
416.861,10.200
424.764,10.000
432.666,9.800
436.618,10.000
444.520,10.000
452.423,10.000
456.374,10.000
464.277,10.000
472.179,10.000
476.131,10.000
484.033,10.000
491.936,10.000
495.887,10.000
503.790,10.000
511.692,10.000
515.643,10.000
523.546,10.000
531.449,10.000
535.400,7.000
543.302,10.000
551.205,13.000
555.156,23.500
563.059,25.000
570.962,26.500
574.913,20.600
582.815,17.600
590.718,14.600
594.669,11.500
602.572,10.000
610.474,8.500
614.426,10.000
622.328,10.000
630.231,10.000
634.182,8.400
642.085,10.000
649.987,11.600
653.939,16.400
661.841,18.100
669.744,19.900
673.695,20.500
681.598,18.900
689.500,17.200
693.452,11.800
701.354,10.000
709.257,8.200
713.208,9.300
721.111,10.000
729.013,10.700
732.964,12.800
740.867,13.300
748.770,13.900
752.721,10.400
760.623,12.600
768.526,14.800
772.477,24.200
780.380,24.400
788.282,24.600
792.234,16.500
800.136,13.600
808.039,10.700
811.990,10.700
819.893,10.000
827.795,9.300
831.747,-6.500
839.649,10.000
847.552,26.500
851.503,77.700
859.406,92.700
867.308,107.800
871.260,99.500
879.162,85.200
887.065,70.800
891.016,34.700
898.919,20.900
906.821,7.100
910.773,13.300
918.675,16.100
926.578,18.900
930.529,35.300
938.432,34.900
946.334,34.500
950.285,18.900
958.188,13.900
966.091,8.900
970.042,10.800
977.944,10.000
985.847,9.200
989.798,9.600
997.701,10.000
1005.603,10.400
1009.555,10.100
1017.457,11.800
1025.360,13.400
1029.311,16.600
1037.214,18.300
1045.116,20.000
1049.068,21.900
1056.970,20.200
1064.873,18.600
1068.824,12.000
1076.727,10.000
1084.629,8.000
1088.581,9.000
1096.483,10.000
1104.386,11.000
1108.337,11.800
1116.240,14.800
1124.142,17.800
1128.093,24.700
1135.996,24.900
1143.899,25.200
1147.850,16.200
1155.753,15.800
1163.655,15.400
1167.606,22.600
1175.509,22.900
1183.412,23.200
1187.363,20.100
1195.265,17.500
1203.168,15.000
1207.119,9.900
1215.022,10.000
1222.924,10.100
1226.876,16.600
1234.778,17.800
1242.681,19.100
1246.632,17.600
1254.535,16.000
1262.437,14.400
1266.389,11.200
1274.291,10.000
1282.194,8.800
1286.145,10.100
1294.048,10.100
1301.950,10.100
1305.902,10.000
1313.804,10.000
1321.707,10.000
1325.658,10.000
1333.561,10.000
1341.463,10.000
1345.414,10.000
1353.317,10.000
1361.220,10.000
1365.171,8.900
1373.074,10.000
1380.976,11.100
1384.927,15.400
1392.830,15.500
1400.733,15.700
1404.684,11.400
1412.586,10.900
1420.489,10.400
1424.440,13.000
1432.343,13.000
1440.245,12.900
1444.197,10.000
1452.099,10.700
1460.002,11.300
1463.953,16.400
1471.856,16.300
1479.758,16.100
1483.710,9.600
1491.612,10.000
1499.515,10.400
1503.466,15.500
1511.369,18.100
1519.271,20.700
1523.223,23.400
1531.125,23.000
1539.028,22.600
1542.979,11.600
1550.882,16.300
1558.784,21.000
1562.735,44.100
1570.638,46.600
1578.541,49.100
1582.492,36.100
1590.395,28.700
1598.297,21.400
1602.248,13.700
1610.151,10.000
1618.054,6.300
1622.005,8.900
1629.907,10.000
1637.810,11.100
1641.761,-2.300
1649.664,15.700
1657.566,33.700
1661.518,93.000
1669.420,100.000
1677.323,93.000
1681.274,68.500
1689.177,50.500
1697.079,32.500
1701.031,18.100
1708.933,10.000
1716.836,1.900
1720.787,10.000
1728.690,10.000
1736.592,10.000
1740.544,10.000
1748.446,10.000
1756.349,10.000
1760.300,8.300
1768.203,10.000
1776.105,11.700
1780.056,4.600
1787.959,18.700
1795.862,32.900
1799.813,72.100
1807.715,80.800
1815.618,89.400
1819.569,70.100
1827.472,61.900
1835.375,53.700
1839.326,48.300
1847.228,39.800
1855.131,31.200
1859.082,25.100
1866.985,19.200
1874.887,13.200
1878.839,11.600
1886.741,10.000
1894.644,8.400
1898.595,10.800
1906.498,11.400
1914.400,11.900
1918.352,12.300
1926.254,12.700
1934.157,13.000
1938.108,8.200
1946.011,13.200
1953.913,18.100
1959.840,32.800
1965.767,37.700
1971.694,42.600
1973.670,45.200
1975.645,37.700
1977.621,30.100
1975.645,7.500
1975.645,0.000
