start_time,end_time,text
2.52,5.63,this guy bit me oh he's picking a fight
5.64,8.27,on my bike now all right well you're in
8.28,10.83,for a ride my
10.84,14.829,guy look this Endless Sea of bikes it's
15.76,18.79,a.m. Baron has decided to wake
18.8,22.109,up I don't know how many times so Mom
22.119,25.189,took most of it last night so I'm going
25.199,28.39,to get her breakfast to surprise her
28.4,39.42,that's a small thank you
44.399,47.27,we're back in yamate it's so pretty here
47.28,49.709,although the weather kind of sucks but
49.719,52.069,that makes it nice because otherwise
52.079,54.79,it's like 35 degrees and humid you've
54.8,56.79,seen yamata many times in our Vlogs we
56.8,59.229,just love it here it's so pretty my just
59.239,60.79,said she's cold
60.8,63.549,for the first time in
63.559,67.149,months there we go so we found this area
67.159,69.87,through this movie it's Studio gibli but
69.88,71.789,it's not made by Miaki it's made by his
71.799,85.06,son it's really good check it out
93.24,96.749,so there's rain today usually mugie
96.759,98.95,likes to lay in the sun to sunbath but
98.96,104.35,she found a sunspot
111.0,113.149,anyway what you got there
113.159,115.469,bi thank
115.479,117.429,you there you
117.439,121.23,go hello we're doing a date trip to in
121.24,122.95,the mountains in
122.96,125.469,carawa and we're going on this road
125.479,128.27,which I was never able to go because I
128.28,129.589,don't have winter tires but now it's
129.599,132.35,summer so we can go yay this temperature
133.76,137.35,nice it's just been 35
137.36,141.63,humidity every damn day for like feels
141.64,145.47,like four months so this is a good call
145.48,146.79,a lot of people here we're going to see
146.8,148.91,a waterfall that we've been we come
148.92,152.07,we've been to K many times but the
152.08,154.71,waterfall has always been inaccessible
154.72,157.71,so yeah I'm excited to see it where's
158.72,161.41,water that way
165.4,168.229,yes yeah where's the
168.239,171.33,waterfall yes it's that way
175.76,180.72,yes so he goes all the way
209.879,211.509,we just arrived at the hotel we're
211.519,213.39,staying here for free really really
213.4,215.39,pretty so far I can't tell you how good
215.4,218.789,it feels to see some Greenery and nice
218.799,221.35,temperature like this is such a good
221.36,224.99,Escape I love it P is Thoroughly
225.0,227.11,inspecting everything what do you think
227.12,232.55,so far be good
232.56,235.069,quality where's the hotel
235.079,240.83,be yes it is such a pretty Garden
240.84,243.64,area B what are you
251.36,254.949,yes we're about to have dinner it's so
254.959,256.87,lovely and nice I'm loving it here so
278.44,280.629,dad and be had a good sleep looked like
280.639,283.79,Mama had to do most of it feels so good
283.8,288.07,to be outside and not cook I love it but
288.08,290.23,we're going back today we might do
290.24,296.78,something on the way out
302.24,305.99,so pretty we're in in Lake Garden we
306.0,308.23,weren't allowed to film for YouTube so I
308.24,310.35,can't show it but if you encour Z I
310.36,312.31,definitely recommend it like really
312.32,316.07,magical Lake Area it feels like we're in
316.08,324.07,a movie set Marc said and I love the
324.08,326.87,architecture okay we found a loophole
326.88,337.71,we're sing at the cafe at the next to it
337.72,340.43,such a pretty Street I love it I can't
340.44,342.27,believe these houses look abandoned
342.28,344.83,they're next to this gorgeous Pond
344.84,346.629,should we Snoop inside it looks like an
346.639,350.07,old flower shop or
350.08,353.07,something yes it
353.08,358.05,is so pretty a little creepy doll
366.52,369.67,such a pretty stop here all right that's
369.68,371.79,uh every a wrap for
371.8,374.309,karawa really really enjoyed our stay
374.319,376.83,felt like a nice break from the Heat and
376.84,378.67,uh it's just so peaceful to be in nature
378.68,381.11,and I think uh all the locals were so
381.12,383.029,friendly too we'll have to come back
399.16,400.99,we're at
401.0,406.71,the yeah so exciting we have doll H
410.16,414.39,meatballs you want mine okay I have a
414.4,421.749,spoon you want to just bite it up
421.759,427.629,M was a good
434.24,436.869,y y so
436.879,441.6,exciting 3 2
446.72,457.21,1 again his first time in a s p
510.919,514.509,I love him but they going to carry
514.519,518.949,him throughout town and it's the W of
518.959,521.79,evil yes it's a snake
521.8,523.67,B it's a
523.68,526.4,snake it's a snake
543.88,546.67,I just finished writing a piece for the
546.68,548.79,monthly shellberg newsletter if you guys
548.8,550.67,don't know we have a newsletter
550.68,552.31,September post should be up while you
552.32,554.91,see this uh where we have more in-depth
554.92,556.87,about our travels kind of like the Vlogs
556.88,560.389,but in the written form like a Blog but
560.399,561.99,also shared some delicious recipes
562.0,563.949,there's three of them I wrote a piece
563.959,565.47,about becoming a dad and what I've
565.48,567.829,learned from it so that's interesting
567.839,570.03,check it out it's subscription and thank
570.04,572.39,you for
573.64,575.91,supporting can we play another game here
575.92,582.19,what do you
592.36,595.949,think today we're going to yanaka it's
595.959,598.19,quite far for us but it's we've never
598.2,599.75,been and we wanted we we' been wanting
599.76,601.269,to check it out for a long time it's
601.279,610.73,like a old towy kind of feel I
623.079,624.91,think I feel like I haven't complained
624.92,626.87,about the heat that much is year
626.88,628.99,considering how hot it's been it's too
629.0,630.87,hot to to be outside it's too hot to do
630.88,633.41,anything but here we are
639.959,645.71,anyway that's
645.72,650.509,pretty there it is the shopping
650.519,653.21,street super interesting architecture
675.639,679.15,H which one are you hoping
679.16,682.87,for it was fake it was
682.88,685.87,fake very Aesthetics
685.88,698.59,fall wish I got a bird in there
698.6,704.55,that was actually kind of
704.56,709.2,cool subway line and the she subway
713.92,717.389,line we are at the ji Museum uh I heard
717.399,719.03,about this like long before we moved
720.079,721.71,but getting tickets is always so
721.72,724.509,difficult but friend hooked us up so we
724.519,727.94,have it super pretty so far super nice
731.639,736.43,day we're going
736.44,739.189,up oh we made
739.199,746.34,it it's the day and Rob I scared
755.76,757.509,we're in uh
757.519,760.75,shimawa I have not been here in Forever
760.76,764.03,it's like the hip area I think I'm too
764.04,765.79,old to say that there's a moon
765.8,768.59,exhibition here Jen where's the
768.6,771.96,Moon yes it's up in the
776.44,779.189,sky how was the meal sir was it
779.199,780.87,everything to your
780.88,783.99,fancy there's the
786.6,790.06,hey that's so
805.72,808.67,wow big day today we're going to aaji
809.639,812.069,it's an island little on the south side
812.079,814.47,of Japan we're taking the shinkansen
