start_time,stop_time,avg_intensity
0,20,25.16
20,40,24.333333333333332
40,60,10.0
60,80,20.0
80,100,15.5
100,120,21.099999999999998
120,140,10.0
140,160,10.433333333333332
160,180,22.675
180,200,17.900000000000002
200,220,23.46666666666667
220,240,8.333333333333334
240,260,39.03333333333333
260,280,53.0
280,300,5.966666666666666
300,320,10.366666666666667
320,340,10.666666666666666
340,360,9.200000000000001
360,380,14.4
380,400,18.599999999999998
400,420,9.933333333333332
420,440,9.933333333333334
440,460,10.0
460,480,10.0
480,500,10.0
500,520,10.0
520,540,9.0
540,560,15.5
560,580,24.03333333333333
580,600,14.566666666666668
600,620,9.5
620,640,9.466666666666667
640,660,12.666666666666666
660,680,19.5
680,700,15.966666666666667
700,720,9.166666666666666
720,740,11.166666666666666
740,760,12.533333333333333
760,780,17.2
780,800,21.833333333333332
800,820,11.25
820,840,4.266666666666667
840,860,65.63333333333334
860,880,97.5
880,900,42.13333333333333
900,920,12.166666666666666
920,940,29.7
940,960,22.433333333333334
960,980,9.9
980,1000,9.6
1000,1020,10.766666666666666
1020,1040,16.099999999999998
1040,1060,20.7
1060,1080,13.533333333333333
1080,1100,9.0
1100,1120,12.533333333333333
1120,1140,22.46666666666667
1140,1160,19.066666666666666
1160,1180,20.3
1180,1200,20.266666666666666
1200,1220,11.633333333333333
1220,1240,14.833333333333334
1240,1260,17.566666666666666
1260,1280,11.866666666666667
1280,1300,9.666666666666666
1300,1320,10.033333333333333
1320,1340,10.0
1340,1360,10.0
1360,1380,9.633333333333333
1380,1400,14.0
1400,1420,12.666666666666666
1420,1440,12.133333333333333
1440,1460,11.200000000000001
1460,1480,15.025
1480,1500,10.0
1500,1520,18.099999999999998
1520,1540,23.0
1540,1560,16.3
1560,1580,46.6
1580,1600,28.733333333333334
1600,1620,10.0
1620,1640,10.0
1640,1660,15.700000000000001
1660,1680,95.33333333333333
1680,1700,50.5
1700,1720,10.0
1720,1740,10.0
1740,1760,10.0
1760,1780,10.0
1780,1800,32.075
1800,1820,80.10000000000001
1820,1840,54.63333333333333
1840,1860,32.03333333333333
1860,1880,14.666666666666666
1880,1900,9.733333333333334
1900,1920,11.866666666666667
1920,1940,11.299999999999999
1940,1960,21.366666666666664
1960,1980,28.685714285714287
