start_time,end_time,words
0,5,this guy bit me oh he 's
5,10,picking a fight on my bike now all right well you 're in for a
10,15,ride my guy look this Endless Sea of bikes it 's
15,20,a.m. Baron has decided to wake up I do n't
20,25,know how many times so Mom took most of it last night so I 'm
25,30,going to get her breakfast to surprise her
30,35,that 's a small thank you
40,45,we 're
45,50,back in yamate it 's so pretty here although the weather kind of sucks but
50,55,that makes it nice because otherwise it 's like 35 degrees and humid you 've
55,60,seen yamata many times in our Vlogs we just love it here it 's so pretty my just said
60,65,she 's cold for the first time in months there
65,70,we go so we found this area through this movie it 's Studio gibli but
70,75,it 's not made by Miaki it 's made by his son it
75,80,'s really good check it out
90,95,so there 's rain
95,100,today usually mugie likes to lay in the sun to sunbath but she
100,105,found a sunspot
110,115,anyway what you got there bi
115,120,thank you there you go hello we 're doing a
120,125,date trip to in the mountains in carawa and we 're going on
125,130,this road which I was never able to go because I do n't have winter tires but now it 's
130,135,summer so we can go yay this temperature nice it
135,140,'s just been 35 humidity every damn
140,145,day for like feels like four months so this is a good
145,150,call a lot of people here we 're going to see a waterfall that we 've been we come we 've been
150,155,to K many times but the waterfall has always been inaccessible so
155,160,yeah I 'm excited to see it where 's water
160,165,that way
165,170,yes yeah where 's the waterfall yes
170,175,it 's that way
175,180,yes so he goes all the
180,185,way
205,210,we
210,215,just arrived at the hotel we 're staying here for free really really pretty so far I ca n't tell you
215,220,how good it feels to see some Greenery and nice temperature
220,225,like this is such a good Escape I love it P is Thoroughly
225,230,inspecting everything what do you think inspecting everything what do you think so far
230,235,be good quality where 's the
235,240,hotel be yes it is such a pretty
240,245,Garden area B what are you
250,255,yes we 're about to have dinner it 's so
255,260,lovely and nice I 'm loving it here so
275,280,dad and be had a good sleep
280,285,looked like Mama had to do most of it feels so good to be
285,290,outside and not cook I love it but we 're going back today we
290,295,might do something on the
295,300,way out
300,305,so pretty we 're in in Lake
305,310,Garden we were n't allowed to film for YouTube so I ca n't show it but if you
310,315,encour Z I definitely recommend it like really magical Lake Area it feels
315,320,like we 're in a movie set Marc
320,325,said and I love the
325,330,architecture okay we found a loophole we 're
330,335,sing at the cafe at the next to it
335,340,such a pretty Street I love it I
340,345,ca n't believe these houses look abandoned they 're next to this gorgeous Pond
345,350,should we Snoop inside it looks like an old flower shop
350,355,or something yes it is so pretty
355,360,a little creepy doll
365,370,such a pretty stop here all right that 's uh
370,375,every a wrap for karawa really really enjoyed our stay felt like
375,380,a nice break from the Heat and uh it 's just so peaceful to be in nature and I think uh all
380,385,the locals were so friendly too we 'll have to come back
395,400,we
400,405,'re at the yeah so exciting we
405,410,have doll H
410,415,meatballs you want mine okay I have a
415,420,spoon you want to just bite it up
420,425,M was
425,430,a good
430,435,y
435,440,y so
440,445,exciting 3 2
445,450,1 again
450,455,his first time in a s p
510,515,I love him but they going to carry him
515,520,throughout town and it 's the W of evil
520,525,yes it 's a snake B it 's a snake it
525,530,'s a snake
540,545,I just
545,550,finished writing a piece for the monthly shellberg newsletter if you guys do n't know we have a
550,555,newsletter September post should be up while you see this uh where we have more in - depth
555,560,about our travels kind of like the Vlogs but in the written form like a
560,565,Blog but also shared some delicious recipes there 's three of them I wrote a piece about becoming a dad
565,570,and what I 've learned from it so that 's interesting check it out it 's subscription and
570,575,thank you for supporting can we play
575,580,another game here what
580,585,do you
590,595,think today we 're going to
595,600,yanaka it 's quite far for us but it 's we 've never been and we wanted we we ' been wanting to
600,605,check it out for a long time it 's like a old
605,610,towy kind of feel I
620,625,think I feel like I have n't complained
625,630,about the heat that much is year considering how hot it 's been it 's too hot to to be outside
630,635,it 's too hot to do anything but here we are
640,645,anyway that 's
645,650,pretty there it is the
650,655,shopping street super interesting architecture
675,680,H which one are you hoping for
680,685,it was fake it was fake very
685,690,Aesthetics fall
690,695,wish I got a bird in there
695,700,that
700,705,was actually kind of
