start_time,end_time,text
0.02,2.34,"Oh God, Oh God, Oh God!"
3.14,4.7,Ahhhh! Ah-hah!
4.96,10.9,"Okay, okay, okay, I don't like this. I don't like this."
10.9,12.9,This is such a mistake.
14.38,16.1,Today we're gonna learn about corset history.
16.1,19.56,We're gonna get fitted with our own corsets and we're gonna spend the weekend in those corsets
22.78,24.84,Is it gonna be fun? of /corset/ is
33.52,35.102,What are corsets?
35.102,36.5,You go
36.64,37.54,Is it history?
37.6,40.74,When I think of corsets I think of the Victorian era
40.74,41.84,French ladies and really tall wigs.
41.84,42.66,Is it fashion?
42.66,44.2,I think of burlesque
44.2,45.48,Moulin Rouge
45.48,46.4,Is it body image?
46.4,47.82,"I think of pinups walls,"
47.82,48.75,Lingerie
48.75,50.74,I just want to be a fancy French lady today
53.02,56.0,"No, I would really rather not be doing this video."
56.0,58.38,Zach is in New York. He's visiting his family.
58.38,59.04,He's not waist training
59.1,61.38,He doesn't have much of a waist to train.
61.44,62.46,Eugene I think is going to...
63.039,69.298,"Like this style, but it's not gonna do much for him. Ned the same. He's got a little dough on top, but he's strong"
69.57,72.305,I provide no resistance. I'm a pillow man
72.305,73.439,Not like the play.
74.11,75.79,Very different.
75.79,77.999,We're gonna have a corset expert show us the ropes
78.759,80.759,Literally... because they're...
81.22,81.72,Ropes.
81.72,83.54,"Pretty good, right? Yeah."
84.46,87.14,I'm not Keith guys. I don't come up with this as fast as he does.
87.3,91.0,"My name is Katie and I own the lingerie company ""What Katie Did."""
91.24,93.34,Corsets have always been...
93.4,99.15,cyclical in fashion about every 25 years. I mean there were big in the 50s and over the last 10 years
99.15,102.4,They've gotten really big which I think is due to the internet.
102.4,104.18,So people wear corsets even today
104.44,107.9,I don't know how they exist now really other than nightclub dancers.
107.9,109.739,You really don't know who's gonna walk through the door
109.84,113.31,We cover vintage people we cover fetish people
113.31,118.439,We do a lot of film and studio work celebrities drag queens. It really covers everyone
118.439,123.089,So now we're gonna fit the guys individually and find out which style is perfect for them
123.089,129.54,"I know this is not a competition, but I think I'm gonna win this one because I'm the most malleable."
129.62,131.72,So I hear you're wanting to get fitted for a corset?
131.72,133.92,"Yes, I am the squishiest one"
133.92,138.34,I have to say it is more difficult for guys because get the best result you need- you need squish
138.65,140.898,"Yeah, you need body fat and then you squish in"
140.898,142.12,this is all gonna go away
142.73,145.45,It's gonna be gone if I tuck it into my pants...
150.14,151.34,Im gonna look like this! Im going to look hot as f*ck!
151.54,154.52,I want the sexiest corset you have.
154.52,156.06,First what we are gonna do is look at your measurements
156.06,158.34,"Okay, so we have a 33 inch natural waist"
158.34,159.92,When people first get into corsets
159.94,163.82,they think it's all about the waist. But you also have to take into account your ribcage and your hip
164.32,167.24,You have a pretty straight body.
167.32,168.62,I'm like a tree.
168.62,170.56,I'm officially a dad now. So I feel like I've
170.56,172.76,put on a couple dad pounds.
172.76,175.68,"Since you want to be sexy, we're gonna put you under Morticia"
175.72,182.36,This is a corset that you all make and all the corsets are named after horror and goth actresses and characters.
182.54,183.58,That's awesome
183.74,187.12,We're actually going to put you in a 22-inch corset
187.12,189.639,A corset can cover several types of garment
189.639,194.559,"But for today we're talking about the traditional steel boned corsets, which are really designed to cinch your waist"
195.98,198.24,I'm already regretting this
198.24,200.18,I already feel like I'm corseted and you haven't even pulled the laces
200.18,201.98,I haven't even done anything yet.
201.98,203.38,Do me a favor and turn to the mirror.
203.44,205.56,Stand shoulder width apart for me.
205.56,206.82,"Oh, I'm sweating right now."
206.82,208.32,And whatever you do. Do not grab that bar above you.
208.88,209.68,"Woah, what!"
211.56,212.52,Ohhhh
213.6,214.52,Oh-oh
214.98,216.1,"Woah, look at me!"
217.64,224.8,"So even though I got some Oh god. Oh, god"
229.58,232.54,Oh should this feel vaguely sexual
232.54,234.639,it feels great I feel nothing
234.92,236.3,Ohh-oh
236.3,238.56,"Okay, okay, okay"
238.56,239.56,Oh my god
239.56,243.44,I changed my mind. I feel something I felt food just moved inside of me
247.6,250.24,"Okay, we're good, we're good, we're good"
250.72,251.68,"No, No, I can't"
252.12,253.28,I can't go farther
253.72,255.14,I never thought- I can't breathe
255.78,258.56,Its making me cry a little bit. Am I crying?
259.74,265.64,Am I crying or sweating? Every time I laugh it just hurts me more.
266.1,268.78,I'll just keep my dad-bod if it's alright with you
269.2,271.58,You've got a nice waist going
271.76,272.88,I feel Beautiful
272.88,275.48,as soon as you put it on your confidence raises with everything.
275.62,276.12,Yeah!
276.12,280.68,I feel like a different person maybe because I'm getting a little lightheaded and my balance is off
280.68,282.299,What are we at? measure measure measure.
282.3,283.88,you've dropped about two and a half inches?
283.88,286.82,I wish that I was you know 14 inches
286.83,291.45,"Oh, there's so many myths about corsets when people used to write about corsets in Victorian times"
291.55,293.88,It was always about the teeny-tiny waist
294.13,300.089,But in reality most women wore corsets for support not for actually getting the tiny waist
300.09,304.5,I could see like if it wasn't so tight how this actually would feel good for your back.
304.5,306.149,"Oh, yeah moving is totally affected"
306.149,309.58,"Ex-cuse me, I need to get this off the ground"
309.7,311.48,Wow! I'm pretty elegant
313.26,315.16,That's now pushed you down to 30
315.84,317.82,"So, you went down an inch and a half."
317.82,321.58,"Oh Thank you, thank you. is this how its supposed to fit?"
321.68,322.18,It is
322.52,324.36,this is so easy for Keith
324.36,326.12,Maybe he's a stronger man?
326.12,328.68,"oh yeah, maybe, okay maybe hes a stronger man, okay?"
328.68,330.64,"What are you trying to say, bruh!?"
330.64,336.69,I've never felt faint in a corset and you really just have to use common sense if it begins to pinch if you do
336.69,342.269,Feel woozy then you just loosen it. In the Victorian times fainting thing that is for all the drama
345.91,347.91,Yes
348.16,355.46,I'm feeling faint please could you get me some water. I did not know what pain was until I came into this shop
356.2,358.56,You're actually pretty good for a 22 inch corset
358.94,359.8,Wow
359.8,361.48,Do you know how many women would love to fit in this corset
362.18,363.46,Do I look corseted?
365.68,367.68,Wow
368.8,370.12,Damn!
371.33,372.998,Look at that you're smaller than I am.
372.998,374.139,"I wasn't a very long torso, does that help?"
374.14,376.3,Long torsos are a little easier.
376.3,377.199,27 inches?
377.2,382.16,you can't say whether it's dangerous or not because you don't know unless you- you do it
382.16,387.76,and it's so difficult now because no doctor has really done any research into corsets
388.07,390.339,instead we're looking at the reports from
390.74,394.36,150 years ago and medicines moved on a lot and we know a lot more about the human body
394.36,396.36,It is weird how quickly I got used to it
398.2,402.411,"Hello there and welcome to your imagination, I'm your hotness."
402.82,405.06,I honestly think some guys like fantastic in corsets
405.86,407.94,I feel like I should be wearing heels.
407.94,408.9,You haven't tried to sitting yet.
409.49,411.2,fuck
411.2,413.837,Sitting is different. It's not as comfortable as standing
413.837,415.179,as you notice as you sit down
415.18,418.977,Your posture is perfectly straight. Your shoulders need to be more relaxed.
419.0,420.06,"Yeah, I can't breathe"
420.58,425.72,Easy! easy! easy! easy! easy! easy!!
426.12,427.36,Like a lady.
427.7,433.16,"Thank you all so much for letting us try on your high quality corsets, we are gonna spend the weekend in these fashion corsets"
433.16,434.58,we bought online.
434.76,438.06,"one of the things we say is you never put on a corset and wear it all day, first time."
438.08,441.36,because your body needs to get used to it.
441.48,443.24,Do we look like the Schuyler sisters?
443.62,446.1,But we're the Try-ler the Try-ler Brothers
446.26,447.88,let's go
447.89,448.97,Angelica
448.97,450.18,Eliza
450.84,452.38,and Peggy
452.38,453.3,I wonder how good they're gonna do
466.1,470.74,So we rolled into the bar looking fierce.
470.74,472.22,how do you guys think we look?
473.42,474.3,Hey. Heyyyy.
474.3,475.52,"Thats what we mean, yup!"
476.52,477.4,Suckin' it in
478.2,480.04,Thank you! Thank you so much
481.14,482.878,How was your weekend guys?
482.88,485.66,started great and then it was less great
486.68,491.5,I don't really like vlogging about myself pooping but I will say that pooping was
492.45,493.801,a crazy experience
493.801,495.272,wiping gets harder.
495.272,496.279,I bet it does
497.16,502.13,It was affected. I have to do some shoots this weekend. We're gonna drive around it's gonna be great
502.13,504.64,I gotta get this equipment in my car.
504.64,506.92,What's the hardest thing to do in a corset?
506.94,509.16,up-and-down movements are probably the hardest
509.84,512.8,"Yeah, It is definitely harder to lean over and pick stuff up"
512.8,518.5,I realize immediately that doing hard work makes you want to take in more oxygen can't take in any more right now
520.12,521.64,You get winded so fast.
521.7,528.5,This isn't even like near the tightness of yesterday. To start driving I have noticed that my posture is incredible
528.5,535.66,I have terrible posture. This is exciting for me. Let's go have some confusing conversations to explain this to my friends.
535.66,536.64,What am I wearing?
538.58,540.32,"A Corset, yes!"
540.9,545.06,"This looks ridiculous, I think I'm gonna put it under my clothes"
545.06,546.5,make sure you subscribe so you see cool stuff like this
546.5,549.77,I've hidden it under here and I think especially with a button-down
550.38,552.3,"Can't really tell I'm wearing a corset, right? No, you can't"
552.3,557.18,I tend to my corsets underneath but then a lot of people do wear them over a dress or a pencil skirt
557.31,559.335,Really? It's down to personal choice.
559.335,560.21,I just look trim
560.21,561.34,yeah you look great
561.34,562.12,It's gonna be great!
564.54,568.22,I'm so tired. I'm so tired from this corset and this work.
568.22,570.4,"Oh, that's a fun angle! Hey."
570.4,577.36,"I'm so hot in this corset. My stomach is just sweating like crazy in here. Oh, it's just agony"
577.37,580.37,I really really want to take it off just to take a break also
580.37,585.46,I had two pieces of chicken and I do feel full and normally I could eat a half a chicken or more
585.46,585.96,I'm driving home
586.41,592.68,"Becky brought me fried chicken for dinner, but she doesn't even know about the corset yet."
592.68,594.825,Did I tell you that? I'm wearing a corset this weekend.
594.825,596.58,Are you wearing it now? Ew!
600.0,604.0,"Ew, I didn't like the way that felt! I thought you weren't going to have it on!"
605.36,607.72,It's like I'm getting married
607.72,611.54,your spanx for the wedding which is like a modern-day corset
611.54,618.08,It's hurting me when I sit down. just because you're squishy doesn't mean you can be squished all the time
618.08,619.52,It's going to be great!
619.78,624.3,It makes me have weird lumpy boobs. this thing that girls complain about all the time
625.3,630.96,It is hiding something I'm insecure about but then elevating something else I'm insecure about
631.489,632.899,today I
632.899,635.589,Hate driving wearing this corset. I don't know
635.589,640.808,"Maybe it's because you truly do need to pace out training your body to wear this thing, but god,"
640.809,647.168,It's awful take it slowly don't believe anyone who says it is a quick fix. It is a lifestyle choice
647.2,652.76,"I've been wearing a corset this whole time. Oh, wow. I noticed your shirt fit a little bit better"
652.76,654.72,But I figured you were dieting
654.88,656.52,Mm-hmm. I'm lie-ting.
656.52,658.94,We have to help our friend Hannah move a bed today
658.97,660.16,How are you liking it?
660.16,660.97,I thought I would love it
660.97,666.08,And I like it less and less. The lady said that it was hard to burp because your stomach is compressed
666.12,669.12,"Drinking soda, Honestly, is pretty hard"
669.14,673.28,and I had some coca-cola and I'm wondering if I'll burp as soon as this is off me.
673.38,675.28,Look at how lacy that is! Woah!
680.36,681.64,There it was!
682.04,682.78,wow!
683.24,688.5,I like really wear it all the time and it kinda started driving me crazy. I think I've had it upside down
688.86,690.8,There's straps that to show you.
691.04,693.189,But I thought the straps connected to the thong
693.189,694.88,the straps are for a hanging on there
694.91,696.212,No wonder is giving you boobs
696.212,701.149,"when I was wearing around the house. I'm like, what's the point? It's not very comfy. It's not very functional"
701.67,704.119,"Mostly, this is the best I'm feeling so far"
705.48,709.74,I'm headed home in my corset gonna see what Ariel thinks.
709.74,711.22,What do you think of my corset?
715.92,719.12,The only way that this is comfortable for me is if I think of it like a costume
719.12,721.699,It's not really sinking in that people do this today
721.699,723.44,It's going to be a long weekend.
725.02,725.66,Thank you
726.12,729.06,I used to wear corsets all the time for ballet practice
729.54,732.74,"Why is it okay, you're good, it's me"
733.54,739.46,What's the hardest thing? the sucking it in and and then having to maintain that and dance-
739.46,742.08,you're peeing right on the bone
742.08,743.076,or move at all.
743.076,745.94,I can barely just walk. I hear the baby crying
749.919,751.679,He doesn't like the corset.
751.68,754.76,Of course Tummy time with baby burping the baby
