start_time,end_time,text
0.02,2.34,"Oh God, Oh God, Oh God!"
3.14,3.92,Ahhhh!
3.92,4.7,Ah-hah!
4.96,8.821,"Okay, okay, okay, I don't like this."
8.821,10.899999999999999,I don't like this.
10.9,12.9,This is such a mistake.
14.38,16.1,Today we're gonna learn about corset history.
16.1,23.889230769230764,We're gonna get fitted with our own corsets and we're gonna spend the weekend in those corsets Is it gonna be fun?
23.889230769230764,35.102,of /corset/ is What are corsets?
35.102,37.54,You go Is it history?
37.6,41.84,When I think of corsets I think of the Victorian era French ladies and really tall wigs.
41.84,42.66,Is it fashion?
42.66,46.4,I think of burlesque Moulin Rouge Is it body image?
46.4,50.74000000000001,"I think of pinups walls, Lingerie I just want to be a fancy French lady today"
53.02,55.99999999999998,"No, I would really rather not be doing this video."
56.0,56.99166666666667,Zach is in New York.
56.99166666666667,58.38,He's visiting his family.
58.38,61.38,He's not waist training He doesn't have much of a waist to train.
61.44,62.459999999999994,Eugene I think is going to...
63.039,65.91670114942531,"Like this style, but it's not gonna do much for him."
65.91670114942531,66.63612643678164,Ned the same.
66.63612643678164,71.22757575757575,"He's got a little dough on top, but he's strong I provide no resistance."
71.22757575757575,73.439,I'm a pillow man Not like the play.
74.11,75.79,Very different.
75.79,80.75899999999999,We're gonna have a corset expert show us the ropes Literally... because they're...
81.22,81.72,Ropes.
81.72,83.15684210526317,"Pretty good, right?"
83.15684210526317,83.54,Yeah.
84.46,85.28040816326529,I'm not Keith guys.
85.28040816326529,87.13999999999996,I don't come up with this as fast as he does.
87.3,90.99999999999999,"My name is Katie and I own the lingerie company ""What Katie Did."""
91.24,95.84375,Corsets have always been... cyclical in fashion about every 25 years.
95.84375,102.39999999999996,I mean there were big in the 50s and over the last 10 years They've gotten really big which I think is due to the internet.
102.4,107.9,So people wear corsets even today I don't know how they exist now really other than nightclub dancers.
107.9,116.82702857142856,You really don't know who's gonna walk through the door We cover vintage people we cover fetish people We do a lot of film and studio work celebrities drag queens.
116.82702857142856,118.439,It really covers everyone
118.439,123.08900000000001,So now we're gonna fit the guys individually and find out which style is perfect for them
123.089,129.53999999999996,"I know this is not a competition, but I think I'm gonna win this one because I'm the most malleable."
