start_time,end_time,words
0,20,"Oh God , Oh God , Oh God ! Ahhhh ! Ah - hah ! Okay , okay , okay , I do n't like this . I do n't like this . This is such a mistake . Today we 're gon na learn about corset history . We 're gon na get fitted with our own corsets and we 're gon na spend the weekend in those corsets"
20,40,Is it gon na be fun ? of /corset/ is What are corsets ? You go Is it history ? When I think of corsets I think of the
40,60,"Victorian era French ladies and really tall wigs . Is it fashion ? I think of burlesque Moulin Rouge Is it body image ? I think of pinups walls , Lingerie I just want to be a fancy French lady today No , I would really rather not be doing this video . Zach is in New York . He 's visiting his family . He 's not waist training He does n't"
60,80,"have much of a waist to train . Eugene I think is going to ... Like this style , but it 's not gon na do much for him . Ned the same . He 's got a little dough on top , but he 's strong I provide no resistance . I 'm a pillow man Not like the play . Very different . We 're gon na have a corset expert show us the ropes Literally ..."
80,100,"because they 're ... Ropes . Pretty good , right ? Yeah . I 'm not Keith guys . I do n't come up with this as fast as he does . My name is Katie and I own the lingerie company "" What Katie Did . "" Corsets have always been ... cyclical in fashion about every 25 years . I mean there were big in the 50s and over the last 10 years They 've gotten"
100,120,really big which I think is due to the internet . So people wear corsets even today I do n't know how they exist now really other than nightclub dancers . You really do n't know who 's gon na walk through the door We cover vintage people we cover fetish people We do a lot of film and studio work celebrities drag queens . It really covers everyone So now we 're gon na fit the
120,140,"guys individually and find out which style is perfect for them I know this is not a competition , but I think I 'm gon na win this one because I 'm the most malleable . So I hear you 're wanting to get fitted for a corset ? Yes , I am the squishiest one I have to say it is more difficult for guys because get the best result you need- you need squish Yeah , you need body fat and"
140,160,"then you squish in this is all gon na go away It 's gon na be gone if I tuck it into my pants ... I m gon na look like this ! I m going to look hot as f*ck ! I want the sexiest corset you have . First what we are gon na do is look at your measurements Okay , so we have a 33 inch natural waist When people first get into corsets"
160,180,"they think it 's all about the waist . But you also have to take into account your ribcage and your hip You have a pretty straight body . I 'm like a tree . I 'm officially a dad now . So I feel like I 've put on a couple dad pounds . Since you want to be sexy , we 're gon na put you under Morticia This is a corset that you all make and all the corsets are named after"
180,200,"horror and goth actresses and characters . That 's awesome We 're actually going to put you in a 22 - inch corset A corset can cover several types of garment But for today we 're talking about the traditional steel boned corsets , which are really designed to cinch your waist I 'm already regretting this I already feel like I 'm corseted and you have n't even pulled"
200,220,"the laces I have n't even done anything yet . Do me a favor and turn to the mirror . Stand shoulder width apart for me . Oh , I 'm sweating right now . And whatever you do . Do not grab that bar above you . Woah , what ! Ohhhh Oh - oh Woah , look at me ! So even"
220,240,"though I got some Oh god . Oh , god Oh should this feel vaguely sexual it feels great I feel nothing Ohh - oh Okay , okay , okay Oh my god I"
240,260,"changed my mind . I feel something I felt food just moved inside of me Okay , we 're good , we 're good , we 're good No , No , I ca n't I ca n't go farther I never thought- I ca n't breathe Its making me cry a little bit . Am I crying ? Am"
260,280,I crying or sweating ? Every time I laugh it just hurts me more . I 'll just keep my dad - bod if it 's alright with you You 've got a nice waist going I feel Beautiful as soon as you put it on your confidence raises with everything . Yeah ! I feel like a different person maybe because I 'm getting a little lightheaded and
280,300,"my balance is off What are we at ? measure measure measure . you 've dropped about two and a half inches ? I wish that I was you know 14 inches Oh , there 's so many myths about corsets when people used to write about corsets in Victorian times It was always about the teeny - tiny waist But in reality most women wore corsets for support not for actually getting the tiny"
300,320,"waist I could see like if it was n't so tight how this actually would feel good for your back . Oh , yeah moving is totally affected Ex - cuse me , I need to get this off the ground Wow ! I 'm pretty elegant That 's now pushed you down to 30 So , you went down an inch and a half . Oh Thank you , thank you . is this"
320,340,"how its supposed to fit ? It is this is so easy for Keith Maybe he 's a stronger man ? oh yeah , maybe , okay maybe he s a stronger man , okay ? What are you trying to say , bruh ! ? I 've never felt faint in a corset and you really just have to use common sense if it begins to pinch if you do Feel woozy then you just loosen it . In the Victorian times"
340,360,fainting thing that is for all the drama Yes I 'm feeling faint please could you get me some water . I did not know what pain was until I came into this shop You 're actually pretty good for a 22 inch corset Wow Do you
360,380,"know how many women would love to fit in this corset Do I look corseted ? Wow Damn ! Look at that you 're smaller than I am . I was n't a very long torso , does that help ? Long torsos are a little easier . 27 inches ? you ca n't say whether it 's dangerous or not"
380,400,because you do n't know unless you- you do it and it 's so difficult now because no doctor has really done any research into corsets instead we 're looking at the reports from 150 years ago and medicines moved on a lot and we know a lot more about the human body It is weird how quickly I got used to it Hello there and welcome
400,420,"to your imagination , I 'm your hotness . I honestly think some guys like fantastic in corsets I feel like I should be wearing heels . You have n't tried to sitting yet . fuck Sitting is different . It 's not as comfortable as standing as you notice as you sit down Your posture is perfectly straight . Your shoulders need to be more relaxed . Yeah , I ca n't"
420,440,"breathe Easy ! easy ! easy ! easy ! easy ! easy ! ! Like a lady . Thank you all so much for letting us try on your high quality corsets , we are gon na spend the weekend in these fashion corsets we bought online . one of the things we say is you never put on a corset and wear it all day , first time . because your body"
440,460,needs to get used to it . Do we look like the Schuyler sisters ? But we 're the Try - ler the Try - ler Brothers let 's go Angelica Eliza and Peggy I wonder how good they 're gon na do
460,480,"So we rolled into the bar looking fierce . how do you guys think we look ? Hey . Heyyyy . That s what we mean , yup ! Suckin ' it in Thank you ! Thank you so"
480,500,much How was your weekend guys ? started great and then it was less great I do n't really like vlogging about myself pooping but I will say that pooping was a crazy experience wiping gets harder . I bet it does It was affected . I have to do some shoots this weekend . We
