start_time,stop_time,avg_intensity
0,5,20.0
5,10,60.2
10,15,39.6
15,20,37.5
20,25,51.8
25,30,48.35
30,35,30.4
35,40,26.7
40,45,24.2
45,50,30.7
50,55,40.0
55,60,52.6
60,65,68.0
65,70,73.2
70,75,62.5
75,80,43.8
80,85,31.95
85,90,24.3
90,95,17.15
95,100,15.8
100,105,19.4
105,110,26.1
110,115,32.6
115,120,33.3
120,125,24.4
125,130,14.5
130,135,13.35
135,140,16.8
140,145,18.799999999999997
145,150,21.3
150,155,21.85
155,160,26.1
160,165,31.5
165,170,45.1
170,175,55.2
175,180,58.65
180,185,62.7
185,190,58.0
190,195,70.0
195,200,94.9
200,205,102.55
205,210,103.8
210,215,79.5
215,220,26.9
220,225,14.899999999999999
225,230,49.5
230,235,47.7
235,240,31.7
240,245,10.0
245,250,6.25
250,255,10.0
255,260,10.0
260,265,10.0
265,270,9.95
270,275,10.0
275,280,9.75
280,285,10.7
285,290,14.2
290,295,16.8
295,300,15.850000000000001
300,305,13.3
305,310,11.65
310,315,11.6
315,320,12.899999999999999
320,325,16.3
325,330,20.55
330,335,25.1
335,340,27.299999999999997
340,345,31.4
345,350,40.5
350,355,49.9
355,360,55.1
360,365,59.75
365,370,52.7
370,375,29.799999999999997
375,380,19.0
380,385,20.95
385,390,22.2
390,395,26.1
395,400,32.65
400,405,45.2
405,410,42.05
410,415,25.3
415,420,17.65
420,425,14.2
425,430,17.5
430,435,21.8
435,440,36.6
440,445,64.9
445,450,86.7
450,455,91.15
455,460,73.6
460,465,41.45
465,470,13.4
470,475,12.1
475,480,20.7
480,485,16.05
485,490,10.0
490,495,8.95
495,500,10.0
500,505,7.25
505,510,10.0
510,515,26.4
515,520,37.3
520,525,26.4
525,530,10.0
530,535,7.25
535,540,10.0
540,545,8.9
545,550,10.0
550,555,12.2
555,560,21.1
560,565,21.3
565,570,11.95
570,575,8.6
575,580,7.25
580,585,15.5
585,590,29.5
590,595,43.0
595,600,58.7
600,605,53.25
605,610,29.0
610,615,15.75
615,620,12.9
620,625,10.8
625,630,9.5
630,635,10.0
635,640,9.9
640,645,10.0
645,650,9.65
650,655,10.0
655,660,6.05
660,665,13.6
665,670,44.25
670,675,71.0
675,680,73.45
680,685,55.3
685,690,31.1
690,695,10.0
695,700,3.6
700,705,10.0
705,710,19.7
710,715,28.3
715,720,28.05
720,725,22.8
725,730,18.700000000000003
730,735,15.8
735,740,13.6
740,745,16.3
745,750,19.9
750,755,31.9
755,760,37.9
760,765,38.5
765,770,31.4
770,775,12.6
775,780,4.8
780,785,10.0
785,790,10.0
790,795,9.4
795,800,10.3
800,805,10.9
805,810,14.05
810,815,17.7
815,820,21.85
820,825,22.6
825,830,26.7
830,835,34.05
835,840,40.8
840,845,44.4
845,850,43.8
850,855,40.7
855,860,37.1
860,865,37.5
865,870,38.0
870,875,35.75
875,880,32.3
880,885,30.3
885,890,27.8
890,895,22.0
895,900,20.0
900,905,28.7
905,910,34.9
910,915,26.65
915,920,14.6
920,925,10.25
925,930,10.0
930,935,9.55
935,940,10.0
940,945,10.0
945,950,10.0
950,955,10.0
955,960,8.1
960,965,13.8
965,970,26.3
970,975,34.3
975,980,37.7
980,985,36.25
985,990,19.9
990,995,26.200000000000003
995,1000,43.2
1000,1005,64.95
1005,1010,99.6
1010,1015,95.05
1015,1020,53.3
1020,1025,37.1
1025,1030,27.2
