start_time,stop_time,avg_intensity
0,5,4.8
5,10,46.2
10,15,48.2
15,20,49.2
20,25,50.2
25,30,15.3
30,35,12.65
35,40,10.0
40,45,7.35
45,50,4.7
50,55,16.9
55,60,19.2
60,65,21.5
65,70,23.85
70,75,26.2
75,80,33.0
80,85,33.15
85,90,33.3
90,95,33.4
95,100,33.5
100,105,33.6
105,110,26.1
110,115,24.700000000000003
115,120,23.3
120,125,21.85
125,130,20.4
130,135,21.4
135,140,20.299999999999997
140,145,19.2
145,150,18.049999999999997
150,155,16.9
155,160,13.9
160,165,12.95
165,170,12.0
170,175,11.1
175,180,10.2
180,185,10.4
185,190,10.2
190,195,10.0
195,200,9.8
200,205,9.6
205,210,6.1
210,215,8.05
215,220,10.0
220,225,11.95
225,230,13.9
230,235,27.0
235,240,28.15
240,245,29.3
245,250,30.450000000000003
250,255,31.6
255,260,25.4
260,265,23.45
265,270,21.5
270,275,19.55
275,280,17.6
280,285,14.950000000000001
285,290,12.3
290,295,11.15
295,300,10.0
300,305,8.85
305,310,7.7
310,315,10.0
315,320,10.0
320,325,10.0
325,330,10.0
330,335,10.0
335,340,9.8
340,345,9.9
345,350,10.0
350,355,10.1
355,360,10.2
360,365,9.8
365,370,10.5
370,375,11.2
375,380,11.85
380,385,12.5
385,390,12.7
390,395,14.799999999999999
395,400,16.9
400,405,19.049999999999997
405,410,21.2
410,415,33.4
415,420,32.849999999999994
420,425,32.3
425,430,31.75
430,435,31.2
435,440,15.5
440,445,13.5
445,450,11.5
450,455,9.5
455,460,7.5
460,465,12.4
465,470,12.366666666666667
470,475,12.333333333333334
475,480,12.3
480,485,12.3
485,490,12.3
490,495,11.9
495,500,11.65
500,505,11.4
505,510,11.15
510,515,10.9
515,520,10.3
520,525,10.15
525,530,10.0
530,535,9.85
535,540,9.7
540,545,7.8
545,550,8.9
550,555,10.0
555,560,11.1
560,565,12.2
565,570,2.9
570,575,11.9
575,580,20.9
580,585,29.9
585,590,38.9
590,595,94.1
595,600,97.05
600,605,100.0
605,610,102.95
610,615,105.9
615,620,65.7
620,625,57.95
625,630,50.2
630,635,42.45
635,640,34.7
640,645,28.4
645,650,25.5
650,655,22.6
655,660,20.666666666666668
660,665,18.733333333333334
665,670,16.8
670,675,22.7
675,680,21.9
680,685,21.1
685,690,20.25
690,695,19.4
695,700,16.6
700,705,15.450000000000001
705,710,14.3
710,715,13.2
715,720,12.1
720,725,10.7
725,730,10.35
730,735,10.0
735,740,9.65
740,745,9.3
745,750,8.6
750,755,9.75
755,760,10.9
760,765,12.0
765,770,13.1
770,775,21.6
775,780,21.5
780,785,21.4
785,790,21.299999999999997
790,795,21.2
795,800,12.3
800,805,11.15
805,810,10.0
810,815,8.85
815,820,7.7
820,825,10.0
825,830,10.0
830,835,10.0
835,840,10.0
840,845,10.0
845,850,10.0
850,855,10.0
855,860,10.0
860,865,10.0
865,870,10.0
870,875,10.0
875,880,9.9
880,885,9.95
885,890,10.0
890,895,10.05
895,900,10.1
900,905,10.2
905,910,10.35
910,915,10.5
915,920,10.65
920,925,10.8
925,930,9.8
930,935,10.7
935,940,11.6
940,945,12.55
945,950,13.5
950,955,16.9
955,960,18.35
960,965,19.8
965,970,21.25
970,975,22.7
975,980,24.1
980,985,25.1
985,990,26.1
990,995,27.1
995,1000,28.1
1000,1005,30.6
1005,1010,30.15
1010,1015,29.7
1015,1020,29.299999999999997
1020,1025,28.9
1025,1030,23.2
1030,1035,22.766666666666666
1035,1040,22.333333333333332
1040,1045,21.9
1045,1050,21.2
1050,1055,20.5
1055,1060,25.3
1060,1065,24.1
1065,1070,22.9
1070,1075,21.7
1075,1080,20.5
1080,1085,12.6
1085,1090,11.3
1090,1095,10.0
1095,1100,8.7
1100,1105,7.4
1105,1110,9.6
1110,1115,9.8
1115,1120,10.0
1120,1125,10.2
1125,1130,10.4
1130,1135,12.1
1135,1140,12.1
1140,1145,12.1
1145,1150,12.1
1150,1155,12.1
1155,1160,10.2
1160,1165,10.1
1165,1170,10.0
1170,1175,9.9
1175,1180,9.8
1180,1185,11.3
1185,1190,11.3
1190,1195,11.3
1195,1200,11.3
1200,1205,11.3
1205,1210,10.3
1210,1215,10.15
1215,1220,10.0
1220,1225,9.9
1225,1230,9.799999999999999
1230,1235,9.7
1235,1240,9.4
1240,1245,9.7
1245,1250,10.0
1250,1255,10.3
1255,1260,10.6
1260,1265,12.0
1265,1270,12.45
1270,1275,12.9
1275,1280,13.350000000000001
1280,1285,13.8
1285,1290,11.2
1290,1295,12.8
1295,1300,14.4
1300,1305,16.05
1305,1310,17.7
1310,1315,27.8
1315,1320,28.5
1320,1325,29.2
1325,1330,29.95
1330,1335,30.7
1335,1340,25.6
1340,1345,23.700000000000003
1345,1350,21.8
1350,1355,19.9
1355,1360,18.0
1360,1365,12.4
1365,1370,11.2
1370,1375,10.0
1375,1380,8.8
1380,1385,7.6
1385,1390,10.0
1390,1395,10.0
1395,1400,10.0
1400,1405,10.0
1405,1410,10.0
1410,1415,10.0
1415,1420,10.0
1420,1425,10.0
1425,1430,10.0
1430,1435,10.0
1435,1440,10.0
1440,1445,10.0
1445,1450,10.0
1450,1455,10.0
1455,1460,10.0
1460,1465,10.0
1465,1470,10.0
1470,1475,10.0
1475,1480,10.0
1480,1485,10.0
1485,1490,10.0
1490,1495,10.0
1495,1500,10.0
1500,1505,10.0
1505,1510,10.0
1510,1515,10.0
1515,1520,10.0
1520,1525,10.0
1525,1530,10.0
1530,1535,10.0
1535,1540,10.0
1540,1545,10.0
1545,1550,10.0
1550,1555,10.0
1555,1560,10.0
1560,1565,10.0
1565,1570,8.8
1570,1575,9.4
1575,1580,10.0
1580,1585,10.6
1585,1590,11.2
1590,1595,15.9
1595,1600,15.9
1600,1605,15.9
1605,1610,15.9
1610,1615,15.9
1615,1620,15.9
1620,1625,11.2
1625,1630,10.6
1630,1635,10.0
1635,1640,9.4
1640,1645,8.8
1645,1650,10.0
1650,1655,10.0
1655,1660,10.0
1660,1665,10.0
1665,1670,10.0
1670,1675,10.0
1675,1680,10.0
1680,1685,10.0
1685,1690,10.0
1690,1695,10.0
1695,1700,10.0
1700,1705,10.0
1705,1710,10.0
1710,1715,10.0
1715,1720,10.0
1720,1725,10.0
1725,1730,10.0
1730,1735,10.0
1735,1740,10.0
1740,1745,10.0
1745,1750,8.8
1750,1755,9.4
1755,1760,10.0
1760,1765,10.6
1765,1770,11.2
1770,1775,16.0
1775,1780,16.0
1780,1785,16.0
1785,1790,16.0
1790,1795,16.0
1795,1800,16.0
1800,1805,11.2
1805,1810,10.6
1810,1815,10.0
1815,1820,9.4
1820,1825,8.8
1825,1830,10.0
1830,1835,10.0
1835,1840,10.0
1840,1845,10.0
1845,1850,10.0
1850,1855,6.8
1855,1860,8.4
1860,1865,10.0
1865,1870,11.6
1870,1875,13.2
1875,1880,24.4
1880,1885,25.15
1885,1890,25.9
1890,1895,26.65
1895,1900,27.4
1900,1905,17.5
1905,1910,17.6
1910,1915,17.7
1915,1920,17.75
1920,1925,17.8
1925,1930,27.9
1930,1935,27.2
1935,1940,26.5
1940,1945,25.8
1945,1950,25.1
1950,1955,9.2
1955,1960,9.95
1960,1965,10.7
1965,1970,11.5
1970,1975,12.3
1975,1980,28.2
1980,1985,30.2
1985,1990,32.2
1990,1995,34.2
1995,2000,37.2
2000,2005,40.2
2005,2010,40.2
2010,2015,40.5
2015,2020,40.8
2020,2025,41.099999999999994
2025,2030,41.4
2030,2035,35.4
2035,2040,36.3
2040,2045,37.2
2045,2050,38.1
2050,2055,39.0
2055,2060,42.5
2060,2065,46.15
2065,2070,49.8
2070,2075,53.4
2075,2080,57.0
2080,2085,80.2
2085,2090,76.85
2090,2095,73.5
2095,2100,70.2
2100,2105,66.9
2105,2110,28.4
2110,2115,22.4
2115,2120,16.4
2120,2125,10.399999999999999
2125,2130,4.4
2130,2135,14.9
2135,2140,14.25
2140,2145,13.6
2145,2150,12.95
2150,2155,12.3
2155,2160,10.7
2160,2165,10.466666666666667
2165,2170,10.233333333333333
2170,2175,10.0
2175,2180,9.65
2180,2185,9.3
2185,2190,10.0
2190,2195,10.0
2195,2200,10.0
2200,2205,10.0
2205,2210,10.0
2210,2215,10.0
2215,2220,10.0
2220,2225,10.0
2225,2230,10.0
2230,2235,10.0
2235,2240,10.0
2240,2245,10.0
2245,2250,10.0
2250,2255,10.0
2255,2260,10.0
2260,2265,9.8
2265,2270,9.9
