timestamp_sec,intensity
0.000,0.000
2.568,9.600
5.136,46.200
12.840,48.200
20.545,50.200
28.249,15.300
38.521,10.000
48.793,4.700
53.930,16.900
64.202,21.500
74.474,26.200
79.610,33.000
89.883,33.300
100.155,33.600
105.291,26.100
115.563,23.300
125.836,20.400
130.972,21.400
141.244,19.200
151.516,16.900
156.652,13.900
166.925,12.000
177.197,10.200
182.333,10.400
192.605,10.000
202.878,9.600
208.014,6.100
218.286,10.000
228.558,13.900
233.695,27.000
243.967,29.300
254.239,31.600
259.375,25.400
269.648,21.500
279.920,17.600
285.056,12.300
295.328,10.000
305.601,7.700
310.737,10.000
321.009,10.000
331.281,10.000
336.418,9.800
346.690,10.000
356.962,10.200
362.098,9.800
372.371,11.200
382.643,12.500
387.779,12.700
398.051,16.900
408.324,21.200
413.460,33.400
423.732,32.300
434.004,31.200
439.140,15.500
449.413,11.500
459.685,7.500
464.821,12.400
475.093,12.300
485.366,12.300
490.502,11.900
500.774,11.400
511.047,10.900
516.183,10.300
526.455,10.000
536.727,9.700
541.863,7.800
552.136,10.000
562.408,12.200
567.544,2.900
577.816,20.900
588.089,38.900
593.225,94.100
603.497,100.000
613.769,105.900
618.906,65.700
629.178,50.200
639.450,34.700
644.586,28.400
654.859,22.600
665.131,16.800
670.267,22.700
680.539,21.100
690.812,19.400
695.948,16.600
706.220,14.300
716.492,12.100
721.628,10.700
731.901,10.000
742.173,9.300
747.309,8.600
757.582,10.900
767.854,13.100
772.990,21.600
783.262,21.400
793.535,21.200
798.671,12.300
808.943,10.000
819.215,7.700
824.351,10.000
834.624,10.000
844.896,10.000
850.032,10.000
860.304,10.000
870.577,10.000
875.713,9.900
885.985,10.000
896.257,10.100
901.394,10.200
911.666,10.500
921.938,10.800
927.074,9.800
937.347,11.600
947.619,13.500
952.755,16.900
963.027,19.800
973.300,22.700
978.436,24.100
988.708,26.100
998.980,28.100
1004.117,30.600
1014.389,29.700
1024.661,28.900
1029.797,23.200
1040.070,21.900
1050.342,20.500
1055.478,25.300
1065.750,22.900
1076.023,20.500
1081.159,12.600
1091.431,10.000
1101.703,7.400
1106.839,9.600
1117.112,10.000
1127.384,10.400
1132.520,12.100
1142.792,12.100
1153.065,12.100
1158.201,10.200
1168.473,10.000
1178.745,9.800
1183.882,11.300
1194.154,11.300
1204.426,11.300
1209.562,10.300
1219.835,10.000
1230.107,9.700
1235.243,9.400
1245.515,10.000
1255.788,10.600
1260.924,12.000
1271.196,12.900
1281.468,13.800
1286.605,11.200
1296.877,14.400
1307.149,17.700
1312.285,27.800
1322.558,29.200
1332.830,30.700
1337.966,25.600
1348.238,21.800
1358.511,18.000
1363.647,12.400
1373.919,10.000
1384.191,7.600
1389.327,10.000
1399.600,10.000
1409.872,10.000
1415.008,10.000
1425.280,10.000
1435.553,10.000
1440.689,10.000
1450.961,10.000
1461.233,10.000
1466.370,10.000
1476.642,10.000
1486.914,10.000
1492.050,10.000
1502.323,10.000
1512.595,10.000
1517.731,10.000
1528.003,10.000
1538.276,10.000
1543.412,10.000
1553.684,10.000
1563.956,10.000
1569.093,8.800
1579.365,10.000
1589.637,11.200
1594.773,15.900
1605.046,15.900
1615.318,15.900
1620.454,11.200
1630.726,10.000
1640.999,8.800
1646.135,10.000
1656.407,10.000
1666.679,10.000
1671.815,10.000
1682.088,10.000
1692.360,10.000
1697.496,10.000
1707.768,10.000
1718.041,10.000
1723.177,10.000
1733.449,10.000
1743.722,10.000
1748.858,8.800
1759.130,10.000
1769.402,11.200
1774.538,16.000
1784.811,16.000
1795.083,16.000
1800.219,11.200
1810.491,10.000
1820.764,8.800
1825.900,10.000
1836.172,10.000
1846.444,10.000
1851.581,6.800
1861.853,10.000
1872.125,13.200
1877.261,24.400
1887.534,25.900
1897.806,27.400
1902.942,17.500
1913.214,17.700
1923.487,17.800
1928.623,27.900
1938.895,26.500
1949.167,25.100
1954.303,9.200
1964.576,10.700
1974.848,12.300
1979.984,28.200
1990.257,34.200
2000.529,40.200
2005.665,40.200
2015.937,40.800
2026.210,41.400
2031.346,35.400
2041.618,37.200
2051.890,39.000
2057.026,42.500
2067.299,49.800
2077.571,57.000
2082.707,80.200
2092.979,73.500
2103.252,66.900
2108.388,28.400
2118.660,16.400
2128.932,4.400
2134.069,14.900
2144.341,13.600
2154.613,12.300
2159.749,10.700
2170.022,10.000
2180.294,9.300
2185.430,10.000
2195.702,10.000
2205.975,10.000
2211.111,10.000
2221.383,10.000
2231.655,10.000
2236.792,10.000
2247.064,10.000
2257.336,10.000
2262.472,9.800
2272.745,10.000
2283.017,10.200
2288.153,9.100
2298.425,10.800
2308.698,12.500
2313.834,18.900
2324.106,18.700
2334.378,18.500
2339.514,11.700
2349.787,10.000
2360.059,8.300
2365.195,10.000
2375.467,10.000
2385.740,10.000
2390.876,7.600
2401.148,10.000
2411.420,12.400
2416.557,17.800
2426.829,22.000
2437.101,26.100
2442.237,31.900
2452.510,30.900
2462.782,29.900
2467.918,19.400
2478.190,16.900
2488.463,14.300
2493.599,19.300
2503.871,18.100
2514.143,17.000
2519.280,11.600
2529.552,11.100
2539.824,10.500
2547.528,14.500
2555.233,15.300
2562.937,16.200
2565.505,18.400
2568.073,15.300
2570.641,12.300
2568.073,3.100
2568.073,0.000
