start_time,end_time,text
0.0,1.001,This is concerning.
2.46,3.378,Oh.
3.378,4.212,I heard a-
5.046,5.88,Okay.
6.881,8.216,"Welcome, chefs."
8.216,10.427,You are trapped in this room.
10.427,15.39,"If you want to leave, you must bake a dish of my choosing."
15.39,18.977,And I will do everything in my power to stop you.
18.977,20.437,I burned my hand on the...
21.896,23.356,What the ?
23.356,24.441,What was that?
24.441,25.4,Oh no!
25.4,26.484,Oh! I hate this.
26.484,27.444,What's your name?
30.03,32.115,Text me the best pic of your buns.
32.115,33.324,Are we outside?
33.324,35.035,Am I going into a freezer?
35.035,36.244,Are you about to strap...
36.244,37.203,What is...
37.203,39.539,Are you strapping me in?
39.539,40.498,Oh no.
52.052,56.306,It's now time to escape the kitchen.
61.853,63.48,Hello?
63.48,65.94,Oh.
65.94,68.902,"Oh, we find ourselves back."
68.902,70.32,Okay.
70.32,71.78,A kitchen.
71.78,73.865,Single box there.
73.865,74.949,It's maybe...
75.825,77.16,A couple of cameras.
77.16,79.12,Classic kitchen stuff.
79.12,81.706,It feels like maybe the apron is the place to start.
82.665,84.0,This is good.
84.0,84.834,Okay.
85.794,86.628,Oh !
86.628,88.546,What the hell was that?
91.299,93.134,Ha ha! Okay!
93.134,94.969,If we can just take a second.
94.969,96.304,Stunning.
100.308,102.977,Time to play cat.
108.399,110.902,Knock 10 items onto the floor.
114.322,115.281,Okay.
115.281,116.116,Meow.
116.991,117.826,Hi.
118.701,121.037,Pay attention to me.
121.037,121.871,Two.
121.871,122.705,"Oh, is that not enough?"
122.705,123.54,Here we go.
123.54,124.374,Meow.
128.211,129.129,Meow. Meow.
133.049,134.134,"Six, seven."
134.134,135.718,Meow.
135.718,136.97,Meow.
144.06,144.936,Floor is lava.
144.936,146.98,You know the rules.
146.98,149.816,Luckily you placed your stepping stones.
149.816,150.9,No!
150.9,151.734,On the floor.
151.734,155.446,Oh boy.
155.446,156.281,Oh no!
157.157,158.158,Ah shit!
158.158,160.535,I should throw the paper on the floor.
160.535,161.619,Whoops.
161.619,163.204,Okay. This is good.
164.205,165.415,Here we go.
165.415,166.374,"Oh, this is fun."
166.374,168.835,"Okay, so we'll sort of skate, skate, skate."
168.835,171.171,"Well, this is good 'cause one of my items"
171.171,172.881,is a paper towel.
175.466,177.177,"Oh, I'm ing smart."
177.177,179.387,So that's sorta...
179.387,180.471,Hello.
180.471,181.973,How are you doing?
183.183,184.017,I'm Vic.
184.976,186.686,"Okay, it's going this way."
186.686,189.147,Am I looking for a clue?
189.147,192.483,Let me see what we haven't used yet.
193.818,195.028,Oh .
195.028,198.865,"I'm not Jared, I know what that sound means."
202.952,204.662,A beautiful tomato.
204.662,205.496,This is concerning.
206.706,208.166,"Oh, I heard a-"
209.125,209.959,Okay.
211.211,212.045,Oh no.
212.879,213.713,Okay. And I hear you.
213.713,214.547,Oh.
215.381,216.216,Is this it?
216.216,217.425,This is card stock.
217.425,218.509,There is nothing on...
218.509,219.344,Nope.
219.344,220.803,And of course not.
222.513,223.598,Ding.
223.598,224.432,Is that this?
225.516,226.351,Up there.
226.351,227.435,Where is that coming from?
227.435,228.519,"I feel like I'm in ""Grey Gardens""."
228.519,229.604,What is happening?
229.604,231.439,Okay. I am hearing dinging.
232.523,233.358,Ding.
233.358,234.943,Some food storage containers.
234.943,235.777,Is it up there?
235.777,236.611,Oh!
236.611,237.445,Oh no! Oh no!
238.279,239.113,No!
239.113,239.948,Okay. Ah!
239.948,240.782,Ha ha! Okay.
240.782,242.867,So we got this.
242.867,244.285,Perfect. Perfect.
247.372,248.831,Printer.
248.831,250.166,Okay. Be cool.
253.962,255.463,"No, no, no, no."
255.463,257.173,Egg. We got the egg.
257.173,258.633,The egg is safe.
258.633,259.467,Printer.
260.343,261.177,"Oh, okay."
261.177,262.512,I burned my hand on the...
264.097,265.181,What the ?
265.181,266.391,What was that?
266.391,267.85,"Step one, season."
268.768,269.602,Season!
269.602,270.436,Okay.
273.94,275.733,"Step one, season. Canola oil."
275.733,276.567,"Okay, great."
276.567,277.902,So I need some sort of a bowl.
283.574,284.409,Pickles!
285.91,287.12,I need to put you in a...
287.12,288.329,"No, no."
288.329,289.163,Oh my god.
289.163,290.248,Oh...
290.248,292.709,I cheated. I'm sorry.
292.709,293.793,You're in jail.
293.793,295.753,Oh shit. Okay.
295.753,296.587,Yep.
296.587,297.922,And here we go.
297.922,299.382,Season. Season.
299.382,300.216,Okay.
300.216,301.134,Bowl. Okay.
302.552,303.386,Cleaning.
304.887,306.806,Are these up for grabs?
310.685,311.519,Here we go.
311.519,312.353,"Oh, you know what?"
312.353,314.063,"If we're getting fancy, let's get fancy."
314.897,315.732,Okay.
318.985,320.695,Open sesame.
320.695,321.904,Who's sesame?
321.904,323.99,Are you sesame?
323.99,324.991,Open sesame.
327.702,328.87,Open sesame.
330.413,331.414,Open sesame.
332.373,333.583,Open sesame?
333.583,334.917,Ah!
334.917,335.752,Oh!
335.752,336.961,We're making hamburgers.
336.961,341.424,"We are making hamburgers, I'm 95% sure."
344.01,345.678,I found a thing.
345.678,347.889,A little sesame bun.
350.975,352.31,A key.
352.31,353.561,"Oh, gorgeous!"
356.522,358.524,"Oh, come on. Here we go!"
360.234,361.069,No.
362.653,363.488,No!
364.614,366.699,Let's fricking party.
366.699,369.41,Now it's all making sense.
369.41,371.621,"Okay, so eggs go over here."
371.621,373.081,Meat goes over here.
373.081,374.791,"So step one, season."
374.791,378.378,I have to imagine that's seasoning my meat.
378.378,379.837,Flop.
379.837,382.131,Just need a little...
382.131,383.591,Okay.
383.591,386.552,We are gonna season this up.
386.552,387.387,Okay.
388.262,389.222,This is nice.
389.222,390.056,Look at this.
390.056,391.891,"Okay, so you really wanna get the seasoning."
392.725,394.31,This is gonna move.
394.31,395.728,Of course. Ha ha!
397.897,398.731,.
398.731,399.816,Okay.
399.816,401.15,Okay.
401.15,402.235,Something fall?
402.235,404.07,"Two, take four ounces of beef."
404.07,407.156,Gently gather into an orb that is two inches in height.
407.156,408.866,"Okay, I need to get the pepper onto the meat"
408.866,410.785,without using my hands.
417.834,418.751,This is smart.
418.751,421.337,"So now I don't waste gloves,"
421.337,425.174,but I don't contaminate my ingredients.
425.174,427.009,I don't wanna like reveal
427.009,428.97,"that I'm the world's smartest person here,"
428.97,431.18,but I think I'm making a burger.
437.77,440.731,Want to cool this lava so you can walk?
440.731,442.442,"Yes, of course, I want to cool the lava."
442.442,444.026,"Please, room, please!"
444.026,445.361,Yeah.
445.361,447.572,"I think I'm gonna, I think I'm gonna have to."
447.572,448.656,"Hey, ya, Vic."
448.656,449.49,No.
449.49,450.7,Oh yeah.
450.7,451.534,No.
451.534,453.244,"How's it workin' in here, huh?"
453.244,455.788,"I hear you got some lava floor problems, huh?"
455.788,456.747,I do. What's your name?
456.747,457.832,Me? Ah.
457.832,458.666,I'm Oswald.
458.666,459.5,Oswald.
459.5,460.46,Is this going on me?
460.46,461.419,No.
461.419,462.378,You want it?
462.378,463.212,No. No.
463.212,464.046,You want some on ya?
464.046,464.881,I can do it.
464.881,465.84,Zachy boy.
467.049,469.886,I brought a little bit of ice for you to help you out.
469.886,470.845,That all right?
470.845,472.305,"Thank you so much, penguin."
472.305,473.89,What'd you call me?
473.89,475.224,That's not my name.
475.224,477.31,Don't call me that.
477.31,478.269,It's Oswald.
478.269,479.979,"Yes, sir, Mr. Oswald."
479.979,480.813,Thank you.
480.813,481.772,"All right, you're gonna do great, all right?"
481.772,482.607,Keep working hard.
482.607,483.441,Do you mean that?
484.275,485.109,I do. I believe in you.
485.109,485.943,I really appreciate that.
485.943,486.736,"Hey, keep it up, Vic."
486.736,487.57,All right?
487.57,489.28,I think that ding means something.
489.28,490.114,.
490.114,490.948,Better be careful.
490.948,492.033,Is the floor not lava anymore?
492.033,493.367,"No, no. You're safe to walk around,"
493.367,495.953,"but better watch this conveyor belt close, okay?"
495.953,496.787,"See ya, Vic."
496.787,498.498,"Thank you, Oswald."
498.498,501.834,I could not tell you what was in this.
501.834,503.794,"Thank you, Oswald."
504.629,505.588,Ooh!
505.588,506.422,Bacon.
506.422,507.381,Oh my god.
507.381,509.091,This is the fattest bacon I've ever seen.
509.091,510.051,Look at that.
511.135,512.845,"Ah, I don't want to contaminate."
512.845,515.64,I don't wanna contaminate.
518.351,520.436,Away from the egg.
520.436,521.896,I have raw meat on my hands.
521.896,524.148,"Oh, right into the egg. Ah."
525.358,527.193,I'm being responsible and safe.
527.193,528.611,Oh shit. Oh shit.
530.78,531.614,No.
531.614,532.448,Oh.
533.783,535.743,Today's video is brought to you by Cook Unity.
535.826,538.12,Cook Unity connects a diverse group of talented chefs
538.12,540.79,"that cook delicious, inventive meals fresh every day"
540.79,542.25,"in regional micro-kitchens,"
542.25,543.834,not warehouse production facilities.
543.834,546.128,"For Becky and I right now, we have a toddler running around."
546.128,547.255,Dinner can be quite challenging.
547.255,550.8,So this has been such an easy thing to have for us sometimes throughout the week.
550.8,552.802,Just put it together. It's reliably delicious.
552.802,554.303,I think something that's great about it is they have
554.303,556.556,different dietary preference filters
556.556,558.808,you can sort of cater your service to everyone's needs.
558.808,559.475,We love it.
559.475,563.521,"First up, Chef Jose Garce’s Cuban Lechon Asado."
563.521,565.314,That is honestly so good!
565.523,567.4,The pork is fatty and tender.
567.4,569.402,The sauce is garlicky and a little bit
569.402,571.654,like tart and acidic. So delicious.
571.654,573.322,We— We don’t have plantains enough.
573.322,576.45,"Next up from Chef Admony, the Middle Eastern Vegan Chili"
576.45,579.412,with Tahini and green Sabzi rice.
579.537,580.663,"Yeah, that's delicious."
580.663,583.958,I also feel very healthy eating this without compromising on taste.
583.958,585.209,This tastes awesome.
585.376,587.962,But thanks to Cook Unity for sponsoring this portion of today’s video.
587.962,590.131,Go to CookUnity.com/TryGuys50
590.131,592.383,to get 50% off your first order of Cook Unity.
592.383,595.219,"Try them for yourself. All right, back to them."
597.888,599.599,"All right, perfect."
599.599,600.808,And...
600.808,603.019,Put these on chef of course.
603.019,604.604,"Oh boy, oh boy, oh boy."
