start_time,end_time,text
0.0,1.001,This is concerning.
2.46,3.378,Oh.
3.378,4.212,I heard a-
5.046,5.88,Okay.
6.881,8.216,"Welcome, chefs."
8.216,10.426999999999998,You are trapped in this room.
10.427,15.389999999999999,"If you want to leave, you must bake a dish of my choosing."
15.39,18.976999999999993,And I will do everything in my power to stop you.
18.977,20.437,I burned my hand on the...
21.896,23.356,What the ?
23.356,24.441000000000003,What was that?
24.441,25.4,Oh no!
25.4,25.59709090909091,Oh!
25.59709090909091,26.484000000000005,I hate this.
26.484,27.444,What's your name?
30.03,32.114999999999995,Text me the best pic of your buns.
32.115,33.324000000000005,Are we outside?
33.324,35.03499999999999,Am I going into a freezer?
35.035,36.244,Are you about to strap...
36.244,37.203,What is...
37.203,39.538999999999994,Are you strapping me in?
39.539,40.498000000000005,Oh no.
52.052,56.306,It's now time to escape the kitchen.
61.853,63.48,Hello?
63.48,65.94,Oh.
65.94,68.902,"Oh, we find ourselves back."
68.902,70.32,Okay.
70.32,71.78,A kitchen.
71.78,73.86499999999998,Single box there.
73.865,74.949,It's maybe...
75.825,77.16000000000001,A couple of cameras.
77.16,79.12,Classic kitchen stuff.
79.12,81.70599999999999,It feels like maybe the apron is the place to start.
82.665,83.99999999999999,This is good.
84.0,84.834,Okay.
85.794,86.628,Oh !
86.628,88.54599999999999,What the hell was that?
91.299,92.2165,Ha ha!
92.2165,93.13399999999999,Okay!
93.134,94.969,If we can just take a second.
94.969,96.304,Stunning.
100.308,102.977,Time to play cat.
108.399,110.902,Knock 10 items onto the floor.
114.322,115.281,Okay.
115.281,116.116,Meow.
116.991,117.826,Hi.
118.701,121.037,Pay attention to me.
121.037,121.871,Two.
121.871,122.705,"Oh, is that not enough?"
122.705,123.54000000000002,Here we go.
123.54,124.374,Meow.
128.211,128.67000000000002,Meow.
128.67000000000002,129.12900000000002,Meow.
133.049,134.134,"Six, seven."
134.134,135.718,Meow.
135.718,136.97,Meow.
144.06,144.936,Floor is lava.
144.936,146.97999999999996,You know the rules.
146.98,149.816,Luckily you placed your stepping stones.
149.816,150.9,No!
150.9,151.734,On the floor.
151.734,155.446,Oh boy.
155.446,156.281,Oh no!
157.157,158.158,Ah shit!
158.158,160.53499999999994,I should throw the paper on the floor.
160.535,161.619,Whoops.
161.619,162.07185714285714,Okay.
162.07185714285714,163.204,This is good.
164.205,165.41500000000002,Here we go.
165.415,166.374,"Oh, this is fun."
166.374,168.83500000000004,"Okay, so we'll sort of skate, skate, skate."
168.835,172.88100000000003,"Well, this is good 'cause one of my items is a paper towel."
175.466,177.177,"Oh, I'm ing smart."
177.177,179.387,So that's sorta...
179.387,180.471,Hello.
180.471,181.973,How are you doing?
183.183,184.017,I'm Vic.
184.976,186.686,"Okay, it's going this way."
186.686,189.147,Am I looking for a clue?
189.147,192.48300000000003,Let me see what we haven't used yet.
193.818,195.028,Oh .
195.028,198.86499999999998,"I'm not Jared, I know what that sound means."
202.952,204.662,A beautiful tomato.
204.662,205.496,This is concerning.
206.706,208.16600000000003,"Oh, I heard a-"
209.125,209.959,Okay.
211.211,212.04499999999996,Oh no.
212.879,213.10139999999998,Okay.
213.10139999999998,213.71299999999997,And I hear you.
213.713,214.547,Oh.
215.381,216.216,Is this it?
216.216,217.42499999999998,This is card stock.
217.425,219.344,There is nothing on... Nope.
219.344,220.80300000000003,And of course not.
222.513,223.598,Ding.
223.598,224.432,Is that this?
225.516,226.351,Up there.
226.351,227.435,Where is that coming from?
227.435,228.51900000000003,"I feel like I'm in ""Grey Gardens""."
228.519,229.604,What is happening?
229.604,229.95352380952383,Okay.
229.95352380952383,231.439,I am hearing dinging.
232.523,233.358,Ding.
233.358,234.94300000000004,Some food storage containers.
234.943,235.777,Is it up there?
235.777,236.611,Oh!
236.611,237.02800000000002,Oh no!
237.02800000000002,237.44500000000005,Oh no!
238.279,239.113,No!
239.113,239.66966666666667,Okay.
239.66966666666667,240.365,Ah! Ha ha!
240.365,240.782,Okay.
240.782,242.867,So we got this.
242.867,243.576,Perfect.
243.576,244.285,Perfect.
247.372,248.831,Printer.
248.831,249.36499999999998,Okay.
249.36499999999998,250.16599999999997,Be cool.
253.962,255.46299999999997,"No, no, no, no."
255.463,255.82942857142856,Egg.
255.82942857142856,257.173,We got the egg.
257.173,258.63300000000004,The egg is safe.
258.633,259.467,Printer.
260.343,261.177,"Oh, okay."
261.177,262.51199999999994,I burned my hand on the...
264.097,265.181,What the ?
265.181,266.39099999999996,What was that?
266.391,267.85,"Step one, season."
268.768,269.602,Season!
269.602,270.436,Okay.
273.94,274.9995,"Step one, season."
274.9995,275.733,Canola oil.
275.733,276.567,"Okay, great."
276.567,277.90200000000004,So I need some sort of a bowl.
283.574,284.409,Pickles!
285.91,287.12000000000006,I need to put you in a...
287.12,288.32900000000006,"No, no."
288.329,289.163,Oh my god.
289.163,290.248,Oh...
290.248,291.4785,I cheated.
291.4785,292.70900000000006,I'm sorry.
292.709,293.79300000000006,You're in jail.
293.793,294.969,Oh shit.
294.969,295.753,Okay.
295.753,296.587,Yep.
296.587,297.922,And here we go.
297.922,298.65200000000004,Season.
298.65200000000004,299.38200000000006,Season.
299.382,300.216,Okay.
300.216,300.675,Bowl.
300.675,301.134,Okay.
302.552,303.386,Cleaning.
304.887,306.80600000000004,Are these up for grabs?
310.685,311.519,Here we go.
311.519,312.353,"Oh, you know what?"
312.353,314.0629999999999,"If we're getting fancy, let's get fancy."
314.897,315.732,Okay.
318.985,320.695,Open sesame.
320.695,321.904,Who's sesame?
321.904,323.99,Are you sesame?
323.99,324.991,Open sesame.
327.702,328.87,Open sesame.
330.413,331.414,Open sesame.
332.373,333.583,Open sesame?
333.583,334.917,Ah!
334.917,335.752,Oh!
335.752,336.961,We're making hamburgers.
336.961,341.424,"We are making hamburgers, I'm 95% sure."
344.01,345.678,I found a thing.
345.678,347.889,A little sesame bun.
350.975,352.31,A key.
352.31,353.561,"Oh, gorgeous!"
356.522,357.52299999999997,"Oh, come on."
357.52299999999997,358.52399999999994,Here we go!
360.234,361.069,No.
362.653,363.488,No!
364.614,366.699,Let's fricking party.
366.699,369.41,Now it's all making sense.
369.41,371.62100000000004,"Okay, so eggs go over here."
371.621,373.081,Meat goes over here.
373.081,374.791,"So step one, season."
374.791,378.378,I have to imagine that's seasoning my meat.
378.378,379.837,Flop.
379.837,382.13100000000003,Just need a little...
382.131,383.591,Okay.
383.591,386.552,We are gonna season this up.
386.552,387.387,Okay.
388.262,389.22200000000004,This is nice.
389.222,390.056,Look at this.
390.056,391.891,"Okay, so you really wanna get the seasoning."
392.725,394.31000000000006,This is gonna move.
394.31,395.25533333333334,Of course.
395.25533333333334,395.728,Ha ha! .
398.731,399.816,Okay.
399.816,401.15,Okay.
401.15,402.235,Something fall?
402.235,404.06999999999994,"Two, take four ounces of beef."
404.07,407.15599999999984,Gently gather into an orb that is two inches in height.
407.156,410.78499999999997,"Okay, I need to get the pepper onto the meat without using my hands."
417.834,418.7509999999999,This is smart.
418.751,425.1739999999999,"So now I don't waste gloves, but I don't contaminate my ingredients."
425.174,431.17999999999995,"I don't wanna like reveal that I'm the world's smartest person here, but I think I'm making a burger."
437.77,440.73099999999994,Want to cool this lava so you can walk?
440.731,442.442,"Yes, of course, I want to cool the lava."
442.442,444.026,"Please, room, please!"
444.026,445.361,Yeah.
445.361,447.572,"I think I'm gonna, I think I'm gonna have to."
447.572,448.656,"Hey, ya, Vic."
448.656,449.49,No.
449.49,450.7,Oh yeah.
450.7,451.534,No.
451.534,453.24400000000014,"How's it workin' in here, huh?"
453.244,455.78800000000007,"I hear you got some lava floor problems, huh?"
455.788,455.95723529411765,I do.
455.95723529411765,456.747,What's your name?
456.747,457.2895,Me?
457.2895,457.832,Ah.
457.832,458.666,I'm Oswald.
458.666,459.5,Oswald.
459.5,460.4599999999999,Is this going on me?
460.46,461.419,No.
461.419,462.378,You want it?
462.378,462.79499999999996,No.
462.79499999999996,463.212,No.
463.212,464.046,You want some on ya?
464.046,464.88100000000003,I can do it.
464.881,465.84,Zachy boy.
467.049,469.88600000000014,I brought a little bit of ice for you to help you out.
469.886,470.845,That all right?
470.845,472.30500000000006,"Thank you so much, penguin."
472.305,473.89000000000004,What'd you call me?
473.89,475.22399999999993,That's not my name.
475.224,477.31,Don't call me that.
477.31,478.269,It's Oswald.
478.269,479.9789999999999,"Yes, sir, Mr. Oswald."
479.979,480.813,Thank you.
480.813,481.7720000000001,"All right, you're gonna do great, all right?"
481.772,482.607,Keep working hard.
482.607,483.441,Do you mean that?
484.275,484.43137499999995,I do.
484.43137499999995,485.1089999999999,I believe in you.
485.109,485.943,I really appreciate that.
485.943,486.736,"Hey, keep it up, Vic."
486.736,487.57,All right?
487.57,489.2799999999999,I think that ding means something. .
490.114,490.948,Better be careful.
490.948,492.033,Is the floor not lava anymore?
492.033,492.23823076923077,"No, no."
492.23823076923077,495.9529999999999,"You're safe to walk around, but better watch this conveyor belt close, okay?"
495.953,496.787,"See ya, Vic."
496.787,498.498,"Thank you, Oswald."
498.498,501.8339999999999,I could not tell you what was in this.
501.834,503.794,"Thank you, Oswald."
504.629,506.422,Ooh! Bacon.
506.422,507.38100000000003,Oh my god.
507.381,509.091,This is the fattest bacon I've ever seen.
509.091,510.05100000000004,Look at that.
511.135,512.8449999999999,"Ah, I don't want to contaminate."
512.845,515.6399999999999,I don't wanna contaminate.
518.351,520.436,Away from the egg.
520.436,521.896,I have raw meat on my hands.
521.896,523.9109473684211,"Oh, right into the egg."
523.9109473684211,524.1480000000001,Ah.
525.358,527.193,I'm being responsible and safe.
527.193,527.9019999999999,Oh shit.
527.9019999999999,528.611,Oh shit.
530.78,531.614,No.
531.614,532.448,Oh.
533.783,535.7429999999999,Today's video is brought to you by Cook Unity.
535.826,543.8340000000001,"Cook Unity connects a diverse group of talented chefs that cook delicious, inventive meals fresh every day in regional micro-kitchens, not warehouse production facilities."
543.834,546.1280000000002,"For Becky and I right now, we have a toddler running around."
546.128,547.2549999999999,Dinner can be quite challenging.
