start_time,stop_time,avg_intensity
0,20,26.0
20,40,25.166666666666668
40,60,10.799999999999999
60,80,26.900000000000002
80,100,33.3
100,120,27.666666666666668
120,140,20.9
140,160,16.666666666666668
160,180,11.1
180,200,10.2
200,220,8.566666666666666
220,240,20.45
240,260,28.766666666666666
260,280,19.55
280,300,11.15
300,320,8.85
320,340,9.933333333333334
340,360,10.1
360,380,10.5
380,400,14.033333333333331
400,420,27.299999999999997
420,440,26.333333333333332
440,460,9.5
460,480,12.350000000000001
480,500,12.100000000000001
500,520,10.866666666666667
520,540,9.85
540,560,8.9
560,580,12.0
580,600,66.5
600,620,90.53333333333335
620,640,42.45
640,660,25.5
660,680,19.75
680,700,19.033333333333335
700,720,13.2
720,740,10.35
740,760,9.6
760,780,17.35
780,800,18.3
800,820,8.85
820,840,10.0
840,860,10.0
860,880,9.966666666666667
880,900,10.05
900,920,10.35
920,940,10.733333333333334
940,960,15.2
960,980,22.2
980,1000,27.1
1000,1020,30.15
1020,1040,26.049999999999997
1040,1060,22.566666666666666
1060,1080,21.7
1080,1100,11.3
1100,1120,9.0
1120,1140,11.25
1140,1160,11.466666666666667
1160,1180,9.9
1180,1200,11.3
1200,1220,10.533333333333333
1220,1240,9.55
1240,1260,10.3
1260,1280,12.45
1280,1300,13.133333333333333
1300,1320,22.75
1320,1340,28.5
1340,1360,19.9
1360,1380,11.2
1380,1400,9.200000000000001
1400,1420,10.0
1420,1440,10.0
1440,1460,10.0
1460,1480,10.0
1480,1500,10.0
1500,1520,10.0
1520,1540,10.0
1540,1560,10.0
1560,1580,9.6
1580,1600,13.55
1600,1620,15.9
1620,1640,10.6
1640,1660,9.6
1660,1680,10.0
1680,1700,10.0
1700,1720,10.0
1720,1740,10.0
1740,1760,9.6
1760,1780,13.6
1780,1800,16.0
1800,1820,10.6
1820,1840,9.6
1840,1860,8.4
1860,1880,15.866666666666665
1880,1900,26.65
1900,1920,17.6
1920,1940,24.066666666666666
1940,1960,17.15
1960,1980,17.066666666666666
1980,2000,34.2
2000,2020,40.4
2020,2040,38.4
2040,2060,39.56666666666667
2060,2080,53.4
2080,2100,76.85
2100,2120,37.233333333333334
2120,2140,9.65
2140,2160,12.200000000000001
2160,2180,10.0
2180,2200,9.766666666666667
2200,2220,10.0
2220,2240,10.0
2240,2260,10.0
2260,2280,9.9
2280,2300,10.033333333333333
2300,2320,15.7
2320,2340,16.3
2340,2360,10.0
2360,2380,9.433333333333334
2380,2400,8.8
2400,2420,13.4
2420,2440,24.05
2440,2460,31.4
2460,2480,22.066666666666663
2480,2500,16.8
2500,2520,15.566666666666668
2520,2540,10.8
2540,2560,14.9
2560,2580,10.883333333333333
