start_time,end_time,words
0,5,This is concerning . Oh . I heard a-
5,10,"Okay . Welcome , chefs . You are trapped in"
10,15,"this room . If you want to leave , you must bake a dish of my"
15,20,choosing . And I will do everything in my power to stop you . I burned my
20,25,hand on the ... What the ? What was that ? Oh
25,30,no ! Oh ! I hate this . What 's your name ?
30,35,Text me the best pic of your buns . Are we outside ? Am I going into a
35,40,freezer ? Are you about to strap ... What is ... Are you strapping me in ?
40,45,Oh no .
50,55,It 's now time to escape
55,60,the kitchen .
60,65,Hello ?
65,70,"Oh . Oh , we find ourselves back ."
70,75,Okay . A kitchen . Single box there . It 's maybe ...
75,80,A couple of cameras . Classic kitchen stuff . It feels like
80,85,maybe the apron is the place to start . This is good . Okay .
85,90,Oh ! What the hell was that ?
90,95,Ha ha ! Okay ! If we can just take a second .
95,100,Stunning .
100,105,Time to play cat .
105,110,Knock 10 items
110,115,onto the floor .
115,120,Okay . Meow . Hi . Pay
120,125,"attention to me . Two . Oh , is that not enough ? Here we go . Meow ."
125,130,Meow . Meow .
130,135,"Six , seven ."
135,140,Meow . Meow .
140,145,Floor is lava .
145,150,You know the rules . Luckily you placed your stepping stones .
150,155,No ! On the floor . Oh
155,160,boy . Oh no ! Ah shit ! I should throw the paper on
160,165,the floor . Whoops . Okay . This is good . Here
165,170,"we go . Oh , this is fun . Okay , so we 'll sort of skate , skate , skate . Well , this is good"
170,175,'cause one of my items is a paper towel .
175,180,"Oh , I 'm ing smart . So that 's sorta ..."
180,185,Hello . How are you doing ? I 'm Vic .
185,190,"Okay , it 's going this way . Am I looking for a clue ? Let me"
190,195,see what we have n't used yet .
195,200,"Oh . I 'm not Jared , I know what that sound means ."
200,205,A beautiful tomato . This is
205,210,"concerning . Oh , I heard a- Okay ."
210,215,Oh no . Okay . And I hear you . Oh .
215,220,Is this it ? This is card stock . There is nothing on ... Nope . And of
220,225,course not . Ding . Is that this ?
225,230,"Up there . Where is that coming from ? I feel like I 'm in "" Grey Gardens "" . What is happening ? Okay ."
230,235,I am hearing dinging . Ding . Some food storage containers .
235,240,Is it up there ? Oh ! Oh no ! Oh no ! No ! Okay . Ah !
240,245,Ha ha ! Okay . So we got this . Perfect . Perfect .
245,250,Printer . Okay . Be
250,255,"cool . No , no ,"
255,260,"no , no . Egg . We got the egg . The egg is safe . Printer ."
260,265,"Oh , okay . I burned my hand on the ... What"
265,270,"the ? What was that ? Step one , season . Season !"
270,275,"Okay . Step one , season ."
275,280,"Canola oil . Okay , great . So I need some sort of a bowl ."
280,285,Pickles !
285,290,"I need to put you in a ... No , no . Oh my god ."
290,295,Oh ... I cheated . I 'm sorry . You 're in jail . Oh shit .
295,300,Okay . Yep . And here we go . Season . Season .
300,305,Okay . Bowl . Okay . Cleaning .
305,310,Are these up for grabs ?
310,315,"Here we go . Oh , you know what ? If we 're getting fancy , let 's get fancy ."
315,320,Okay . Open
320,325,sesame . Who 's sesame ? Are you sesame ? Open sesame .
325,330,Open sesame .
330,335,Open sesame . Open sesame ? Ah !
335,340,Oh ! We 're making hamburgers . We are making
340,345,"hamburgers , I 'm 95 % sure . I found a"
345,350,thing . A little sesame bun .
350,355,"A key . Oh , gorgeous !"
355,360,"Oh , come on . Here we go !"
360,365,No . No ! Let
365,370,"'s fricking party . Now it 's all making sense . Okay ,"
370,375,"so eggs go over here . Meat goes over here . So step one , season . I"
375,380,have to imagine that 's seasoning my meat . Flop .
380,385,Just need a little ... Okay . We are gon na
385,390,season this up . Okay . This is nice . Look at
390,395,"this . Okay , so you really wanna get the seasoning . This is gon na move . Of"
395,400,course . Ha ha ! . Okay .
400,405,"Okay . Something fall ? Two , take four ounces of beef . Gently gather"
405,410,"into an orb that is two inches in height . Okay , I need to get the pepper onto the meat without"
410,415,using my hands .
415,420,This is smart . So now I do
420,425,"n't waste gloves , but I do n't contaminate my"
425,430,"ingredients . I do n't wanna like reveal that I 'm the world 's smartest person here , but I think I"
430,435,'m making a burger .
435,440,Want to cool this lava so
440,445,"you can walk ? Yes , of course , I want to cool the lava . Please , room , please !"
445,450,"Yeah . I think I 'm gon na , I think I 'm gon na have to . Hey , ya , Vic . No . Oh"
450,455,"yeah . No . How 's it workin ' in here , huh ? I hear you got some lava floor"
455,460,"problems , huh ? I do . What 's your name ? Me ? Ah . I 'm Oswald . Oswald . Is this"
460,465,going on me ? No . You want it ? No . No . You want some on ya ? I can do it .
465,470,Zachy boy . I brought a little bit of ice for you to help you out .
470,475,"That all right ? Thank you so much , penguin . What 'd you call me ? That 's not my"
475,480,"name . Do n't call me that . It 's Oswald . Yes , sir , Mr. Oswald ."
480,485,"Thank you . All right , you 're gon na do great , all right ? Keep working hard . Do you mean that ? I do . I believe in"
485,490,"you . I really appreciate that . Hey , keep it up , Vic . All right ? I think that ding means something . ."
490,495,"Better be careful . Is the floor not lava anymore ? No , no . You 're safe to walk around , but better watch this"
495,500,"conveyor belt close , okay ? See ya , Vic . Thank you , Oswald . I could not tell"
500,505,"you what was in this . Thank you , Oswald ."
505,510,Ooh ! Bacon . Oh my god . This is the fattest bacon I 've ever seen . Look at
510,515,"that . Ah , I do n't want to contaminate . I do n't wanna"
515,520,contaminate . Away from the
520,525,"egg . I have raw meat on my hands . Oh , right into the egg . Ah ."
525,530,I 'm being responsible and safe . Oh shit . Oh shit .
530,535,No . Oh . Today 's video is brought
535,540,"to you by Cook Unity . Cook Unity connects a diverse group of talented chefs that cook delicious , inventive"
540,545,"meals fresh every day in regional micro - kitchens , not warehouse production facilities . For Becky and I right now , we"
545,550,have a toddler running around . Dinner can be quite challenging . So this has been such an easy thing to have for us sometimes
550,555,throughout the week . Just put it together . It 's reliably delicious . I think something that 's great about it is they have different
555,560,dietary preference filters you can sort of cater your service to everyone 's needs . We love it .
560,565,"First up , Chef Jose Garce ’s Cuban Lechon Asado . That is honestly so"
565,570,good ! The pork is fatty and tender . The sauce is garlicky and a little bit like
570,575,"tart and acidic . So delicious . We — We do n’t have plantains enough . Next up from Chef Admony , the"
575,580,"Middle Eastern Vegan Chili with Tahini and green Sabzi rice . Yeah ,"
580,585,that 's delicious . I also feel very healthy eating this without compromising on taste . This tastes
585,590,awesome . But thanks to Cook Unity for sponsoring this portion of today ’s video . Go to
590,595,"CookUnity.com/TryGuys50 to get 50 % off your first order of Cook Unity . Try them for yourself . All right , back to"
595,600,"them . All right , perfect ."
600,605,"And ... Put these on chef of course . Oh boy , oh boy , oh boy . What"
605,610,are you gon na do to me ? Uh - oh .
610,615,Dark brown sugar . Okay .
615,620,What do we think ? I kind of love it .
620,625,"Hop for the prize , but not so"
625,630,high . Both feet must stay on the ground .
630,635,Oh . What is this
635,640,balloon made out of ? Steel ? Oh .
640,645,Sick .
650,655,Did I do
655,660,it ? This looks so good . For everybody keeping
660,665,"score at home , do not worry . The Red Bull Capri Sun Lemonade is still"
665,670,"completely intact . There is no stuff in it , so ... Oh , I did n't ,"
670,675,"oh , I did n't put the ing hood on , huh ?"
675,680,I thought I was ... Oh no . I thought I was wearing the hood .
680,685,There 's a little bit in my hair ? Of course .
685,690,Dutch oven . ♪ Dutch oven ♪
690,695,"That seems glued down . Oh , of course . Hello !"
695,700,How are we doing ? What 's your name ? For sure . Me
700,705,too . Vic . Chef
705,710,'s knife . Oh . Someone in that outfit
