start_time,stop_time,avg_intensity
0,5,36.95
5,10,84.4
10,15,62.150000000000006
15,20,53.8
20,25,46.75
25,30,41.15
30,35,40.2
35,40,38.8
40,45,39.2
45,50,41.25
50,55,43.5
55,60,45.15
60,65,43.4
65,70,36.9
70,75,30.7
75,80,30.35
80,85,32.5
85,90,32.150000000000006
90,95,32.0
95,100,32.849999999999994
100,105,34.4
105,110,35.9
110,115,37.5
115,120,38.5
120,125,41.6
125,130,47.2
130,135,49.35
135,140,49.9
140,145,46.75
145,150,39.1
150,155,36.2
155,160,37.85
160,165,38.7
165,170,41.15
170,175,38.5
175,180,35.7
180,185,35.7
185,190,36.3
190,195,35.8
195,200,34.1
200,205,30.85
205,210,29.1
210,215,30.75
215,220,35.1
220,225,41.15
225,230,43.3
230,235,37.55
235,240,29.4
240,245,26.25
245,250,25.9
250,255,25.5
255,260,25.9
260,265,26.7
265,270,26.1
270,275,23.9
275,280,23.9
280,285,25.4
285,290,26.6
290,295,27.65
295,300,28.2
300,305,27.65
305,310,28.0
310,315,28.65
315,320,29.799999999999997
320,325,31.2
325,330,33.3
330,335,35.4
335,340,37.2
340,345,37.9
345,350,37.85
350,355,36.8
355,360,34.25
360,365,34.6
365,370,42.8
370,375,47.8
375,380,40.3
380,385,29.8
385,390,27.700000000000003
390,395,28.1
395,400,24.85
400,405,21.55
405,410,22.3
410,415,22.6
415,420,23.3
420,425,23.15
425,430,22.0
430,435,22.15
435,440,23.65
440,445,23.8
445,450,22.700000000000003
450,455,22.4
455,460,22.700000000000003
460,465,23.05
465,470,23.7
470,475,24.05
475,480,25.8
480,485,29.85
485,490,33.7
490,495,36.1
495,500,35.0
500,505,29.85
505,510,24.8
510,515,23.4
515,520,26.3
520,525,33.5
525,530,37.8
530,535,32.55
535,540,25.0
540,545,23.8
545,550,25.549999999999997
550,555,26.0
555,560,26.6
560,565,26.5
565,570,27.85
570,575,29.2
575,580,31.6
580,585,34.599999999999994
585,590,37.1
590,595,39.05
595,600,39.5
600,605,37.45
605,610,34.65
610,615,32.8
615,620,32.2
620,625,31.8
625,630,30.45
630,635,28.7
635,640,27.25
640,645,26.0
645,650,24.95
650,655,24.4
655,660,16.75
660,665,24.5
665,670,68.1
670,675,100.0
675,680,78.45
680,685,41.8
685,690,37.45
690,695,39.85
695,700,29.0
700,705,23.7
705,710,24.6
710,715,23.25
715,720,21.8
720,725,20.65
725,730,20.0
730,735,19.8
735,740,20.05
740,745,20.8
745,750,21.9
750,755,23.85
755,760,25.1
760,765,25.799999999999997
765,770,25.7
770,775,25.05
775,780,23.9
780,785,23.200000000000003
785,790,22.5
790,795,21.35
795,800,20.8
800,805,20.95
805,810,22.0
810,815,22.950000000000003
815,820,24.7
820,825,26.549999999999997
825,830,29.8
830,835,35.95
835,840,38.9
840,845,31.2
845,850,27.75
850,855,27.6
855,860,27.6
860,865,28.6
865,870,29.049999999999997
870,875,28.700000000000003
875,880,30.0
880,885,32.6
885,890,34.4
890,895,35.599999999999994
895,900,33.45
900,905,30.0
905,910,26.2
910,915,23.7
915,920,23.7
920,925,25.0
925,930,25.5
930,935,25.5
935,940,26.25
940,945,24.6
945,950,18.9
950,955,12.8
955,960,10.25
960,965,9.7
965,970,6.4
