timestamp_sec,intensity
0.000,0.000
0.966,14.500
1.933,60.700
4.832,72.600
7.732,84.400
10.631,64.900
14.497,59.400
18.363,53.800
20.296,48.700
24.162,44.800
28.028,41.000
29.961,41.300
33.827,40.200
37.693,39.100
39.626,38.500
43.492,39.200
47.358,39.900
49.291,42.600
53.157,43.500
57.023,44.300
58.956,46.000
62.822,43.400
66.688,40.900
68.621,32.900
72.487,30.700
76.353,28.500
78.286,32.200
82.152,32.500
86.018,32.700
87.951,31.600
91.817,32.000
95.683,32.400
97.616,33.300
101.482,34.400
105.348,35.500
107.281,36.300
111.147,37.500
115.013,38.700
116.946,38.300
120.812,40.500
124.678,42.700
126.611,47.200
130.477,48.600
134.343,50.100
136.276,49.900
140.142,47.800
144.008,45.700
145.941,40.100
149.807,38.100
153.673,36.200
155.606,37.600
159.472,38.100
163.338,38.700
165.271,41.400
169.137,40.900
173.003,40.400
174.936,36.600
178.801,35.700
182.667,34.800
184.600,36.600
188.466,36.300
192.332,36.000
194.265,35.600
198.131,34.100
201.997,32.700
203.930,29.000
207.796,29.100
211.662,29.300
213.595,32.200
217.461,35.100
221.327,37.900
223.260,44.400
227.126,43.300
230.992,42.200
232.925,32.900
236.791,29.400
240.657,25.900
242.590,26.600
246.456,25.900
250.322,25.200
252.255,25.800
256.121,25.900
259.987,25.900
261.920,26.700
265.786,26.300
269.652,25.900
271.585,23.900
275.451,23.900
279.317,23.900
281.250,25.400
285.116,26.200
288.982,27.000
290.915,27.500
294.781,27.800
298.647,28.200
300.580,27.500
304.446,27.800
308.312,28.000
310.245,28.300
314.111,29.000
317.977,29.700
319.910,29.900
323.776,31.200
327.642,32.500
329.575,34.100
333.441,35.400
337.307,36.800
339.240,37.600
343.106,37.900
346.972,38.200
348.905,37.500
352.770,36.800
356.636,36.100
358.569,32.400
362.435,34.600
366.301,36.800
368.234,48.800
372.100,47.800
375.966,46.900
377.899,33.700
381.765,29.800
385.631,25.800
387.564,29.600
391.430,28.100
395.296,26.500
397.229,23.200
401.095,22.100
404.961,21.000
406.894,22.300
410.760,22.500
414.626,22.700
416.559,23.300
420.425,23.200
424.291,23.100
426.224,22.000
430.090,22.100
433.956,22.200
435.889,23.600
439.755,23.700
443.621,23.800
445.554,22.800
449.420,22.600
453.286,22.400
455.219,22.600
459.085,22.800
462.951,23.000
464.884,23.100
468.750,23.700
472.616,24.300
474.549,23.800
478.415,25.800
482.281,27.800
484.214,31.900
488.080,33.700
491.946,35.500
493.879,36.700
497.745,35.000
501.611,33.200
503.544,26.500
507.410,24.800
511.276,23.100
513.209,23.700
517.075,26.300
520.941,28.900
522.874,38.100
526.740,37.800
530.605,37.600
532.538,27.500
536.404,25.000
540.270,22.500
542.203,25.100
546.069,25.400
549.935,25.700
551.868,26.000
555.734,26.400
559.600,26.800
561.533,26.500
565.399,27.400
569.265,28.300
571.198,29.200
575.064,30.800
578.930,32.400
580.863,33.800
584.729,35.400
588.595,37.100
590.528,38.900
594.394,39.200
598.260,39.500
600.193,38.100
604.059,36.800
607.925,35.500
609.858,33.800
613.724,32.800
617.590,31.800
619.523,32.600
623.389,31.800
627.255,31.000
629.188,29.900
633.054,28.700
636.920,27.600
638.853,26.900
642.719,26.000
646.585,25.200
648.518,24.700
652.384,24.400
656.250,24.100
658.183,9.400
662.049,24.500
665.915,39.600
667.848,96.600
671.714,100.000
675.580,103.400
677.513,53.500
681.379,41.800
685.245,30.100
687.178,44.800
691.044,41.500
694.910,38.200
696.843,29.000
700.709,25.500
704.574,21.900
706.507,24.600
710.373,23.700
714.239,22.800
716.172,21.800
720.038,21.000
723.904,20.300
725.837,20.100
729.703,19.900
733.569,19.800
735.502,19.800
739.368,20.300
743.234,20.800
745.167,21.400
749.033,22.400
752.899,23.300
754.832,24.400
758.698,25.100
762.564,25.700
764.497,25.900
768.363,25.700
772.229,25.500
774.162,24.600
778.028,23.900
781.894,23.300
783.827,23.100
787.693,22.500
791.559,21.800
793.492,20.900
797.358,20.800
801.224,20.700
803.157,21.200
807.023,22.000
810.889,22.800
812.822,23.100
816.688,24.700
820.554,26.200
822.487,26.900
826.353,29.800
830.219,32.700
832.152,39.200
836.018,39.000
839.884,38.800
841.817,31.200
845.683,28.900
849.549,26.600
851.482,27.600
855.348,27.600
859.214,27.600
861.147,28.600
865.013,28.900
868.879,29.200
870.812,28.300
874.678,29.100
878.544,30.000
880.476,32.000
884.342,33.200
888.208,34.400
890.141,35.900
894.007,35.300
897.873,34.600
899.806,32.300
903.672,30.000
907.538,27.700
909.471,24.700
913.337,23.700
917.203,22.700
919.136,24.700
923.002,25.000
926.868,25.400
928.801,25.600
932.667,25.500
936.533,25.400
938.466,27.100
942.332,24.600
946.198,22.000
948.131,15.800
951.997,12.800
955.863,9.900
958.763,10.600
961.662,10.000
964.562,9.400
965.528,12.000
966.495,10.000
967.461,8.000
966.495,2.000
966.495,0.000
