start_time,end_time,text
7.496,9.121,"Picture this,"
9.454,11.579,"you’re going on a boat trip,"
12.246,15.996,"and you get on board with your family, and you got your bags,"
16.121,19.204,"and the captain comes out to greet you and says,"
19.663,24.413,"“Hi, Um... My name is Montana... Von Fliss."
24.454,27.704,"Uh, so... I’ll be your captain for this journey..."
28.788,30.038,"So, uh..."
31.246,34.662,"Oh, boy... Let’s just have a great trip. Sorry.”"
36.954,39.162,Nope. Get me off of this boat.
40.662,44.662,"What we want in that moment is for the captain to walk out and say,"
44.787,49.662,"“Hi, my name is Montana Von Fleiss, I’ll be your captain for this journey."
49.787,51.287,Let’s have a great trip.”
52.204,57.162,"The point is, when you are the speaker, you are the captain for that journey,"
57.246,60.246,and how you show up really matters.
60.829,62.412,"For the last 17 years,"
62.454,65.621,"I’ve coached thousands of speakers all over the world,"
65.663,68.663,"from big tech companies to small startups,"
68.871,74.204,"and everyone, from new hires to CEOs of Fortune 500 companies,"
74.246,78.246,"want to know, how do you show up and look confident?"
78.746,82.371,"So I’d like to share my top five tips for how to be confident,"
82.538,83.913,even if you’re not.
84.413,85.829,So let's break it down.
85.954,88.913,What was the difference between those two captains?
88.996,90.829,What did you see? What did you hear?
90.871,94.913,"And not just, “One seemed nervous, one seemed confident.”"
95.079,99.371,But what was I doing differently to make you think that?
99.538,105.246,"Different volume, different words, certainly different body language."
105.371,110.079,"But the truth is, I wasn’t feeling particularly confident."
110.246,115.371,I was just making certain physical and vocal choices to make you think that.
116.038,117.413,You can do that too.
117.913,119.663,Anyone can do this.
119.996,122.704,"So, what are those confident-looking choices?"
123.329,124.413,Number one.
124.663,127.454,Turn up the energy and speak up.
127.579,130.413,"When you speak up, even just a little bit,"
130.496,133.788,"it reads as confident, and you don’t have to shout."
133.871,138.913,"Think about it this way. On a scale of 1 to 10, aim for a 5."
139.329,141.204,"Yes, it goes to 11,"
143.413,147.663,but you can just aim for a five. I’m here at a five right now.
147.746,150.913,I can bring it back down to a three here. Nervous captain was here.
150.954,152.829,"And we bring it back up to a five,"
152.871,156.163,"and it sounds prepared, positive, and confident."
156.329,158.704,So turn up the energy and speak up.
159.663,160.913,Number two.
161.288,165.246,Pause... like a boss.
166.579,169.246,"Nervous speakers tend to talk really fast, right?"
169.288,170.829,"And when they do have a pause,"
170.871,173.413,"they fill it in with verbal filler, likes and ums."
173.621,179.788,"However, if you try to speak more slowly, it just sounds like this, right?"
179.829,180.954,And that's not better.
181.121,184.413,"So instead, make strategic pauses."
184.579,185.996,Pause in transition.
186.163,187.871,Pause for emphasis.
187.913,191.246,Pause... like a boss.
192.704,193.788,Number three.
194.246,196.704,Superhero stance.
197.204,201.288,Imagine you are a superhero. You can do it from your chair.
201.329,203.079,How would a superhero sit?
203.288,207.663,Yes. Let that change your posture. I see you. Yes.
207.746,211.829,Let that bring a smile to your face and have some better eye contact.
211.913,215.163,"All of that reads as confident,"
215.329,219.246,and pretending to be a superhero is just a super quick way
219.371,221.746,to have confident-looking body language.
222.496,224.704,"Now, this one also goes to 11."
228.121,232.038,"But you can just aim for a five, and that will be great."
232.079,235.246,Tuck in that cape and go save the day.
236.246,240.079,"And you can stand in superhero backstage to boost your confidence,"
240.163,244.329,but I’m saying bring that superhero stance on stage
244.371,247.621,so that your audience sees you as confident.
248.246,251.663,"And if you need an easy shortcut, just make the shape."
252.079,254.913,Just make the shape of a confident person.
254.996,257.829,The audience cannot read your mind.
257.913,259.621,"They don’t know how you’re feeling,"
259.663,262.913,so just make the shape and they will go with it.
263.038,265.246,"Like, if you came over to my house for dinner"
265.329,267.538,"and I opened up the door and I was like,"
267.704,270.954,"“Hi, come on in, we’re having chicken.”"
272.079,274.621,"You’d be like, “Oh, is this a bad time?”"
276.121,278.788,"You know, you’ve got to make the shape of a good host."
278.829,281.829,"Make the smile shape, right?"
281.871,284.288,"Instead of crossed arm shape, open up."
284.371,287.121,"“Hi, welcome. Come on in.”"
288.246,291.454,"If you’re not sure if you’re making confident-looking choices,"
291.746,296.204,you can just video yourself and watch it back.
297.079,300.204,"I feel like I just saw you say, “Um, not doing that one.”"
301.371,305.121,"I know most people don’t like to watch themselves, I get it."
305.288,306.913,But wouldn’t you rather...
307.496,311.704,make that adjustment before you’re in front of your audience?
312.246,313.246,Yes.
313.579,316.246,Videoing yourself is a great way to check in
316.288,318.413,"to see that you’re doing the techniques,"
318.538,321.413,"but also to see that it’s still authentically you,"
321.579,324.371,your version of confident captain.
325.413,329.996,"Now, how can you do all of these things on performance day?"
330.704,331.871,Number four.
332.454,334.329,Practice with purpose.
334.913,337.038,"So, make yourself a rehearsal schedule."
337.079,338.704,Put it in your calendar.
338.954,342.121,You can give yourself a little treat when you do a run through.
342.704,347.121,And make it practice with purpose by giving yourself a specific goal
347.163,351.871,or layering in one new confident captain technique each day.
352.079,354.204,"If it’s a week before your event,"
354.371,358.913,aim to run it all the way through at least once a day.
359.288,362.788,"If you have no time for a run through, just take the opening and closing,"
362.829,365.288,and run that three times in a row from anywhere.
365.746,368.371,"When you’re in the shower, when you’re walking your dog,"
368.413,370.413,when you’re making a meal for your kids.
370.496,374.996,I know my kids are very used to me walking around the house talking to myself.
375.788,379.663,Whatever you need to do to get in those repetitions.
380.413,383.538,And don’t be afraid of over practice.
384.204,385.704,Don't let that stop you.
386.454,391.038,You can just let go of your verbatim script if it’s starting to sound robotic.
391.246,395.913,And you can still use bullet point speaker notes
395.954,398.329,to remind yourself of what you would like to say
398.371,404.121,and to invite you to say it a little bit differently each time to keep it fresh.
404.663,405.871,"And let me be clear,"
406.371,411.413,"by practice, I mean standing up, saying it out loud,"
411.454,414.996,"imagining your audience and inviting them in,"
415.413,416.829,"clicking through your slides,"
416.829,419.663,"doing it as much like it will be on the day,"
419.663,421.538,whether it’s virtual or in person.
422.038,427.996,"And I know it might feel a little funny saying it out loud to yourself,"
428.329,432.204,"but think about when you learn a new sport,"
432.288,434.579,or when you practice a musical instrument.
435.329,440.121,"If you had a piano concert on Friday, and you got new music on Monday,"
440.246,443.079,would you only read your music every day
443.204,447.204,and then play it for the very first time at the concert on Friday?
447.413,448.746,No way.
448.954,452.371,"And yet, I see speakers do this all the time."
452.871,454.496,Give yourself a chance.
454.788,457.579,Practice helps everything.
457.746,462.538,And it can really boost your confidence to practice with purpose
462.788,467.163,by layering in one new technique each day.
468.288,473.579,"Okay, those first four techniques, they’re all about how to appear confident,"
473.829,475.621,regardless of how you’re feeling.
476.163,480.413,"I’ve got one more technique for you, and it’s a big one."
481.079,482.704,But this is the real gem.
482.746,485.204,It's the one that makes all the others shine.
486.163,490.538,"This is number five, the silent sentence."
491.496,495.246,This is about what you choose to tell yourself.
496.371,498.663,"I’ve been a professional actor since I was a kid,"
498.704,502.788,"and I have always loved going on stage as an actor,"
502.913,505.329,"as a speaker, as an emcee."
505.663,510.454,"And, at the same time, I have often been not just nervous,"
510.496,516.037,sometimes downright terrified to step on a stage.
516.746,518.829,"I’m shaking, I’m sweating, and I’m like,"
518.912,522.329,“What was I thinking? Why do I do this to myself?”
522.454,524.579,And all these unhelpful voices flood in.
524.621,527.996,"And I just tried to make it stop, push it away."
528.037,529.996,And of course that never worked.
530.662,534.079,And I kept going on stage because I love it.
535.162,538.287,"And years later, when I became a speaker coach,"
538.454,541.246,"I got asked to do all these professional presentations,"
541.287,542.746,"and they went well,"
543.579,548.371,but I still had no way to deal with that massive anxiety.
548.787,551.496,"And I was like, “What can I do?”"
551.996,555.537,"And I thought, “Well, what am I telling myself?”"
556.329,559.371,“What if you mess up? You better be perfect.”
560.829,566.996,I realized I was giving myself an impossible instruction to be perfect.
567.787,569.746,And that really was not working.
570.121,573.621,But what would work? What would be a better message?
573.871,576.662,"And to figure that out, I had to go back to square one."
576.704,579.121,"Like, what do I want?"
579.371,582.121,Why did I say yes to this speaking gig?
582.287,584.579,What is my deeper purpose here?
585.704,587.954,"And I realized at the heart of it,"
589.412,593.746,I just want to help my audience to the best of my ability.
595.412,598.787,"And when I said that, I noticed everything change."
599.871,602.996,And that's where I found my first silent sentence.
603.204,607.121,I want to help my audience to the best of my ability.
607.829,612.579,"When I said it, even silently to myself, it acted like this override switch."
612.662,614.704,"Like I might still be shaking and sweating,"
614.746,618.371,"but now I have this higher goal, this deeper purpose,"
618.412,620.079,and everything aligned to that.
620.121,622.329,And that became my highest priority.
622.621,624.454,I want to help you.
624.662,627.579,"And now, that thought replaced those unhelpful thoughts"
627.621,630.954,and everything went better in my performance.
631.454,637.037,"And I was like, “Yes, it worked. Yay!”"
637.996,641.871,"And then I was like, “Wait, how do I do this every time?"
642.246,644.412,Especially when the stakes are high.”
645.246,647.121,"And it dawned on me,"
647.204,651.371,"if I’m writing and crafting the words I say out loud,"
651.787,655.912,why not write and craft the words I say silently to myself?
656.079,661.496,Put it in the script. It’s the silent part of the script.
662.996,665.579,"So now, every time I rehearse,"
666.079,668.662,"every time I walk onto a stage,"
668.912,671.496,"every time I join a virtual meeting,"
671.662,676.162,"I say the following, new and evolved silent sentence,"
677.996,683.954,“I invite you to be here with me while I am here with you
684.871,689.121,so that I can make this easier for you.”
691.246,695.621,"Now, that invitation to myself to be present,"
696.204,698.579,"that’s my definition of stage presence,"
698.871,700.246,being present.
701.246,704.829,"And that invitation to the audience to be my partner,"
704.996,708.162,"that reminds me, these are friends, not foes."
708.204,710.454,And I am choosing to be here.
710.912,713.579,And now I’m not just making the shape of a good host.
713.621,719.246,I really am a good host because I am genuinely welcoming you to my world.
721.162,724.996,"Now, how do you go about finding your silent sentence?"
726.412,727.621,What do you want?
728.787,730.621,What's your deeper purpose?
731.412,735.246,"You could be like me, and you might just want to help people."
735.412,737.579,Or it could be something more specific.
737.621,741.662,"For example, you might want at least one person in your audience"
741.704,744.496,to walk out and take a CPR class.
