start_time,end_time,text
7.496,20.366703703703703,"Picture this, you’re going on a boat trip, and you get on board with your family, and you got your bags, and the captain comes out to greet you and says, “Hi, Um..."
20.366703703703703,23.00559259259259,My name is Montana...
23.00559259259259,24.412999999999997,Von Fliss.
24.454,24.825428571428574,"Uh, so..."
24.825428571428574,27.703999999999997,I’ll be your captain for this journey...
28.788,30.038,"So, uh..."
31.246,31.763575757575758,"Oh, boy..."
31.763575757575758,34.14442424242425,Let’s just have a great trip.
34.14442424242425,34.662000000000006,Sorry.”
36.954,37.35545454545455,Nope.
37.35545454545455,39.162000000000006,Get me off of this boat.
40.662,49.661999999999985,"What we want in that moment is for the captain to walk out and say, “Hi, my name is Montana Von Fleiss, I’ll be your captain for this journey."
49.787,51.287,Let’s have a great trip.”
52.204,60.246,"The point is, when you are the speaker, you are the captain for that journey, and how you show up really matters."
60.829,78.24600000000002,"For the last 17 years, I’ve coached thousands of speakers all over the world, from big tech companies to small startups, and everyone, from new hires to CEOs of Fortune 500 companies, want to know, how do you show up and look confident?"
78.746,83.91300000000001,"So I’d like to share my top five tips for how to be confident, even if you’re not."
84.413,85.82899999999998,So let's break it down.
85.954,88.91300000000001,What was the difference between those two captains?
88.996,89.87855555555554,What did you see?
89.87855555555554,90.82899999999997,What did you hear?
90.871,94.913,"And not just, “One seemed nervous, one seemed confident.”"
95.079,99.37100000000002,But what was I doing differently to make you think that?
99.538,105.24600000000002,"Different volume, different words, certainly different body language."
105.371,110.07900000000002,"But the truth is, I wasn’t feeling particularly confident."
110.246,115.37099999999998,I was just making certain physical and vocal choices to make you think that.
116.038,117.41300000000001,You can do that too.
117.913,119.663,Anyone can do this.
119.996,122.704,"So, what are those confident-looking choices?"
123.329,124.413,Number one.
124.663,127.454,Turn up the energy and speak up.
127.579,133.78800000000007,"When you speak up, even just a little bit, it reads as confident, and you don’t have to shout."
133.871,136.15190476190477,Think about it this way.
136.15190476190477,138.91300000000007,"On a scale of 1 to 10, aim for a 5."
139.329,145.6303913043478,"Yes, it goes to 11, but you can just aim for a five."
145.6303913043478,147.66299999999995,I’m here at a five right now.
147.746,149.63401923076933,I can bring it back down to a three here.
149.63401923076933,150.9130000000001,Nervous captain was here.
150.954,156.163,"And we bring it back up to a five, and it sounds prepared, positive, and confident."
156.329,158.70399999999998,So turn up the energy and speak up.
159.663,160.913,Number two.
161.288,165.246,Pause... like a boss.
166.579,169.24599999999998,"Nervous speakers tend to talk really fast, right?"
169.288,173.413,"And when they do have a pause, they fill it in with verbal filler, likes and ums."
173.621,179.78800000000004,"However, if you try to speak more slowly, it just sounds like this, right?"
179.829,180.954,And that's not better.
181.121,184.413,"So instead, make strategic pauses."
184.579,185.996,Pause in transition.
186.163,187.87099999999998,Pause for emphasis.
187.913,191.24600000000004,Pause... like a boss.
192.704,193.788,Number three.
194.246,196.704,Superhero stance.
197.204,199.246,Imagine you are a superhero.
199.246,201.288,You can do it from your chair.
201.329,203.079,How would a superhero sit?
203.288,203.64272972972975,Yes.
203.64272972972975,206.4805675675676,Let that change your posture.
206.4805675675676,207.30827027027033,I see you.
207.30827027027033,207.66300000000007,Yes.
207.746,211.82900000000006,Let that bring a smile to your face and have some better eye contact.
211.913,221.746,"All of that reads as confident, and pretending to be a superhero is just a super quick way to have confident-looking body language."
222.496,224.70400000000004,"Now, this one also goes to 11."
228.121,232.03799999999993,"But you can just aim for a five, and that will be great."
232.079,235.246,Tuck in that cape and go save the day.
236.246,247.621,"And you can stand in superhero backstage to boost your confidence, but I’m saying bring that superhero stance on stage so that your audience sees you as confident."
248.246,251.66300000000004,"And if you need an easy shortcut, just make the shape."
252.079,254.91299999999998,Just make the shape of a confident person.
254.996,257.82900000000006,The audience cannot read your mind.
257.913,262.91299999999995,"They don’t know how you’re feeling, so just make the shape and they will go with it."
263.038,266.7280333333333,"Like, if you came over to my house for dinner and I opened up the door"
266.7280333333333,270.9539999999999,"and I was like, “Hi, come on in, we’re having chicken.”"
272.079,274.621,"You’d be like, “Oh, is this a bad time?”"
