start_time,end_time,words
5,10,"Picture this , you"
10,15,"’re going on a boat trip , and you get on board with your family , and"
15,20,"you got your bags , and the captain comes out to greet you and says , “"
20,25,"Hi , Um ... My name is Montana ... Von Fliss . Uh , so ... I"
25,30,"’ll be your captain for this journey ... So ,"
30,35,"uh ... Oh , boy ... Let ’s just have a great trip . Sorry . ”"
35,40,Nope . Get me off of this boat .
40,45,"What we want in that moment is for the captain to walk out and say , “ Hi ,"
45,50,"my name is Montana Von Fleiss , I ’ll be your captain for this journey ."
50,55,"Let ’s have a great trip . ” The point is , when you are the speaker , you"
55,60,"are the captain for that journey , and how you show up really"
60,65,"matters . For the last 17 years , I ’ve coached thousands of speakers all"
65,70,"over the world , from big tech companies to small startups , and"
70,75,"everyone , from new hires to CEOs of Fortune 500 companies , want to"
75,80,"know , how do you show up and look confident ? So I ’d like to share"
80,85,"my top five tips for how to be confident , even if you ’re not . So let 's"
85,90,break it down . What was the difference between those two captains ? What did you see ?
90,95,"What did you hear ? And not just , “ One seemed nervous , one seemed confident . ”"
95,100,But what was I doing differently to make you think that ?
100,105,"Different volume , different words , certainly different body language ."
105,110,"But the truth is , I was n’t feeling particularly"
110,115,confident . I was just making certain physical and vocal choices to make you
115,120,think that . You can do that too . Anyone can do this .
120,125,"So , what are those confident - looking choices ? Number one ."
125,130,"Turn up the energy and speak up . When you speak up , even just a"
130,135,"little bit , it reads as confident , and you do n’t have to shout . Think"
135,140,"about it this way . On a scale of 1 to 10 , aim for a 5 . Yes ,"
140,145,"it goes to 11 , but you can just aim"
145,150,for a five . I ’m here at a five right now . I can bring it back down to a three here .
150,155,"Nervous captain was here . And we bring it back up to a five , and it sounds prepared ,"
155,160,"positive , and confident . So turn up the energy and speak up ."
160,165,Number two . Pause ... like a
165,170,"boss . Nervous speakers tend to talk really fast , right ? And when"
170,175,"they do have a pause , they fill it in with verbal filler , likes and ums . However , if you"
175,180,"try to speak more slowly , it just sounds like this , right ?"
180,185,"And that 's not better . So instead , make strategic pauses . Pause"
185,190,in transition . Pause for emphasis . Pause ...
190,195,like a boss . Number three .
195,200,Superhero stance . Imagine you are a superhero . You can do
200,205,it from your chair . How would a superhero sit ? Yes . Let that
205,210,change your posture . I see you . Yes . Let that bring a smile to your face
210,215,and have some better eye contact . All of that reads as
215,220,"confident , and pretending to be a superhero is just a super quick way to have"
220,225,"confident - looking body language . Now , this one also goes to 11 ."
225,230,But you can just aim for a
230,235,"five , and that will be great . Tuck in that cape and go save the"
235,240,day . And you can stand in superhero backstage to boost your
240,245,"confidence , but I ’m saying bring that superhero stance on stage so that"
245,250,your audience sees you as confident . And if you need an easy
250,255,"shortcut , just make the shape . Just make the shape of a confident person ."
255,260,"The audience can not read your mind . They do n’t know how you ’re feeling , so"
260,265,"just make the shape and they will go with it . Like , if you came over to my house for"
265,270,"dinner and I opened up the door and I was like , “ Hi , come on in , we ’re"
270,275,"having chicken . ” You ’d be like , “ Oh , is this a bad time ? ”"
275,280,"You know , you ’ve got to make the shape of a good host . Make the"
280,285,"smile shape , right ? Instead of crossed arm shape , open up . “ Hi ,"
285,290,welcome . Come on in . ” If you ’re not sure if you ’re
290,295,"making confident - looking choices , you can just video yourself and"
295,300,"watch it back . I feel like I just saw you say , “ Um , not doing that"
300,305,"one . ” I know most people do n’t like to watch themselves , I get"
305,310,it . But would n’t you rather ... make that adjustment before you ’re
310,315,in front of your audience ? Yes . Videoing yourself is a
315,320,"great way to check in to see that you ’re doing the techniques , but also to see that it ’s"
320,325,"still authentically you , your version of confident captain ."
325,330,"Now , how can you do all of these things on performance day ?"
330,335,Number four . Practice with purpose .
335,340,"So , make yourself a rehearsal schedule . Put it in your calendar . You can give"
340,345,yourself a little treat when you do a run through . And make it practice with purpose
345,350,by giving yourself a specific goal or layering in one new confident
350,355,"captain technique each day . If it ’s a week before your event , aim to"
355,360,run it all the way through at least once a day . If you have no
360,365,"time for a run through , just take the opening and closing , and run that three times in a row from"
365,370,"anywhere . When you ’re in the shower , when you ’re walking your dog , when you ’re making a meal for"
370,375,your kids . I know my kids are very used to me walking around the house talking to myself .
375,380,Whatever you need to do to get in those repetitions .
380,385,And do n’t be afraid of over practice . Do n't let
385,390,that stop you . You can just let go of your verbatim script if it ’s
390,395,starting to sound robotic . And you can still use bullet point
395,400,speaker notes to remind yourself of what you would like to say and to invite you to
400,405,say it a little bit differently each time to keep it fresh . And
405,410,"let me be clear , by practice , I mean standing up ,"
410,415,"saying it out loud , imagining your audience and inviting them in ,"
415,420,"clicking through your slides , doing it as much like it will be on the day ,"
420,425,whether it ’s virtual or in person . And I know it might feel a little
425,430,"funny saying it out loud to yourself , but think about"
