start_time,stop_time,avg_intensity
0,20,51.2875
20,40,41.94285714285714
40,60,42.583333333333336
60,80,34.766666666666666
80,100,32.416666666666664
100,120,36.78333333333333
120,140,46.5
140,160,40.51428571428572
160,180,38.949999999999996
180,200,35.56666666666667
200,220,31.233333333333334
220,240,38.35
240,260,25.885714285714283
260,280,25.099999999999998
280,300,27.016666666666666
300,320,28.599999999999998
320,340,34.6
340,360,36.483333333333334
360,380,41.43333333333333
380,400,27.166666666666668
400,420,22.316666666666666
420,440,22.842857142857145
440,460,22.833333333333332
460,480,23.95
480,500,33.43333333333334
500,520,26.266666666666666
520,540,32.483333333333334
540,560,25.414285714285715
560,580,29.099999999999998
580,600,37.31666666666667
600,620,34.48571428571428
620,640,29.316666666666666
640,660,22.3
660,680,69.60000000000001
680,700,37.56666666666667
700,720,23.383333333333336
720,740,20.17142857142857
740,760,22.900000000000002
760,780,25.21666666666667
780,800,22.066666666666666
800,820,22.416666666666668
820,840,33.22857142857143
840,860,28.25
860,880,29.016666666666666
880,900,33.957142857142856
900,920,25.583333333333332
920,940,25.666666666666668
940,960,15.950000000000001
960,980,7.3428571428571425
