start_time,stop_time,avg_intensity
0,5,11.700000000000001
5,10,32.95
10,15,16.7
15,20,13.7
20,25,13.8
25,30,16.9
30,35,16.3
35,40,14.2
40,45,12.9
45,50,10.5
50,55,9.75
55,60,10.6
60,65,11.6
65,70,13.7
70,75,15.0
75,80,14.45
80,85,12.6
85,90,11.6
90,95,10.25
95,100,9.5
100,105,10.0
105,110,10.0
110,115,10.0
115,120,10.0
120,125,10.0
125,130,10.0
130,135,10.0
135,140,10.0
140,145,10.0
145,150,10.0
150,155,10.0
155,160,10.0
160,165,10.0
165,170,10.0
170,175,10.0
175,180,10.0
180,185,10.0
185,190,10.0
190,195,10.0
195,200,10.0
200,205,10.0
205,210,10.0
210,215,10.0
215,220,10.0
220,225,10.0
225,230,10.0
230,235,10.0
235,240,9.75
240,245,10.7
245,250,12.2
250,255,13.3
255,260,14.9
260,265,15.9
265,270,16.950000000000003
270,275,16.7
275,280,16.0
280,285,13.399999999999999
285,290,11.4
290,295,10.5
295,300,10.0
300,305,9.75
305,310,10.0
310,315,9.9
315,320,10.0
320,325,10.0
325,330,10.9
330,335,11.9
335,340,14.1
340,345,15.7
345,350,17.1
350,355,16.1
355,360,13.149999999999999
360,365,10.0
365,370,9.4
370,375,10.0
375,380,10.0
380,385,10.0
385,390,10.0
390,395,10.0
395,400,10.0
400,405,9.4
405,410,10.1
410,415,12.9
415,420,16.6
420,425,18.7
425,430,16.299999999999997
430,435,30.0
435,440,46.4
440,445,62.2
445,450,93.35
450,455,100.0
455,460,64.25
460,465,19.5
465,470,7.65
470,475,11.7
475,480,9.9
480,485,10.9
485,490,10.399999999999999
490,495,10.1
495,500,10.0
500,505,9.45
505,510,10.0
510,515,12.25
515,520,14.9
520,525,16.3
525,530,16.55
530,535,17.4
535,540,19.0
540,545,17.7
545,550,13.9
550,555,10.0
555,560,9.25
560,565,10.0
565,570,10.0
570,575,10.0
575,580,10.0
580,585,10.0
585,590,10.0
590,595,9.55
595,600,10.0
600,605,11.95
605,610,14.4
610,615,16.45
615,620,17.2
620,625,17.4
625,630,16.0
630,635,15.25
635,640,13.9
640,645,14.7
645,650,16.25
650,655,19.4
655,660,23.6
660,665,25.9
665,670,26.2
670,675,22.5
675,680,17.7
680,685,12.1
685,690,10.0
690,695,7.25
695,700,10.2
700,705,16.85
705,710,28.0
710,715,36.1
715,720,48.15
720,725,56.3
725,730,53.6
730,735,55.3
735,740,59.8
740,745,59.8
745,750,51.6
750,755,41.6
755,760,36.599999999999994
760,765,36.7
765,770,37.1
770,775,40.9
775,780,45.05
780,785,51.5
785,790,50.3
790,795,44.400000000000006
795,800,37.6
800,805,39.2
805,810,40.1
810,815,37.4
815,820,26.75
820,825,19.2
825,830,16.3
830,835,14.7
835,840,14.3
840,845,16.2
845,850,17.2
850,855,18.4
855,860,19.4
860,865,20.85
865,870,22.2
870,875,23.9
875,880,22.9
880,885,20.55
885,890,16.5
890,895,12.25
895,900,10.0
900,905,10.8
905,910,13.3
910,915,14.5
915,920,15.4
920,925,15.85
925,930,3.8
930,935,14.8
935,940,42.7
940,945,70.4
945,950,79.94999999999999
950,955,68.0
955,960,57.3
960,965,27.9
965,970,10.75
970,975,11.8
975,980,10.7
980,985,10.35
985,990,11.3
990,995,11.6
995,1000,12.1
1000,1005,12.6
1005,1010,13.55
1010,1015,13.9
1015,1020,13.2
1020,1025,13.3
1025,1030,13.0
1030,1035,14.3
1035,1040,18.3
1040,1045,22.2
1045,1050,23.5
1050,1055,22.6
1055,1060,22.2
1060,1065,18.9
1065,1070,20.55
1070,1075,29.7
1075,1080,28.1
1080,1085,21.05
1085,1090,12.0
1090,1095,9.4
1095,1100,10.0
1100,1105,9.6
1105,1110,10.0
1110,1115,10.666666666666666
1115,1120,5.0
