start_time,end_time,words
0,5,Oh my gosh .
5,10,What is this ?
10,15,"Hey , what 's going on everybody for First We F East . I 'm"
15,20,Sean Evans and you 're watching Hot Ones . It 's the show with hot questions and even hotter wings . And today we 're
20,25,"joined by Anna De Armis . She 's a Golden Globe and Oscar award nominated actress , you know , from films like Knives Out , Blonde , No"
25,30,"Time To Die , and many more . Her latest project though is a starring role in the fifth film of the John Wick franchise . It 's"
30,35,"called Ballerina and it 's set to release in theaters on June 6th . Anna de Armis ,"
35,40,welcome to the show . Thank you . How are you with spicy food before we get started ?
40,45,I I 'm not good at all . Like I I honestly I knew this was happening and I have been
45,50,practicing a little bit but not ready .
65,70,"Yeah , let 's do it ."
70,75,"Okay , here we go ."
75,80,"Well , this is good . Oh , I like it . I 'm doing"
80,85,good . This is great .
85,90,"It 's yummy . So , the John Wick franchise is"
90,95,"iconic for its imaginative use of violence . And not to give too much away , but I particularly"
95,100,enjoyed the Icegate Massacre and the flamethrower duel . What are the creative conversations
100,105,"like in shaping a character like Eve 's fighting style ? Like , were there any interesting chats about how to"
105,110,"tailor the signature John Wick choreography to the skills of a ballerina turned assassin ? Yeah ,"
110,115,I mean I think we wanted to just keep pushing the humor in the
115,120,franchise . You know that you watch the John Wick films and sometimes the fights are really intense and
120,125,"gory , but it 's the kind of action that you 're just having so much fun with . Like you put your fingers"
125,130,"in in your on your face , but you 're looking through you ca n't stop it . And also"
130,135,like adding the val ballet element to it was really important . Like I really
135,140,wanted to like see her . She 's a woman in the men 's world and I
140,145,"wanted to feel like every punch , every kick , everything was hurting . Like I"
145,150,really wanted her to go through that pain . Kind of reminds me of the experience of doing Hot
150,155,Ones . You know what I mean ? Like there 's a certain pain that you just become familiar with . You know what I
155,160,mean ? And that always allows you to push through cuz you know on the other side you 'll be fine . Yeah . All
160,165,"right , Anna , you 're doing great . Okay . Are you ready to move on here to sauce number two ? Number"
165,170,two . All right . So up next we have just winging it .
180,185,Still good . Yeah .
185,190,There we go . So recently the Academy Awards announced a new category
190,195,to recognize achievement in stunt design . Mhm . M if you were in charge of the criteria for
195,200,"that award , what do you think are like the most important things to focus on ? Like are there elements of best of"
200,205,the best Hollywood action sequences in your opinion ? I think yes . I would say like
205,210,feeling like it 's a one like you know like a one continuous shot . That would be
210,215,cool . That 's important to to feel like you 're in the moment .
215,220,"Um so definitely no cuts . No cuts . No cuts . Um , I would say"
220,225,"just being original , like doing things that you have n't seen before ,"
225,230,"like surprising people . What else ? What am I missing ? I You know what ? To me , you nailed it . That"
230,235,"was you just pulling an arrow , hitting a bullseye . Right . Y those two things . Yep . How are you"
235,240,doing so far ? I 'm good . I 'm I 'm good . Woo . I like that .
240,245,From nervous to confident . I can see it already . It 's not going to go well .
245,250,I
250,255,"'m ready . So , lately we 've been in the habit of"
255,260,asking actors about the scenes that they dreaded doing from the second they read them in the script to when
260,265,they saw it up on the call sheet scheduled . Yeah . What is it about the chaotic dinner
