start_time,stop_time,avg_intensity
0,5,37.833333333333336
5,10,100.0
10,15,106.5
15,20,46.6
20,25,32.4
25,30,18.1
30,35,27.5
35,40,28.8
40,45,30.1
45,50,38.2
50,55,39.0
55,60,39.8
60,65,30.6
65,70,32.9
70,75,35.2
75,80,49.0
80,85,50.5
85,90,49.2
90,95,44.7
95,100,40.2
100,105,28.7
105,110,23.799999999999997
110,115,18.9
115,120,15.05
120,125,16.125
125,130,17.2
130,135,22.1
135,140,26.2
140,145,25.825
145,150,25.45
150,155,20.7
155,160,17.725
160,165,14.75
165,170,10.0
170,175,9.7
175,180,9.4
180,185,10.8
185,190,10.8
190,195,8.7
195,200,10.0
200,205,11.3
205,210,17.2
210,215,17.2
215,220,17.2
220,225,-3.6
225,230,10.0
230,235,23.6
235,240,85.1
240,245,85.1
245,250,85.1
250,255,20.3
255,260,10.0
260,265,-0.3
265,270,33.6
270,275,33.6
275,280,33.6
280,285,14.7
285,290,10.0
290,295,5.3
295,300,9.8
300,305,10.0
305,310,10.2
310,315,10.9
315,320,10.9
320,325,10.9
325,330,10.2
330,335,10.0
335,340,9.9
340,345,9.95
345,350,10.0
350,355,10.0
355,360,10.0
360,365,10.0
365,370,9.4
370,375,9.7
375,380,10.0
380,385,13.399999999999999
385,390,16.1
390,395,15.675
395,400,15.25
400,405,12.6
405,410,11.774999999999999
410,415,10.95
415,420,10.0
420,425,8.3
425,430,6.6
430,435,10.0
435,440,16.3
440,445,36.2
445,450,41.6
450,455,47.1
455,460,40.7
460,465,37.3
465,470,33.9
470,475,28.6
475,480,24.6
480,485,20.6
485,490,19.7
490,495,17.5
495,500,15.3
500,505,13.8
505,510,13.6
510,515,13.5
515,520,16.8
520,525,16.6
525,530,16.4
530,535,13.7
535,540,12.6
540,545,11.4
545,550,8.8
550,555,10.8
555,560,12.7
560,565,17.3
565,570,22.4
570,575,27.5
575,580,38.7
580,585,36.3
585,590,24.7
590,595,17.5
595,600,10.3
600,605,7.2
605,610,8.6
610,615,10.0
615,620,12.2
620,625,12.95
625,630,13.7
630,635,11.55
635,640,10.0
640,645,11.05
645,650,12.1
650,655,16.9
655,660,19.4
660,665,21.9
665,670,26.4
670,675,28.475
675,680,30.55
680,685,31.2
685,690,30.6
690,695,26.0
695,700,23.5
700,705,21.0
705,710,17.7
710,715,18.9
715,720,20.0
720,725,26.9
725,730,29.4
730,735,31.9
735,740,28.6
740,745,31.3
745,750,34.0
750,755,40.0
755,760,43.0
760,765,46.0
765,770,52.9
770,775,46.3
775,780,39.7
780,785,16.5
785,790,10.0
790,795,3.5
795,800,13.9
800,805,13.9
805,810,13.9
810,815,10.8
815,820,10.0
820,825,9.2
825,830,6.8
830,835,10.0
835,840,19.7
840,845,22.95
845,850,26.2
850,855,19.7
855,860,14.85
860,865,10.0
865,870,8.25
870,875,9.125
875,880,10.0
880,885,9.850000000000001
885,890,11.5
890,895,14.325
895,900,17.15
900,905,20.5
905,910,18.425
910,915,16.35
915,920,10.4
920,925,9.25
925,930,8.1
930,935,10.6
935,940,13.4
940,945,15.1
945,950,24.6
950,955,34.1
955,960,54.1
960,965,57.9
965,970,61.8
970,975,37.2
975,980,43.8
980,985,50.4
985,990,96.1
990,995,90.7
995,1000,85.3
1000,1005,32.9
1005,1010,16.8
1010,1015,0.7
1015,1020,11.1
1020,1025,10.2
1025,1030,9.3
1030,1035,9.0
1035,1040,12.4
1040,1045,15.7
1045,1050,24.9
1050,1055,27.1
1055,1060,29.4
1060,1065,25.0
1065,1070,23.5
1070,1075,22.0
1075,1080,19.2
1080,1085,19.7
1085,1090,22.75
1090,1095,24.225
1095,1100,25.7
1100,1105,25.15
1105,1110,23.174999999999997
1110,1115,21.2
1115,1120,15.15
1120,1125,12.575
1125,1130,10.0
1130,1135,8.25
1135,1140,10.0
1140,1145,11.425
1145,1150,12.850000000000001
1150,1155,16.4
1155,1160,17.9
1160,1165,19.4
1165,1170,20.3
1170,1175,18.35
1175,1180,16.4
1180,1185,16.4
1185,1190,20.3
1190,1195,41.0
1195,1200,39.8
1200,1205,38.5
1205,1210,16.0
1210,1215,10.0
1215,1220,4.0
1220,1225,10.0
1225,1230,10.0
1230,1235,10.0
1235,1240,8.3
1240,1245,10.0
1245,1250,11.7
1250,1255,18.5
1255,1260,18.5
1260,1265,18.5
1265,1270,11.7
1270,1275,10.0
1275,1280,8.3
1280,1285,9.9
1285,1290,10.0
1290,1295,10.1
1295,1300,6.9
1300,1305,10.4
1305,1310,14.0
1310,1315,20.3
1315,1320,27.5
1320,1325,34.7
1325,1330,41.2
1330,1335,46.3
1335,1340,55.75
1340,1345,54.325
1345,1350,52.9
1350,1355,32.1
1355,1360,21.05
1360,1365,10.0
1365,1370,5.7
1370,1375,7.85
1375,1380,10.0
1380,1385,9.2
1385,1390,10.0
1390,1395,11.175
1395,1400,12.35
1400,1405,17.8
1405,1410,22.925
1410,1415,28.05
1415,1420,33.3
1420,1425,30.099999999999998
1425,1430,26.9
1430,1435,16.1
1435,1440,11.4
1440,1445,11.2
1445,1450,10.0
1450,1455,8.8
1455,1460,10.0
1460,1465,10.0
1465,1470,11.0
1470,1475,5.0
