start_time,end_time,text
3.909,5.83,Madagascar.&nbsp;
5.83,7.459,An island off the coast of Africa.&nbsp;
7.459,12.0,It’s one of the most biologically diverse places in the world.
12.0,16.279,Almost all of its plants and animals aren’t found anywhere else on Earth.&nbsp;&nbsp;
16.279,18.699,"And when we looked at it from space,"
18.699,19.67,we saw a spot.
19.67,21.519,"A massive dark circle,"
21.519,23.19,"almost perfectly round,"
23.19,24.67,"over thirteen kilometers in diameter,"
24.67,28.83,and big enough that roads are diverted on either side of it.&nbsp;
28.83,30.73,"Looking at it from the side, we could see"
30.73,31.849,it was a mountain.
31.849,35.743,"And if you zoomed all the way in, you could see a village"
36.835,39.241,nestled in the crater at its center.&nbsp;
39.241,41.91,8 kilometers from the closest labeled town on Google Maps.&nbsp;
41.91,48.55,Isolated in a remote part of a remote region of a geographically isolated country.&nbsp;
48.55,50.77,It looked like it could have been there for generations.
50.77,52.91,But if you looked backward through time …&nbsp;
52.91,54.0,… each year …&nbsp;
54.0,57.37,… it gets smaller and smaller …&nbsp;
57.37,61.25,"… and before 2008, there was no one there at all."
61.25,64.558,I wanted to try to answer one question:
64.558,66.533,Why did these people move to such
66.533,70.909,an incredibly isolated place?
73.354,75.67,I was really starting from zero here.&nbsp;
75.67,77.53,I didn't know anyone in Madagascar.
77.53,80.02,I didn't know that much about Madagascar.&nbsp;
80.02,85.72,But the question was: could we get in touch with the people living here just by using the internet?&nbsp;
85.72,90.38,"The closest location tags were on the edges of the mountain: a butcher shop, a playground,"
90.38,91.6,and a historical landmark.&nbsp;
91.6,95.43,But none of them were real — they all seemed to be random references to the popular Japanese
95.43,99.659,"manga and anime series Attack on Titan, written in Russian.&nbsp;"
99.659,103.71,"The ones that did look real — churches, hospitals, schools — didn’t have much"
103.71,105.6,of a presence on the internet.&nbsp;&nbsp;
105.6,108.25,So we looked at content that had been geotagged nearby.&nbsp;
108.25,113.43,"First on Twitter: using the coordinates of the village, and a search radius.&nbsp;"
113.43,116.395,Until finally at 12 kilometers away …&nbsp;
116.395,117.5,… we found someone.&nbsp;
