start_time,end_time,text
3.909,12.000000000000002,Madagascar.&nbsp; An island off the coast of Africa.&nbsp; It’s one of the most biologically diverse places in the world.
12.0,19.67,"Almost all of its plants and animals aren’t found anywhere else on Earth.&nbsp;&nbsp; And when we looked at it from space, we saw a spot."
19.67,31.848999999999997,"A massive dark circle, almost perfectly round, over thirteen kilometers in diameter, and big enough that roads are diverted on either side of it.&nbsp; Looking at it from the side, we could see it was a mountain."
31.849,50.77,"And if you zoomed all the way in, you could see a village nestled in the crater at its center.&nbsp; 8 kilometers from the closest labeled town on Google Maps.&nbsp; Isolated in a remote part of a remote region of a geographically isolated country.&nbsp; It looked like it could have been there for generations."
50.77,61.24999999999999,"But if you looked backward through time …&nbsp; … each year …&nbsp; … it gets smaller and smaller …&nbsp; … and before 2008, there was no one there at all."
61.25,70.90900000000002,I wanted to try to answer one question: Why did these people move to such an incredibly isolated place?
73.354,77.53000000000002,I was really starting from zero here.&nbsp; I didn't know anyone in Madagascar.
77.53,134.07200000000003,"I didn't know that much about Madagascar.&nbsp; But the question was: could we get in touch with the people living here just by using the internet?&nbsp; The closest location tags were on the edges of the mountain: a butcher shop, a playground, and a historical landmark.&nbsp; But none of them were real — they all seemed to be random references to the popular Japanese manga and anime series Attack on Titan, written in Russian.&nbsp; The ones that did look real — churches, hospitals, schools — didn’t have much of a presence on the internet.&nbsp;&nbsp; So we looked at content that had been geotagged nearby.&nbsp; First on Twitter: using the coordinates of the village, and a search radius.&nbsp; Until finally at 12 kilometers away …&nbsp; … we found someone.&nbsp; A nonprofit worker who had posted from a nearby village in 2014.&nbsp; We asked if he knew about the village on the mountain.&nbsp; But he never got back to us.&nbsp; On Instagram, we looked for pictures tagged in the nearest town, Antaniditra and found an aid organization that had posted pictures taken there."
134.072,139.66999999999996,"We asked, but they didn’t know.&nbsp; They’d never actually been on the mountain at all.&nbsp; And finally we looked at geotags on YouTube.&nbsp;"
139.67,141.16799999999998,And there was a video.
141.168,150.54999999999998,"Geotagged right next to the village on top of the mountain.&nbsp; But, then…&nbsp;&nbsp; It was just more Attack on Titan stuff."
150.55,159.69100000000003,"Also written in Russian.&nbsp;&nbsp; After a while, it felt like the internet alone was not going to tell us very much.&nbsp; So we started reaching out to experts who had worked in Madagascar."
159.691,161.08200000000002,Experts in agriculture.
168.751,170.501,&nbsp;And experts in biogeography.
176.945,198.43500000000006,"Madagascar is a country of almost 29 million people: slightly more than Australia, slightly fewer than Texas.&nbsp; A majority of the country's population — over 60 percent — lives in rural settings a lot like this one.&nbsp; But this village was particularly remote.&nbsp; If you zoom out, the closest major city is a place called Tsiroanomandidy.&nbsp; 18 kilometers away, with a population of over 44,000.&nbsp;&nbsp;"
198.435,230.08000000000007,"At this point in the process, it felt like we might need to take a more drastic approach.&nbsp; Maybe we could hire someone to make the journey up the mountain to the village itself.&nbsp; Someone in Madagascar.&nbsp; That’s how we met Lalie.&nbsp; Hi Christopher.&nbsp; Lalie runs a production company in Madagascar, in the capital city of Antananarivo.&nbsp; She was down to make the trip.&nbsp; She started to gather a crew…&nbsp; … make local contacts …&nbsp; … and figure out how to get from Antananarivo all the way here.&nbsp; They weren't exactly sure yet how they'd get up to the village."
230.08,244.98900000000006,"Or how they’d establish contact once they got there.&nbsp;&nbsp; But they knew they were going to have to do it in just a few days in the middle of Madagascar’s hot rainy season.&nbsp; And early one morning in January, they went."
247.376,248.87460465116277,This is Toussinah.
248.87460465116277,304.08899999999994,"She’s going to be our guide.&nbsp; This is Haja, he’s an historian&nbsp; This is Vahambola, our fixer.&nbsp; This is José, our very focused driver.&nbsp; And this is me, you know me already.&nbsp; As they approached the mountain, Lalie sent us messages every step of the way.&nbsp; Until, finally,&nbsp; After traveling 10 kilometers by motorcycle and on foot … they made it to the top of the mountain."
310.05,325.476,But when they got there and were about to descend to the village in the crater …&nbsp; … a massive storm appeared on the horizon.&nbsp; And they had to turn back.&nbsp; They got extremely close.
325.476,330.069,But making contact with the village would have to wait until the end of the rainy season.
330.069,346.699,"Which was …&nbsp; ... in May.&nbsp; Four months away.&nbsp; Still, all the research we’d done so far gave us a detailed idea of what this place looked like.&nbsp; What Lalie’s team did see looked green, lush, and clearly extremely difficult to access."
346.699,353.5050000000001,"But there was so much we didn’t know.&nbsp; Before Lalie went in January, she wasn’t convinced that anybody lived there at all."
353.505,367.16,There’s the small group of houses at the very top in the very middle that we’ve kinda been interested in.&nbsp; So I turned to some very basic Googling.
