start_time,end_time,words
5,10,Madagascar.&nbsp ; An island off the coast of Africa.&nbsp ; It ’s one of the most biologically
10,15,diverse places in the world . Almost all of its plants and animals are n’t found anywhere
15,20,"else on Earth.&nbsp;&nbsp ; And when we looked at it from space , we saw a spot . A"
20,25,"massive dark circle , almost perfectly round , over thirteen kilometers in diameter , and"
25,30,big enough that roads are diverted on either side of it.&nbsp ; Looking at it from the
30,35,"side , we could see it was a mountain . And if you zoomed all the way in , you could"
35,40,see a village nestled in the crater at its center.&nbsp ; 8 kilometers from
40,45,the closest labeled town on Google Maps.&nbsp ; Isolated in a remote part of a remote
45,50,region of a geographically isolated country.&nbsp ; It looked like it could have been
50,55,there for generations . But if you looked backward through time … & nbsp ; … each year … & nbsp ; … it gets
55,60,"smaller and smaller … & nbsp ; … and before 2008 , there was no"
60,65,one there at all . I wanted to try to answer one question : Why did
65,70,these people move to such an incredibly
70,75,isolated place ? I was really starting from
75,80,zero here.&nbsp ; I did n't know anyone in Madagascar . I did n't know that much about
80,85,Madagascar.&nbsp ; But the question was : could we get in touch with the people living here just by using the
85,90,"internet?&nbsp ; The closest location tags were on the edges of the mountain : a butcher shop , a"
90,95,"playground , and a historical landmark.&nbsp ; But none of them were real — they all seemed to be random references to the"
95,100,"popular Japanese manga and anime series Attack on Titan , written in Russian.&nbsp ; The"
100,105,"ones that did look real — churches , hospitals , schools — did n’t have much of a presence on the"
105,110,internet.&nbsp;&nbsp ; So we looked at content that had been geotagged nearby.&nbsp ; First on Twitter : using the
110,115,"coordinates of the village , and a search radius.&nbsp ; Until finally at 12"
115,120,kilometers away … & nbsp ; … we found someone.&nbsp ; A nonprofit worker who had posted
120,125,from a nearby village in 2014.&nbsp ; We asked if he knew about the village on the mountain.&nbsp ; But
125,130,"he never got back to us.&nbsp ; On Instagram , we looked for pictures tagged in the nearest"
130,135,"town , Antaniditra and found an aid organization that had posted pictures taken there . We asked , but they"
135,140,did n’t know.&nbsp ; They ’d never actually been on the mountain at all.&nbsp ; And finally we looked at geotags on YouTube.&nbsp ; And
140,145,there was a video . Geotagged right next to the village on top of the mountain.&nbsp ;
145,150,"But , then … &nbsp;&nbsp ; It was just more Attack on Titan"
150,155,"stuff . Also written in Russian.&nbsp;&nbsp ; After a while , it felt like the internet alone was not going to"
155,160,tell us very much.&nbsp ; So we started reaching out to experts who had worked in Madagascar .
160,165,Experts in agriculture .
165,170,& nbsp;And experts in
170,175,biogeography .
175,180,Madagascar is a country of almost 29 million people : slightly
